ASV Id,log2 (Fold Change),p value ,FDR adjusted q value,Contrast (which fractions are we comparing?),Kingdom,Phylum,Class,Order,Family,Genus,Cumulative relative abuncance in soil,Cumulative relative abuncance in root,Cumulative relative abuncance in shoot
ASV1,2.315620959,5.36E-07,5.57E-06,Root-Shoot,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,0.006692271,0.055563455,0.011622556
ASV10,4.085308299,2.32E-11,4.27E-10,Root-Shoot,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,0.00040822,0.02250652,0.002444895
ASV100,0.692499702,0.270618645,0.462545556,Root-Shoot,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Neorhizobium,0.000233332,0.002282611,0.001305534
ASV1000,-10.70476094,8.74E-09,1.15E-07,Root-Shoot,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Terrabacter,0.000108546,3.43E-06,0.000378552
ASV1001,-1.176759694,0.570567053,0.73070011,Root-Shoot,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Luteibacter,3.18E-05,5.92E-05,2.16E-05
ASV1002,-2.331183687,0.086148851,0.209340489,Root-Shoot,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,0.000424628,5.32E-05,0.000157162
ASV1003,2.300825798,0.00062706,0.003559323,Root-Shoot,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,NA,1.97E-05,0.000290523,5.44E-05
ASV1004,7.004117265,2.97E-06,2.79E-05,Root-Shoot,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,BIrii41,NA,0,0.000289984,4.37E-05
ASV1005,32.8471636,2.70E-70,2.53E-67,Root-Shoot,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Niastella,0,0.000279434,0
ASV1007,0.046685575,0.956824542,0.99686165,Root-Shoot,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,NA,0.000173086,0.000141577,0.000184839
ASV1008,-1.079662638,0.416846239,0.605872959,Root-Shoot,Bacteria,Acidobacteria,Subgroup_6,NA,NA,NA,0.000410132,0.00011347,0.000124935
ASV1009,-3.978481503,0.021548801,0.071768996,Root-Shoot,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,0.00016445,6.16E-05,0.000286089
ASV101,0.338540019,0.571154352,0.731088919,Root-Shoot,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,NA,3.95E-05,0.002176467,0.001485584
ASV1010,0.124780159,0.916746592,0.97350977,Root-Shoot,Bacteria,Rokubacteria,NC10,Rokubacteriales,NA,NA,0.000843312,5.43E-05,2.26E-05
ASV1011,4.395705961,5.90E-10,9.11E-09,Root-Shoot,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,Haliangium,3.12E-05,0.000310067,2.06E-05
ASV1012,2.349695632,0.070976255,0.181589287,Root-Shoot,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Microscillaceae,NA,3.66E-05,0.000283293,4.86E-05
ASV1014,3.348619661,0.052156582,0.143982337,Root-Shoot,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Herpetosiphonaceae,Herpetosiphon,0,0.00026734,7.46E-05
ASV1015,2.480241623,0.256849013,0.446776853,Root-Shoot,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0,0.000298487,3.83E-05
ASV1016,-12.12106744,NA,NA,Root-Shoot,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,NA,NA,0,3.35E-06,0.000315867
ASV1017,3.607553753,0.002813679,0.013111846,Root-Shoot,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,0.000249028,0.000174117,9.84E-05
ASV1018,10.02653147,0.001250415,0.006552762,Root-Shoot,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis,0,0.000262307,7.05E-05
ASV1019,0.227739487,0.841292029,0.923539748,Root-Shoot,Bacteria,Acidobacteria,Acidobacteriia,Solibacterales,Solibacteraceae_(Subgroup_3),Bryobacter,0.000710569,4.65E-05,6.39E-05
ASV102,-8.593920697,4.29E-53,1.43E-50,Root-Shoot,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Conexibacter,2.69E-05,3.09E-05,0.004472376
ASV1020,-4.452755841,0.000777728,0.004320671,Root-Shoot,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,0.000105895,1.64E-05,0.000378239
ASV1021,-0.69615545,NA,NA,Root-Shoot,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Arenimonas,0,0.000150079,0.000252499
ASV1022,-3.355738321,0.000110872,0.000760895,Root-Shoot,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Nakamurellaceae,Nakamurella,0.000694464,4.22E-05,0.000118684
ASV1023,4.469490726,0.000342099,0.002096528,Root-Shoot,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,BIrii41,NA,4.34E-05,0.000313259,1.17E-05
ASV1024,-4.468319216,0.039679842,0.116297929,Root-Shoot,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Dyadobacter,0,2.42E-05,0.000278812
ASV1025,0.563430914,0.60737858,0.759352141,Root-Shoot,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis,0,0.00022632,0.000121785
ASV1026,-0.956688168,0.260694169,0.451181245,Root-Shoot,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,MND1,0.000697502,9.19E-05,7.84E-05
ASV1027,2.223157875,0.002526343,0.012039481,Root-Shoot,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,NA,0.000104132,0.00025594,5.45E-05
ASV1028,-1.134494904,NA,NA,Root-Shoot,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Herpetosiphonaceae,Herpetosiphon,4.88E-06,0.000268428,0.000104221
ASV1029,0.920426344,0.510742363,0.683164919,Root-Shoot,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,0.000745594,3.93E-05,5.13E-05
ASV103,4.081145253,1.46E-08,1.88E-07,Root-Shoot,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Niastella,9.35E-05,0.002910466,0.000270202
ASV1030,-9.095753013,1.24E-08,1.60E-07,Root-Shoot,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,0,9.54E-06,0.000437295
ASV1032,-0.906545011,0.489983656,0.667158866,Root-Shoot,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,0.001025818,5.33E-05,7.35E-05
ASV1033,0.914454031,0.52002277,0.690903735,Root-Shoot,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Herpetosiphonaceae,Herpetosiphon,0,0.000238301,0.000119575
