Rep,bacteria,max swarming distance (cm)
1,p176 D8,1.80
1,p176 D8,2.14
1,p176 D8,2.05
1,p177 E1,0.28
1,p177 E1,0.31
1,p177 E1,0.31
1,p182 H5-1,2.19
1,p182 H5-1,1.88
1,p182 H5-1,1.97
1,p175 B3,0.42
1,p175 B3,0.31
1,p175 B3,0.39
1,delta flic,0.53
1,delta flic,0.42
1,delta flic,0.45
1,CL21 wt,3.20
1,CL21 wt,3.23
1,CL21 wt,4.07
2,p176 D8,1.97
2,p176 D8,1.88
2,p176 D8,1.94
2,p176 D8,2.19
2,p177 E1,0.37
2,p177 E1,0.42
2,p177 E1,0.34
2,p177 E1,0.28
2,p182 H5-1,1.97
2,p182 H5-1,2.05
2,p182 H5-1,1.83
2,p182 H5-1,2.11
2,p175 B3,0.34
2,p175 B3,0.45
2,p175 B3,0.51
2,p175 B3,0.37
2,delta flic,0.45
2,delta flic,0.45
2,delta flic,0.48
2,delta flic,0.42
2,CL21 wt,3.68
2,CL21 wt,3.60
2,CL21 wt,3.57
2,CL21 wt,3.43
3,p176 D8,2.28
3,p176 D8,2.14
3,p176 D8,2.02
3,p176 D8,2.11
3,p177 E1,0.45
3,p177 E1,0.39
3,p177 E1,0.42
3,p177 E1,0.34
3,p182 H5-1,2.14
3,p182 H5-1,1.94
3,p182 H5-1,2.11
3,p182 H5-1,1.88
3,p175 B3,0.34
3,p175 B3,0.31
3,p175 B3,0.31
3,p175 B3,0.34
3,delta flic,0.31
3,delta flic,0.42
3,delta flic,0.37
3,delta flic,0.28
3,CL21 wt,3.54
3,CL21 wt,3.60
3,CL21 wt,3.71
3,CL21 wt,3.63
4,p176 D8,1.83
4,p176 D8,1.88
4,p176 D8,1.85
4,p176 D8,1.91
4,p177 E1,0.34
4,p177 E1,0.42
4,p177 E1,0.34
4,p177 E1,0.39
4,p182 H5-1,1.57
4,p182 H5-1,2.08
4,p182 H5-1,1.83
4,p182 H5-1,1.49
4,p175 B3,0.45
4,p175 B3,0.37
4,p175 B3,0.34
4,p175 B3,0.31
4,delta flic,0.31
4,delta flic,0.34
4,delta flic,0.37
4,delta flic,0.28
4,CL21 wt,3.65
4,CL21 wt,3.71
4,CL21 wt,3.71
4,CL21 wt,3.57
