Peptide,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
161,539448.5,597909,575909.9,565415.4,501809.4,711980.7,485224.6,587427.4,,,,
289,209514.2,255476.8,442912.8,293947.7,323282.5,209558.6,236758.2,223395.5,275963.3,,,
459,259291.6,191586.6,207726.3,223839.6,213077.4,213005.8,194470.5,203463,207859,221099.4,205569,
1128,467619.5,259390.3,299548.5,602854,412763.2,428354.7,339273.3,419143.5,488106.7,332219.5,274890.4,
1184,253914.2,210336.6,214800.2,229688.9,196393.8,205778.1,273791.8,210763.4,232939,216053.8,209336.6,
1213,339448.3,380626.2,376919.5,367124.4,278729.7,272674.2,400872.1,381417.7,238827.9,,,
1256,264554.5,233188.4,232916.3,258786,256697.6,304307.9,301372.4,236061,250946.5,288612.9,297740.3,
1291,223036.5,190866.9,211004.6,210254.8,244525.4,208501.7,213544.6,210235.3,225920.6,,,
1329,236265,257210.2,355496.2,285078.4,258740.6,296258.1,361227.9,237963.2,278558.9,259764.7,,
1477,358291.2,377508.5,305770.5,391348.6,360805.2,421341.3,300462,234913.8,398974.8,416891.6,,
1666,452022.5,431971.3,324020.3,354928.2,455018.6,353619.6,417223.3,368804.9,365556.1,465826.1,,
1810,247580.1,295918.1,302603.8,276575.3,323780.8,301625.9,306593.2,303897.3,301377.3,295259.5,,
1814,666655.7,598781.4,574701,668770.8,507596.4,540774.8,674378.1,516714.2,764036.6,571913.5,,
1857,216821.3,183060.9,277865.6,210191.3,204583.7,214584.9,212511.6,246768.4,253455.2,248310,,
1983,650851.859,571799.538,633207.86,625421.737,482283.736,465059.479,480513.055,586622.035,772501.139,562002.604,596714.989,
2002,196139.2,201248.9,187141.7,204211.1,201828.4,201723.9,245559.5,248720.1,214077.8,223195.8,,
flg20,146815.9,154778.7,191628.2,175201.6,159275.8,160308.8,,,,,,
flg22,962882.7,836809.9,850975,532047.4,981386.6,1043590,,,,,,
Pta,572550.1,921932.5,514608,496024.1,601059.3,702582.6,,,,,,
PtaDA,153690.5,161116.5,145923.1,141529.6,180207.7,,,,,,,
flg20_n,193670,233915.8,205178.1,203256.7,193928.2,206830.4,196841.4,212832.5,232512,260409.5,251402.3,367898.8
flg22_n,981932.1,759637.8,599423.6,612408.6,945543.8,648248.2,612178.2,689188.4,700911.9,649759.4,652568.5,524248.7
Pta,1351668.92,1781867.81,900526.414,997958.534,,,,,,,,
PtaDA,214794.092,251659.847,252723.203,229781.183,230588.694,214260.522,232673.088,201931.153,,,,
94,196032.533,210660.041,224419.697,191976.382,261823.626,299921.101,259632.714,379207.074,454791.742,400180.827,384878.607,
468,250414.898,293777.715,205800.394,427238.801,251222.251,326162.308,261246.459,285545.266,249863.291,251523.678,503712.023,299818.682
470,249606.613,280017.689,203581.129,247090.218,280065.149,345776.95,246108.435,335153.661,278086.755,416952.19,462771.053,
1294,199870.718,176124.084,177265.595,190088.796,195476.252,152986.83,178441.429,245781.276,190656.371,251666.379,252982.899,
1391,211268.67,152958.518,175693.466,270726.953,180213.341,178494.771,179096.858,340568.379,233055.494,258581.676,,
1471,170872.137,196434.91,174971.184,191675.321,179186.731,197246.224,184908.976,330110.944,240485.968,215595.185,192457.72,
1544,174675.776,158853.96,199556.371,181150.564,175426.13,175985.799,173846.445,255610.121,205815.485,196149.366,211314.074,
1635,459412.904,287498.471,269157.428,297491.13,253823.242,279519.018,322775.746,322155.887,269039.005,388224.727,404762.212,
1877,233003.618,219658.345,202560.334,186182.142,209993.798,191874.82,231909.187,233885.87,206784.88,230715.96,266717.791,
1943,488622.52,416926.039,240851.469,247032.262,498421.917,421624.575,220811.213,428414.229,330475.601,290806.407,390572.9,
1983,650851.859,571799.538,633207.86,625421.737,482283.736,465059.479,480513.055,586622.035,772501.139,562002.604,596714.989,
161,614049.851,675491.949,548313.883,733134.683,,,,,,,,
1391,231866.386,219735.693,306101.552,195433.445,230945.339,,,,,,,
1857,316334.266,239055.203,288929.365,202534.394,,,,,,,,
PtaDA,226106.743,210765.605,238256.354,,,,,,,,,
Pta,431429.985,505161.218,455609.661,,,,,,,,,
