Peptide,M1,M2,M3,M4,M5,M6
161,255508.4,164426.5,163687.1,69079.02,318622,375850.2
459,84826.8,147840.9,53500.89,53923.67,43378.02,93639.74
1128,56883.24,67198.01,376793.1,105063.4,84907.71,271812
1329,74755.75,288358.7,186326.8,38142.53,169181.5,50067.39
1391,76519.19,164146.6,44172.75,35562.49,60510.67,19094.7
1471,46362.64,44746.7,30508.8,78974.76,33861.83,25931.45
1477,470847.4,171357.9,305963.5,217733.5,84465.72,92024.46
1666,209615.3,457762.7,129662.7,453290.6,510838.1,343966.6
1810,190896.5,59307.51,56692.98,60940.5,265274.7,94184.58
1814,156210.3,259630.1,137594.4,171556.4,144291.8,459811
1857,23360.7,135873.4,33216.77,29617.55,143250.9,98565
1983,75313.98,60420.22,232987.9,149930.5,240911.2,215598.3
flg20,59030.21,54168.66,40741.36,82405.82,89210.2,69465.51
Pa,262669.1,181451.9,371609.4,181763.2,603369.1,180398.8
Pta,155520.4,326260,62894.87,509150.2,,
PtaDA,169802.8,215531.9,74286.64,41573.63,99200.84,166461.3
161,80381.66424,449080.3808,305923.0509,162492.8068,283763.6889,215733.5924
459,44032.17845,43679.04037,36504.20194,62681.77592,20251.9104,86482.26792
1128,108836.7679,171447.893,188004.6864,249175.3077,192038.0831,58666.52851
1329,245111.3161,167712.0752,154213.7391,147745.1617,160607.4296,104768.2026
1391,57863.45387,72875.455,71675.55009,197055.5285,27071.38562,66846.5119
1471,89477.43365,25838.16382,53067.30102,93558.70181,42047.93848,75562.4294
1477,97579.78493,261739.0495,183046.4915,412992.6903,405791.4905,167081.3168
1666,336884.4772,179452.7118,185231.9249,155072.7727,245694.7564,87655.42901
1810,503486.1218,393509.8724,211194.5194,204209.4778,250548.241,366055.7104
1814,339270.2807,423422.9477,157278.702,414255.0855,290934.3395,434037.9841
1857,82014.95768,110002.8372,43335.09612,132825.5646,74756.2995,79069.26703
1983,97595.33862,129008.3887,301834.3805,131957.0673,66131.38814,72869.46994
flg20,98567.44243,32708.18666,47345.44968,47990.95373,32846.7744,58117.43139
Pa,337389.4952,188034.7227,121109.9785,305858.7156,192612.1345,194319.4517
Pta,91235.63045,128996.7125,314283.8342,30064.10986,323949.8214,169968.3377
PtaDA,48017.95368,51176.63775,22995.95525,53577.54094,82588.90391,97839.73474
161,135318.0232,275978.6887,224785.476,25150.7472,253652.6451,181385.3665
459,,,96993.44816,71146.84476,73789.79472,45379.08941
1128,166688.5433,93098.73968,119326.1432,76943.67164,234547.6008,239643.4272
1329,41048.8242,13200.45251,68439.2086,22988.64483,110822.0052,203714.0615
1391,131275.4797,74559.5703,55730.85395,53498.26063,234547.6008,53027.48734
1471,66868.9437,96948.5533,40938.23186,37557.47712,75641.0829,39666.83787
1477,173028.6313,106921.1133,194050.0601,187498.822,190658.6944,87741.71257
1666,58000.22183,108271.9653,44297.86472,126087.1893,565604.104,87639.4251
1810,158938.6237,87690.56587,70678.55793,326696.7456,63481.20195,394334.5147
1814,135509.7927,344262.511,157278.7022,116935.3267,209324.9079,212879.4824
1857,116690.8887,38746.14498,66563.42355,50635.58885,105870.0101,37691.70843
1983,129866.5754,110056.8853,82400.1084,194924.1146,303150.4265,48469.9526
flg20,54442.06002,33478.16756,58579.17095,73751.6426,111627.305,49002.76419
Pa,110359.5896,58300.10319,541753.3417,326826.0064,349894.5556,223120.0305
Pta,172821.074,178438.2935,89281.39114,212877.6692,520172.1247,98927.94208
PtaDA,193870.9122,59201.79953,46276.36932,160263.0045,47723.85245,94642.4544
161,66278.1,70857.51,53329.9,18774.77,,
459,8416.95,17480.38,7688.124,12230.91,,
1128,11159.46,38749.07,3955.533,47771.69,,
1329,13399.54,48062.81,13112.11,24458.67,,
1391,61431.8,3177.865,10346.19,12448.21,,
1471,35930.22,11238.34,39095.01,11841.83,,
1477,36902.22,32199.15,34496.7,33374.52,,
1666,10533.59,38426.45,14781.27,52602.65,,
1810,90770.9,4807.355,7554.727,,,
1814,29259.25,89899.36,4573.81,492.1875,,
1857,5709.271,8418.796,7948.267,24164.13,,
1983,40782.35,17414.53,38728.39,,,
flg20,333.6511,1655.039,3202.044,,,
Pa,127043.6,30877,68529.89,90880.38,,
Pta,33374.6,46099.44,89510.97,,,
PtaDA,21165.58,7210.535,1624.771,,,
