Name,Replicate,AUC
pta,A1,55976999.1872702
pta,A2,95398032.9117397
pta,A3,51303276.1419173
pta,A4,43969382.5294711
pta,A5,59531831.1747091
pta,A6,63114121.7235802
pta,A7,59797431.1761554
pta,A8,71926918.5922124
pta,A9,50800949.7655868
pta,A10,48982068.1154886
pta,A11,34801006.024541
pta,A12,34620399.4338969
ptaDA,A1,32926958.9439226
ptaDA,A2,18888204.0934719
ptaDA,A3,19246849.4652033
ptaDA,A4,34928868.4154583
ptaDA,A5,21404606.6037946
ptaDA,A6,22158200.7688533
ptaDA,A7,26432519.05742
ptaDA,A8,20099692.4125026
ptaDA,A9,27767775.886378
ptaDA,A10,23195521.8483875
ptaDA,A11,23466856.6857859
ptaDA,A12,20006458.0185037
5005,A1,15807133.9247481
5005,A2,15715216.2974461
5005,A3,15684843.1259398
5005,A4,15830276.0590533
5005,A5,15784314.3206789
5005,A6,15771131.9273146
5005,A7,15832430.2705351
5005,A8,15744918.4995377
5005,A9,15954833.0933569
5005,A10,16132298.1028658
5005,A11,16383512.4821388
5005,A12,16392829.6735168
5010,A1,15912223.1921359
5010,A2,15668241.7699946
5010,A3,15788212.7616879
5010,A4,15818307.0311487
5010,A5,15751744.0571108
5010,A6,15713500.1651406
5010,A7,15844731.5328693
5010,A8,15644097.4167011
5010,A9,15887923.4937762
5010,A10,16081605.8793387
5010,A11,16350056.3487935
5010,A12,16389215.9427173
5006,A1,48381192.7217746
5006,A2,67535337.6503582
5006,A3,60049750.2852417
5006,A4,37030091.7981309
5006,A5,55173755.8409627
5006,A6,67950692.4677982
5006,A7,29126799.7271207
5006,A8,56543372.3774638
5006,A9,46458690.244906
5006,A10,40053637.068302
5006,A11,48761219.0812669
5006,A12,29739777.798158
5003,A1,15899043.1183487
5003,A2,15801487.0163088
5003,A3,15866672.8484285
5003,A4,15834054.7499637
5003,A5,15781742.5810765
5003,A6,15874478.3997015
5003,A7,15944470.3591955
5003,A8,15767899.5715509
5003,A9,16059124.9172341
5003,A10,16189515.8052709
5003,A11,16509789.5600845
5003,A12,16468135.4611999
5001,A1,15703591.9032826
5001,A2,15711840.2909065
5001,A3,15691655.9668508
5001,A4,15756400.4768989
5001,A5,15703217.1489071
5001,A6,15678846.9143681
5001,A7,15802308.890249
5001,A8,15668845.6400884
5001,A9,15866392.811904
5001,A10,16039154.5872827
5001,A11,16278990.6430199
5001,A12,16347023.2126182
5013,A1,80371441.3697772
5013,A2,50120647.12598
5013,A3,30244013.2755923
5013,A4,68612765.9880994
5013,A5,40251358.1440228
5013,A6,48571981.5195842
5013,A7,76790620.7920179
5013,A8,50549825.2399282
5013,A9,76005946.0843388
5013,A10,40368470.647659
5013,A11,44995166.0971709
5013,A12,57630563.5738268
