Name,Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
pta,0,4828.538513,3948.720943,3768.002856,3682.399694,3710.934071,3701.422611,3913.052867,3649.1096,3867.873327,4031.946515,4138.950949,3948.720943
pta,60,3913.052867,3480.28148,3437.480042,3515.949363,3425.590757,3584.907315,3451.747185,3827.44955,3501.682208,3644.353873,3763.247122,3620.575245
pta,120,3446.99147,3442.235756,3646.731737,3568.262287,3680.021829,3318.587277,3366.144362,3520.705082,3523.082942,3508.815785,3770.380723,3777.514324
pta,180,4169.863368,4369.605439,5696.476135,4835.672209,3889.274159,5805.860723,3613.441658,5584.713776,4552.702775,3855.983979,8599.974242,5434.904902
pta,240,7344.394565,8787.837289,11898.342733,10495.271028,4726.288948,16697.509548,5042.549655,14281.242909,7558.412435,5760.680114,21917.940974,10733.07806
pta,300,12958.986145,14718.829095,21325.720012,17551.306247,6031.764148,29174.787401,7965.047966,25181.180861,11608.214024,9020.883202,34664.835048,15582.117556
pta,360,17827.186793,20176.966543,30499.690768,26246.757396,7463.293311,39746.081247,10939.970753,35430.807506,15365.700015,12552.325238,42724.56465,19354.060117
pta,420,22845.524782,24952.844878,38318.732319,33494.48135,8773.569194,44513.611156,14916.219299,42244.00312,17346.774732,15477.476034,46854.657938,21787.128738
pta,480,25897.113532,29322.262095,44722.970276,37688.327979,10982.776205,49742.994962,18571.593357,47190.118421,20167.453126,17789.134248,50789.864427,23587.59957
pta,540,28078.250214,30930.229618,48865.062717,42341.542603,12307.378437,50352.080985,21149.719446,50375.873502,21287.665802,19998.590155,50906.448465,24805.378235
pta,600,30356.971218,33477.8301,50873.138722,44568.329964,13689.078455,51931.919459,24110.86157,51867.678431,22714.71103,21485.072209,51434.647661,25599.798522
pta,660,31246.593895,34146.261582,52400.642594,47009.302667,14637.970598,51077.75593,24860.08357,51475.095491,23178.506208,22391.245215,49602.620325,25899.492056
pta,720,31603.397213,34921.744248,53982.900858,47385.209561,15736.701872,52079.436088,26574.995883,50632.833135,24163.187958,23216.561316,49954.746999,25878.085338
pta,780,31498.734741,35326.14003,54542.052236,48191.74993,16766.47886,51306.166454,26491.746864,50002.331804,23442.513894,24453.362185,48979.26474,26173.022849
pta,840,33071.064919,35147.729874,53211.992173,45650.818419,17275.426652,50292.599724,26843.771879,48938.818172,23563.815015,24555.636959,47475.617812,25549.849709
pta,900,32255.162045,34243.791198,53399.959964,47209.151682,17563.19763,49643.067229,27019.784967,46559.644207,23449.649249,25067.012788,46597.710434,26786.686636
pta,960,32616.727307,33777.553135,52388.746033,46954.58219,17817.673655,48708.0352,26551.210441,46150.433413,22931.148445,24598.449694,44668.251362,26310.977864
pta,1020,31586.746356,34598.229094,52650.470767,45251.12867,18174.417108,46343.142887,26520.289375,43193.233872,23090.503839,24603.206666,43040.97555,25785.322958
pta,1080,31025.376638,33430.255118,50692.314649,45496.176315,18055.502447,45053.663637,25775.808874,41580.261989,23033.421274,24215.51438,41361.395152,24500.931831
pta,1140,30045.367753,32673.816708,49781.062703,44087.757364,17586.980402,42919.644906,24919.545934,39841.238747,21910.805755,23192.776871,38007.097855,24227.406753
