Name,Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
pta,0,1058.469415,419.7391,405.175276,288.66478,247.05393,195.040397,159.671215,151.349056,147.187977,155.510135,124.302047,122.221509
pta,60,342.758918,68.12752,91.013434,97.255048,113.899354,82.691283,124.302047,99.335586,70.208057,82.691283,68.12752,70.208057
pta,120,101.416124,63.966445,70.208057,55.644297,80.610745,88.932896,80.610745,78.530207,63.966445,47.322149,101.416124,86.852358
pta,180,103.496662,74.369132,111.818816,57.724834,76.44967,107.657739,99.335586,72.288595,103.496662,120.14097,105.577201,86.852358
pta,240,59.805371,70.208057,159.671215,126.382586,226.248513,305.309127,265.77881,172.154454,292.825867,525.847041,143.026899,88.932896
pta,300,147.187977,176.315534,480.074971,444.705662,979.408057,717.257798,777.593893,394.772547,921.15237,1428.810499,228.329054,111.818816
pta,360,134.704742,423.900193,1270.68713,904.507896,1672.237876,1555.725535,1482.905408,827.527247,2098.757714,2953.884823,471.752779,115.979893
pta,420,224.167971,785.916116,2250.640937,1703.446567,2596.020298,2448.297618,2814.483916,1141.691981,3625.925436,5159.364312,746.385562,220.006889
pta,480,236.651221,1262.364856,3869.359496,2881.063424,3990.036484,3488.603985,3607.199769,2265.205097,5918.812356,6990.374594,1274.848267,255.376098
pta,540,259.537183,1701.365987,5448.577922,3794.456629,5252.994503,4568.456299,4768.199364,2452.458816,7602.107821,9021.180454,1824.120289,376.047636
pta,600,405.175276,2469.103612,7285.836998,4888.877708,5977.071681,5750.276688,5877.198577,3213.96179,9329.135023,11043.714561,2204.86788,542.491436
pta,660,401.014184,2712.534154,8927.545854,6368.242538,7344.097318,7077.764769,7198.446596,3707.07004,10966.724158,12583.538173,2714.61476,602.827399
pta,720,363.564365,3388.733987,10180.177799,7610.430754,8009.93257,7552.170239,8434.405434,4075.342741,12015.464661,13205.71855,3224.364886,623.632914
pta,780,432.22238,3598.877252,10615.066232,8806.86142,8580.058407,8407.355626,9776.503569,4624.633986,13469.990609,14244.083866,3688.344355,796.318897
pta,840,382.289273,4300.05234,11678.368001,9318.731134,9481.03197,8659.127274,10340.399578,4782.763982,14227.43662,14980.727951,4127.358795,906.588455
pta,900,351.081096,4695.376314,12021.707206,10242.601831,9401.962291,9208.449984,11056.199498,4970.023593,14762.231116,15001.537204,4531.004529,1158.336505
pta,960,321.953476,4849.345127,12086.213524,10906.38038,9391.558391,9684.948873,11372.485222,5469.384697,14845.467935,15788.130951,4789.005962,1062.630541
pta,1020,305.309127,5313.334018,12354.643599,11185.210629,9976.259635,9747.372518,11547.275238,5498.514191,14862.11531,15151.363988,5136.476948,1085.516739
pta,1080,244.973388,5573.418653,12090.375223,11097.815969,9497.678228,9701.595173,11645.07458,5094.863577,14697.722641,14849.629779,4816.054548,1208.270096
pta,1140,236.651221,5569.257292,12025.868902,11168.56402,9385.316052,9468.547279,11653.397934,5469.384697,14847.548857,14531.249398,4699.537629,1235.317472
pta,1200,207.523642,5831.423447,11901.018105,11047.876206,9239.661614,9481.03197,11613.862011,5113.589591,14595.757738,13463.747952,4768.199364,1058.469415
pta,1260,130.543664,5625.435682,11638.832066,10939.673493,9223.01541,8933.788158,11230.988823,5461.061987,13661.43233,13095.432044,4805.651244,1089.677867
pta,1320,155.510135,5298.769303,11181.048977,10352.884406,8290.833478,8567.573856,11199.776415,5155.202972,12479.495103,11871.88628,4716.182893,1106.32238
pta,1380,118.060431,5375.754253,10269.65226,9745.291729,7945.429538,7812.262151,10225.955418,4749.473431,11692.933876,10954.239234,4177.29424,796.318897
pta,1440,101.416124,4967.942928,9666.221789,9148.107532,7364.904586,7256.706853,10055.329882,4368.713732,10454.843903,10055.329882,3879.762677,858.735609
pta,1500,118.060431,4851.425789,8900.495879,8879.688212,6386.96885,6368.242538,9091.92667,4060.778251,9788.988309,8950.434302,3511.490877,769.27167
pta,1560,88.932896,4764.038045,8411.517134,8317.883247,6043.65382,5804.374518,8904.657413,3931.778605,8555.089307,7512.636343,3444.910845,665.24396
pta,1620,97.255048,4250.116819,7138.10566,7235.899613,5471.465375,5230.107113,7972.47919,3659.21552,7481.425386,6574.232215,3188.994364,523.766491
pta,1680,76.44967,3992.117123,6832.240235,6570.070802,4805.651244,4491.472125,7387.792587,3234.767984,6665.783353,5739.873263,2673.002648,355.242186
pta,1740,115.979893,3819.424244,5883.440643,5845.988258,3992.117123,4006.6816,6414.017976,3010.061376,5644.16182,4635.037265,2350.509515,390.611455
pta,1800,63.966445,3232.687364,5240.510471,5236.349128,3696.666881,3428.265846,5525.563017,2749.985072,4543.488451,3804.859801,2032.178858,319.872932
pta,1860,82.691283,3147.382006,4703.698945,4895.119696,3164.026947,3037.10936,4899.281022,2342.187128,3910.97223,2953.884823,1994.728275,309.470214
pta,1920,76.44967,2989.255241,4216.826489,3836.069324,2610.584521,2462.861813,4297.971692,1996.808863,3338.799034,2410.846841,1566.128415,213.765265
pta,1980,59.805371,2866.499152,3621.764176,3492.765237,2179.90077,2025.937093,3536.458403,2011.372976,2687.566885,1986.405926,1333.104212,242.892846
pta,2040,76.44967,2350.509515,3176.510655,3128.656452,1757.541661,1707.607727,3151.543241,1607.739952,2373.396081,1674.318455,1299.815095,155.510135
pta,2100,76.44967,2221.512625,2648.035391,2506.554417,1441.293936,1410.085347,2491.990213,1480.824834,2003.050625,1420.488209,1177.061598,138.86582
pta,2160,66.046983,2013.453564,2107.080075,2358.831902,1266.525993,1156.255939,2219.432032,1152.094808,1745.058175,1018.938726,956.521889,88.932896
pta,2220,80.610745,1763.783405,1988.486513,2061.3071,1158.336505,1158.336505,1892.779557,1287.33168,1374.715627,908.669014,713.09669,130.543664
pta,2280,55.644297,1613.981684,1597.337065,1651.432088,969.005253,900.346778,1722.171788,1075.113921,1333.104212,848.33282,690.210598,99.335586
pta,2340,97.255048,1355.990488,1568.208992,1522.436325,731.821679,646.518987,1408.004775,908.669014,975.246935,727.66057,579.941339,124.302047
pta,2400,53.56376,1314.379082,1260.284288,1204.108963,638.196778,604.90795,1193.706129,771.352226,1037.663787,609.069053,613.230156,105.577201
pta,2460,78.530207,1139.611416,1395.521343,1104.241816,638.196778,523.766491,960.68301,713.09669,854.574493,534.169238,509.202648,80.610745
pta,2520,82.691283,1018.938726,1043.905475,935.716288,584.10244,523.766491,854.574493,721.418907,831.688361,498.799905,386.450364,57.724834
pta,2580,74.369132,892.024542,937.796848,854.574493,538.330337,532.088688,715.177244,559.135835,760.949448,461.350041,413.497461,97.255048
pta,2640,109.738277,825.44669,887.863425,779.674449,453.027851,488.397163,536.249787,496.719357,619.47181,392.692001,401.014184,55.644297
pta,2700,84.77182,823.366133,817.124462,733.902234,423.900193,340.678374,538.330337,430.141833,521.685942,351.081096,315.711845,47.322149
pta,2760,86.852358,729.741124,702.69392,590.344093,415.578008,334.436741,540.410886,413.497461,386.450364,321.953476,326.114564,74.369132
pta,2820,99.335586,663.163407,652.760644,482.155519,419.7391,332.356196,444.705662,357.322731,357.322731,251.215014,274.10098,57.724834
pta,2880,61.885908,588.263542,592.424643,538.330337,290.745323,280.342609,351.081096,373.967091,342.758918,213.765265,255.376098,61.885908
pta,2940,95.17451,517.524844,465.511136,459.269493,321.953476,201.28202,340.678374,261.617725,224.167971,263.698267,253.295556,61.885908
ptada,0,1018.938726,505.041551,380.208727,315.711845,182.557155,178.396074,159.671215,207.523642,128.463125,126.382586,101.416124,111.818816
ptada,60,130.543664,86.852358,99.335586,101.416124,97.255048,101.416124,78.530207,76.44967,59.805371,76.44967,68.12752,74.369132
ptada,120,66.046983,84.77182,88.932896,91.013434,115.979893,76.44967,91.013434,70.208057,55.644297,76.44967,57.724834,80.610745
ptada,180,49.402686,63.966445,91.013434,74.369132,82.691283,61.885908,57.724834,61.885908,66.046983,68.12752,49.402686,63.966445
ptada,240,43.161076,47.322149,93.093972,63.966445,72.288595,78.530207,47.322149,107.657739,59.805371,68.12752,78.530207,55.644297
ptada,300,43.161076,57.724834,66.046983,51.483223,61.885908,63.966445,72.288595,55.644297,66.046983,61.885908,41.080539,63.966445
ptada,360,70.208057,80.610745,66.046983,70.208057,36.919466,55.644297,41.080539,76.44967,53.56376,91.013434,51.483223,74.369132
ptada,420,72.288595,76.44967,57.724834,45.241613,41.080539,84.77182,55.644297,84.77182,74.369132,41.080539,61.885908,41.080539
ptada,480,49.402686,41.080539,63.966445,68.12752,55.644297,51.483223,59.805371,70.208057,61.885908,59.805371,61.885908,66.046983
ptada,540,70.208057,57.724834,74.369132,59.805371,72.288595,51.483223,82.691283,109.738277,61.885908,74.369132,41.080539,72.288595
ptada,600,41.080539,55.644297,74.369132,55.644297,63.966445,47.322149,43.161076,53.56376,51.483223,45.241613,88.932896,86.852358
ptada,660,63.966445,95.17451,66.046983,57.724834,68.12752,34.83893,70.208057,76.44967,66.046983,55.644297,82.691283,51.483223
ptada,720,66.046983,74.369132,74.369132,76.44967,68.12752,61.885908,34.83893,59.805371,95.17451,53.56376,53.56376,66.046983
ptada,780,78.530207,76.44967,72.288595,45.241613,55.644297,51.483223,39.000003,80.610745,68.12752,57.724834,49.402686,57.724834
ptada,840,47.322149,53.56376,78.530207,74.369132,63.966445,57.724834,63.966445,49.402686,86.852358,78.530207,57.724834,47.322149
ptada,900,43.161076,49.402686,49.402686,59.805371,63.966445,76.44967,55.644297,41.080539,68.12752,55.644297,45.241613,45.241613
ptada,960,63.966445,63.966445,86.852358,53.56376,82.691283,55.644297,47.322149,43.161076,93.093972,76.44967,61.885908,63.966445
ptada,1020,59.805371,74.369132,63.966445,61.885908,72.288595,76.44967,57.724834,68.12752,68.12752,57.724834,74.369132,91.013434
ptada,1080,57.724834,53.56376,91.013434,74.369132,70.208057,59.805371,30.677857,66.046983,49.402686,74.369132,43.161076,63.966445
ptada,1140,47.322149,93.093972,55.644297,49.402686,45.241613,115.979893,32.758393,61.885908,66.046983,43.161076,76.44967,66.046983
ptada,1200,63.966445,49.402686,59.805371,57.724834,51.483223,45.241613,63.966445,59.805371,57.724834,45.241613,63.966445,63.966445
ptada,1260,43.161076,70.208057,74.369132,61.885908,39.000003,70.208057,72.288595,47.322149,49.402686,49.402686,72.288595,32.758393
ptada,1320,63.966445,45.241613,95.17451,53.56376,57.724834,34.83893,59.805371,51.483223,86.852358,55.644297,57.724834,80.610745
ptada,1380,51.483223,34.83893,63.966445,72.288595,80.610745,88.932896,76.44967,86.852358,66.046983,45.241613,74.369132,68.12752
ptada,1440,63.966445,49.402686,95.17451,88.932896,45.241613,74.369132,57.724834,61.885908,51.483223,55.644297,80.610745,53.56376
ptada,1500,61.885908,28.597321,41.080539,51.483223,59.805371,43.161076,57.724834,74.369132,93.093972,76.44967,66.046983,86.852358
ptada,1560,59.805371,93.093972,45.241613,68.12752,80.610745,76.44967,78.530207,103.496662,72.288595,68.12752,93.093972,45.241613
ptada,1620,76.44967,49.402686,78.530207,95.17451,57.724834,61.885908,74.369132,45.241613,43.161076,70.208057,93.093972,49.402686
