Name,Replicate,AUC
pta,A1,10321364.4890084
pta,A2,8286870.72431845
pta,A3,8356324.77549164
pta,A4,16048063.7219813
pta,A5,11814703.0695548
pta,A6,1156818.73942094
pta,A7,10605133.7887204
pta,A8,14022575.9301288
pta,A9,8684912.75863335
pta,A10,9748390.45668537
pta,A11,9352265.00277082
pta,A12,11334929.7729098
ptada,A1,196559.853970383
ptada,A2,220856.162318421
ptada,A3,193954.550068894
ptada,A4,174049.158209223
ptada,A5,158439.125557288
ptada,A6,159421.132973058
ptada,A7,172476.640462159
ptada,A8,196167.499252776
ptada,A9,230902.427578288
ptada,A10,188545.704615749
ptada,A11,217193.929823783
ptada,A12,158642.5609023
1128,A1,2468855.19547224
1128,A2,3150295.23509358
1128,A3,3420005.49306345
1128,A4,5832523.55189105
1128,A5,4168485.72154132
1128,A6,3299371.62087531
1128,A7,1963864.19793308
1128,A8,5613720.01489086
1128,A9,2662243.60522405
1128,A10,2372413.75565986
1128,A11,2797644.84263659
1128,A12,3251995.70225645
264,A1,2627795.84075408
264,A2,2671917.183795
264,A3,2275857.92221147
264,A4,4546785.3925248
264,A5,1791835.93447209
264,A6,1148404.6733607
264,A7,2834832.43118052
264,A8,3708489.28490341
264,A9,2435466.5314221
264,A10,2373717.66175124
264,A11,2555202.95138984
264,A12,269275.293514894
1943,A1,1581869.48984526
1943,A2,919561.295038163
1943,A3,1076362.32553466
1943,A4,1207644.02876613
1943,A5,1728250.3691899
1943,A6,962802.92379805
1943,A7,1883463.67695693
1943,A8,596724.332992552
1943,A9,300947.459788277
1943,A10,817718.164094009
1943,A11,815720.735182216
1943,A12,605610.662133235
1814,A1,1993351.8588283
1814,A2,2166992.84368603
1814,A3,1340131.25202648
1814,A4,1389323.34563613
1814,A5,2861435.83540032
1814,A6,1810883.5620803
1814,A7,3075468.29147723
1814,A8,1316029.33581919
1814,A9,1474900.7799966
1814,A10,2270648.5647408
1814,A11,1843502.17695474
1814,A12,261282.777103312
161,A1,209738.215325512
161,A2,197660.877942043
161,A3,264494.075981255
161,A4,189477.741076421
161,A5,260636.554555093
161,A6,201170.065708933
161,A7,212048.329988686
161,A8,213190.535423073
161,A9,185263.413460847
161,A10,167840.200598553
161,A11,166843.137359701
161,A12,237982.687988715
1090,A1,5213379.52110551
1090,A2,4001314.66361066
1090,A3,1939726.35209116
1090,A4,4617391.17740802
1090,A5,4902818.71081186
1090,A6,5754420.76225951
1090,A7,1770801.45472267
1090,A8,2853593.17081692
1090,A9,3086941.34419038
1090,A10,7538063.50458718
1090,A11,4844848.73168011
1090,A12,3180003.59065703
