Name,Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
Pta_5nM,0,2755.037975,2476.831555,2391.229774,2272.338564,2253.315986,2317.517203,2170.092264,2170.092264,2348.428918,2177.225723,2403.118905,2250.938165
Pta_5nM,60,1982.244752,2072.601728,2044.067935,2129.669344,2120.158072,2201.003922,2136.802799,2096.379897,2250.938165,2155.825349,2146.314074,2246.182521
Pta_5nM,120,1956.088804,2113.024619,2017.911967,1998.88945,2082.112995,2074.979545,2105.891166,2053.579198,2160.580987,2265.205097,2201.003922,2258.07163
Pta_5nM,180,2239.049056,2196.248282,2070.223912,2243.804699,2248.560343,2084.490811,2231.915592,2048.823566,2234.293414,2317.517203,2298.494615,2205.759563
Pta_5nM,240,2139.180618,2305.628085,2153.44753,2246.182521,2184.359182,2224.782129,2215.270845,2312.761555,2269.960741,2229.537771,2353.184567,2215.270845
Pta_5nM,300,2048.823566,2017.911967,2091.624262,2041.690119,2027.423227,2184.359182,2103.513349,2055.957014,2053.579198,2186.737002,2381.718471,2170.092264
Pta_5nM,360,2177.225723,2032.178858,2008.400708,2143.936255,1837.19824,2060.712646,2039.312304,2172.470084,2136.802799,2070.223912,2124.913708,2262.827274
Pta_5nM,420,2217.648666,1948.955365,1982.244752,2179.603542,2051.201382,1934.68849,2089.246445,2074.979545,2108.268984,2158.203168,2143.936255,2303.250261
Pta_5nM,480,2041.690119,1977.489124,2338.91762,1887.132256,2177.225723,2148.691892,2155.825349,1951.333178,2505.365502,2139.180618,1977.489124,2029.801042
Pta_5nM,540,2569.566921,1765.863987,1844.331669,2626.634892,2160.580987,1794.397681,2217.648666,2151.069711,2869.174222,2709.859089,2403.118905,1694.529797
Pta_5nM,600,2139.180618,2067.846095,2543.410781,1832.442621,2020.289782,1937.066302,2091.624262,2220.026487,2424.519345,2227.15995,2086.868628,2246.182521
Pta_5nM,660,2010.778523,2227.15995,2072.601728,2055.957014,2086.868628,2255.693808,2336.539795,2376.962819,2636.146224,2208.137384,2205.759563,2141.558436
Pta_5nM,720,2101.135531,2170.092264,2072.601728,2053.579198,2129.669344,1856.220719,2022.667597,2181.981362,2483.965041,2136.802799,2288.983322,2372.207168
Pta_5nM,780,2001.267265,2058.33483,2001.267265,1934.68849,1982.244752,2122.53589,1967.97787,2191.492642,2372.207168,2250.938165,2120.158072,2113.024619
Pta_100nM,0,2693.214242,2422.141518,2338.91762,2239.049056,2246.182521,2322.27285,2305.628085,2253.315986,2158.203168,2196.248282,2338.91762,2293.738968
Pta_100nM,60,2010.778523,2139.180618,1967.97787,2098.757714,2051.201382,2060.712646,2205.759563,2215.270845,2172.470084,2120.158072,2205.759563,2227.15995
Pta_100nM,120,2072.601728,2189.114822,1927.555053,2070.223912,2017.911967,2179.603542,2153.44753,2153.44753,2205.759563,2146.314074,2360.318042,2167.714445
Pta_100nM,180,2174.847903,2227.15995,2155.825349,2184.359182,2210.515204,2279.472031,2222.404308,2267.582919,2177.225723,2189.114822,2293.738968,2310.383732
Pta_100nM,240,2167.714445,2305.628085,2274.716386,2246.182521,2160.580987,2181.981362,2274.716386,2317.517203,2479.209383,2417.385864,2460.186757,2281.849854
Pta_100nM,300,2091.624262,2032.178858,2143.936255,2082.112995,2141.558436,2113.024619,2246.182521,1989.378194,1958.466617,2236.671235,2262.827274,2203.381743
Pta_100nM,360,2065.468279,2091.624262,2098.757714,2044.067935,2036.934488,2010.778523,2027.423227,2117.780254,2165.336625,2162.958806,2265.205097,2074.979545
Pta_100nM,420,2010.778523,2048.823566,2141.558436,2234.293414,2074.979545,1975.111311,2170.092264,2132.047163,2167.714445,2177.225723,2155.825349,2412.630211
Pta_100nM,480,1996.511636,2220.026487,2331.784147,2167.714445,2101.135531,2113.024619,2269.960741,2134.424981,2502.987673,2070.223912,2070.223912,2331.784147
Pta_100nM,540,1613.684458,2391.229774,2526.765969,1970.355684,1547.106006,2196.248282,2743.148792,2020.289782,2676.569399,2281.849854,1906.154746,2507.743331
Pta_100nM,600,1528.083601,2113.024619,1749.219337,2467.320241,2355.562392,2139.180618,2179.603542,2212.893025,2224.782129,2129.669344,2312.761555,2372.207168
Pta_100nM,660,2034.556673,2060.712646,2272.338564,2191.492642,2186.737002,2191.492642,2129.669344,2084.490811,2338.91762,2338.91762,2298.494615,2227.15995
Pta_100nM,720,2094.002079,1580.395225,1967.97787,2053.579198,2008.400708,2074.979545,1941.821927,2036.934488,2010.778523,2260.449452,2455.431101,2391.229774
Pta_100nM,780,2101.135531,2129.669344,2172.470084,2098.757714,2084.490811,1937.066302,2098.757714,2063.090463,2096.379897,2141.558436,2317.517203,2184.359182
1949_5nM_Pta5nM,0,2755.037975,2445.91979,2469.69807,2445.91979,2293.738968,2250.938165,2469.69807,2336.539795,2086.868628,2343.673269,2189.114822,2212.893025
1949_5nM_Pta5nM,60,2234.293414,2103.513349,2120.158072,2098.757714,2124.913708,2136.802799,2367.451518,2108.268984,2222.404308,2041.690119,2210.515204,2288.983322
1949_5nM_Pta5nM,120,2046.445751,2179.603542,2094.002079,2060.712646,2155.825349,2201.003922,2269.960741,1989.378194,2115.402437,2312.761555,2205.759563,2082.112995
1949_5nM_Pta5nM,180,2196.248282,2255.693808,2148.691892,2151.069711,2353.184567,2260.449452,2431.652826,2229.537771,2143.936255,2162.958806,2212.893025,2255.693808
1949_5nM_Pta5nM,240,2212.893025,2139.180618,2274.716386,2198.626102,2141.558436,2196.248282,2505.365502,2172.470084,2331.784147,2224.782129,2217.648666,2417.385864
1949_5nM_Pta5nM,300,2155.825349,2103.513349,2186.737002,2077.357361,2205.759563,2234.293414,2357.940217,2160.580987,2148.691892,2124.913708,2279.472031,2241.426878
1949_5nM_Pta5nM,360,2146.314074,2058.33483,2051.201382,2148.691892,1987.00038,2003.645079,2227.15995,2065.468279,2229.537771,2124.913708,2215.270845,2053.579198
1949_5nM_Pta5nM,420,2132.047163,1982.244752,2184.359182,2091.624262,2155.825349,2255.693808,2272.338564,1984.622566,2151.069711,2177.225723,2160.580987,2262.827274
1949_5nM_Pta5nM,480,2053.579198,2181.981362,2262.827274,2343.673269,2255.693808,2058.33483,2398.363252,2265.205097,2372.207168,2094.002079,2474.453726,2552.922103
1949_5nM_Pta5nM,540,2353.184567,2524.388139,1794.397681,1520.9502,1585.150829,2631.390558,2766.92716,1960.84443,2764.549322,1780.130832,2876.307743,2455.431101
1949_5nM_Pta5nM,600,2605.234398,2652.791058,2629.012725,2120.158072,1708.79663,2483.965041,2386.474122,2148.691892,2315.139379,2165.336625,2172.470084,2291.361145
1949_5nM_Pta5nM,660,1984.622566,2148.691892,2103.513349,2346.051093,2338.91762,2160.580987,2598.100901,2346.051093,2208.137384,2143.936255,2288.983322,2279.472031
1949_5nM_Pta5nM,720,2143.936255,2512.49899,1932.310677,2110.646801,2098.757714,2006.022894,2533.89946,2220.026487,2108.268984,2072.601728,2120.158072,2208.137384
