Name,Replicate,AUC
Pta_5nM,A1,6049388.94592755
Pta_5nM,A2,6110398.99066724
Pta_5nM,A3,6309742.47901583
Pta_5nM,A4,6944664.08243135
Pta_5nM,A5,6275995.73001621
Pta_5nM,A6,6286850.28987965
Pta_5nM,A7,6699206.32971751
Pta_5nM,A8,7288387.91269051
Pta_5nM,A9,6999874.3467211
Pta_5nM,A10,8266048.25031167
Pta_5nM,A11,7256178.56893582
Pta_5nM,A12,6240929.51629312
Pta_100nM,A1,23356583.1768358
Pta_100nM,A2,30927624.0564231
Pta_100nM,A3,24738290.2005315
Pta_100nM,A4,35115284.3330253
Pta_100nM,A5,51821301.1408131
Pta_100nM,A6,52837192.7976148
Pta_100nM,A7,39643420.5456001
Pta_100nM,A8,50659933.9033804
Pta_100nM,A9,24951937.741292
Pta_100nM,A10,19076007.2533815
Pta_100nM,A11,10732613.2743678
Pta_100nM,A12,48254712.5671763
1949_5nM_Pta5nM,A1,6466112.94997602
1949_5nM_Pta5nM,A2,8355808.73990451
1949_5nM_Pta5nM,A3,7501601.62907938
1949_5nM_Pta5nM,A4,6776328.31235018
1949_5nM_Pta5nM,A5,6596149.66159667
1949_5nM_Pta5nM,A6,8260994.6541362
1949_5nM_Pta5nM,A7,6212778.83640979
1949_5nM_Pta5nM,A8,6119245.09688997
1949_5nM_Pta5nM,A9,11465123.1814621
1949_5nM_Pta5nM,A10,7443000.83024562
1949_5nM_Pta5nM,A11,6809001.3428942
1949_5nM_Pta5nM,A12,6764359.53324223
1949_10nM_Pta5nM,A1,6239958.33767936
1949_10nM_Pta5nM,A2,13353233.9338574
1949_10nM_Pta5nM,A3,9916419.15929238
1949_10nM_Pta5nM,A4,6611937.26829732
1949_10nM_Pta5nM,A5,7898062.73680815
1949_10nM_Pta5nM,A6,7572536.22948939
1949_10nM_Pta5nM,A7,8099150.73102463
1949_10nM_Pta5nM,A8,9789237.90636984
1949_10nM_Pta5nM,A9,7664046.20946562
1949_10nM_Pta5nM,A10,9425617.54020317
1949_10nM_Pta5nM,A11,7609848.18809136
1949_10nM_Pta5nM,A12,6617344.21357217
1949_100nM_Pta5nM,A1,6147676.91929082
1949_100nM_Pta5nM,A2,9566948.8698772
1949_100nM_Pta5nM,A3,6715114.1675456
1949_100nM_Pta5nM,A4,6380874.2761592
1949_100nM_Pta5nM,A5,9664518.17912106
1949_100nM_Pta5nM,A6,9019961.12336816
1949_100nM_Pta5nM,A7,6796376.7251077
1949_100nM_Pta5nM,A8,6075096.31384903
1949_100nM_Pta5nM,A9,8005521.00893542
1949_100nM_Pta5nM,A10,10278002.6857752
1949_100nM_Pta5nM,A11,7796702.99969554
1949_100nM_Pta5nM,A12,6473452.38578643
1949_1uM_Pta5nM,A1,17089304.3216973
1949_1uM_Pta5nM,A2,12485447.8383912
1949_1uM_Pta5nM,A3,11248856.6989182
1949_1uM_Pta5nM,A4,11730583.1956
1949_1uM_Pta5nM,A5,6750213.64044052
1949_1uM_Pta5nM,A6,9294311.99456686
1949_1uM_Pta5nM,A7,9138345.62736472
1949_1uM_Pta5nM,A8,12321906.714026
1949_1uM_Pta5nM,A9,12323700.2737505
1949_1uM_Pta5nM,A10,12214189.3790361
1949_1uM_Pta5nM,A11,10200634.788456
1949_1uM_Pta5nM,A12,10884837.5073847
1949_1uM_fls2,A1,5860545.35018298
1949_1uM_fls2,A2,5771669.1250304
1949_1uM_fls2,A3,5806145.40585559
1949_1uM_fls2,A4,5877813.55247893
1949_1uM_fls2,A5,6949769.54822974
1949_1uM_fls2,A6,5895339.74440722
1949_1uM_fls2,A7,5866318.09401576
1949_1uM_fls2,A8,5864583.43589052
1949_1uM_fls2,A9,6629268.63721809
1949_1uM_fls2,A10,6104247.81470626
1949_1uM_fls2,A11,6219339.37318649
1949_1uM_fls2,A12,6140569.45720987
1949_1uM,A1,6126331.38225598
1949_1uM,A2,5765544.22268668
1949_1uM,A3,5802045.59831411
1949_1uM,A4,6228869.79357627
1949_1uM,A5,5893943.96631425
1949_1uM,A6,5936227.48905763
1949_1uM,A7,6005614.57921301
1949_1uM,A8,5904234.83422547
1949_1uM,A9,6118118.0904736
1949_1uM,A10,6077703.30969828
1949_1uM,A11,6150869.71569028
1949_1uM,A12,6142202.63932952
