Name,Replicate,AUC
pta+pta,A1,896978.988872744
pta+pta,A2,865974.939647438
pta+pta,A3,863848.139107939
pta+pta,A4,603827.960211255
pta+pta,A5,912835.234446316
pta+pta,A6,1683191.20538208
pta+pta,A7,921227.089107782
pta+pta,A8,672581.827476872
pta+pta,A9,1207888.25726132
pta+pta,A10,705462.982002939
pta+pta,A11,744310.468741076
pta+pta,A12,991653.134050163
dw+pta,A1,5232165.772373
dw+pta,A2,11432774.9978345
dw+pta,A3,2315493.45643763
dw+pta,A4,136896.907344952
dw+pta,A5,2007670.32045452
dw+pta,A6,527881.982687276
dw+pta,A7,5685872.05749334
dw+pta,A8,4469873.58294961
dw+pta,A9,3030167.7277129
dw+pta,A10,915174.613542874
dw+pta,A11,254449.993230061
dw+pta,A12,1839669.06901749
da+pta,A1,2305628.98352256
da+pta,A2,6149870.95449097
da+pta,A3,5439553.61520604
da+pta,A4,148184.863443163
da+pta,A5,1572661.29442753
da+pta,A6,7627769.34215945
da+pta,A7,5615200.07194084
da+pta,A8,10800642.2506875
da+pta,A9,4687929.48869377
da+pta,A10,2304104.08329544
da+pta,A11,1504428.24596477
da+pta,A12,4669431.56924104
da+dw,A1,154116.349633912
da+dw,A2,153674.838851246
da+dw,A3,144649.154739641
da+dw,A4,148163.88292847
da+dw,A5,136528.186364947
da+dw,A6,158456.211348641
da+dw,A7,199916.216739773
da+dw,A8,153148.599195398
da+dw,A9,148376.635310682
da+dw,A10,127143.678491352
da+dw,A11,132858.211454135
da+dw,A12,134818.641177825
1297+pta,A1,5437684.12257703
1297+pta,A2,5827246.02797894
1297+pta,A3,4778790.04496348
1297+pta,A4,140622.738202751
1297+pta,A5,3153170.46347536
1297+pta,A6,2152327.66650235
1297+pta,A7,6419767.6390427
1297+pta,A8,4428436.36871831
1297+pta,A9,2572577.08871503
1297+pta,A10,1689319.3665309
1297+pta,A11,923914.979429709
1297+pta,A12,6716792.61322948
1297+dw,A1,142950.902729826
1297+dw,A2,166526.731958445
1297+dw,A3,148183.39344225
1297+dw,A4,152086.855184461
1297+dw,A5,144894.670612023
1297+dw,A6,182325.950124543
1297+dw,A7,156809.312969444
1297+dw,A8,145973.472587373
1297+dw,A9,144152.604332566
1297+dw,A10,128886.768651429
1297+dw,A11,138103.561563505
1297+dw,A12,129583.784220888
20+pta,A1,5152434.04237351
20+pta,A2,10332889.6114447
20+pta,A3,13102388.4623648
20+pta,A4,157561.490987969
20+pta,A5,8296384.62735115
20+pta,A6,1464750.67694247
20+pta,A7,1568796.92582689
20+pta,A8,3152410.19221868
20+pta,A9,2025439.33602201
20+pta,A10,16971183.8353025
20+pta,A11,910441.546139765
20+pta,A12,6231133.06211651
20+dw,A1,137782.647628794
20+dw,A2,140612.830389861
20+dw,A3,460372.516533892
20+dw,A4,143816.904483156
20+dw,A5,136157.332028361
20+dw,A6,136387.677774589
20+dw,A7,186694.372560235
20+dw,A8,153801.637374347
20+dw,A9,136395.99970061
20+dw,A10,144215.933378401
20+dw,A11,139612.973197822
20+dw,A12,148530.465886024
