Name,Time,N,measurement,sd,se,ci
1297+dw,0,12,206.172376416667,146.605125991463,42.321254477875,93.1484530622646
1297+dw,60,12,64.7266651666667,33.1460921258338,9.56845260571713,21.0600221902236
1297+dw,120,12,56.4990195,24.1536143731125,6.97254788010946,15.3464744121493
1297+dw,180,12,50.1969941666667,16.1013653710629,4.64806381565184,10.2303194814086
1297+dw,240,12,54.39834225,13.7641190856815,3.97335892963815,8.74530403985117
1297+dw,300,12,48.2713755833333,15.3018817516122,4.41727277420056,9.72235182409226
1297+dw,360,12,49.6718245,12.0007837632137,3.46432786808895,7.62493422735569
1297+dw,420,12,44.7702515,13.9294984063425,4.02109982728916,8.85038104711049
1297+dw,480,12,46.17070075,12.3738401985612,3.57201998477437,7.86196297803916
1297+dw,540,12,39.16845275,7.30446076497879,2.10861619447278,4.6410329523635
1297+dw,600,12,38.29317275,13.1479797071581,3.79549481161375,8.35382775556667
1297+dw,660,12,51.597444,19.0741921393132,5.50624498310356,12.11916349564
1297+dw,720,12,50.02193775,16.1562927556796,4.663919985799,10.2652186765984
1297+dw,780,12,47.39609375,9.58299114878661,2.76637125969688,6.08874208989684
1297+dw,840,12,43.8949706666667,14.4188972497228,4.16237710427249,9.16133023720896
1297+dw,900,12,53.523062,16.9322312060468,4.88791412239605,10.7582264471961
1297+dw,960,12,46.3457578333333,17.3100559759437,4.99698273869929,10.9982848531112
1297+dw,1020,12,44.7702510833333,11.2532183301003,3.24852431606652,7.14995381185925
1297+dw,1080,12,41.0940714166667,11.4869657723929,3.31600139043153,7.29846985118304
1297+dw,1140,12,47.22103825,14.754652479979,4.25930129055762,9.37465893287648
1297+dw,1200,12,47.0459833333333,20.6236996139935,5.95354926191257,13.1036735753441
1297+dw,1260,12,46.6958704166667,18.5841651681354,5.36478638124373,11.8078152121792
1297+dw,1320,12,46.6958689166667,9.70776594731237,2.80239064145534,6.16802021462289
1297+dw,1380,12,40.7439585833333,8.73624227883706,2.52193591569618,5.55074352514942
1297+dw,1440,12,43.3698020833333,13.3611051231166,3.85701881975112,8.48924118446638
1297+dw,1500,12,50.3720493333333,12.4707244349219,3.5999880547459,7.9235202850029
1297+dw,1560,12,43.3698016666667,11.2413295868211,3.24509233150024,7.14240006475921
1297+dw,1620,12,46.5208134166667,13.9917587221826,4.03907283234421,8.8899393645189
1297+dw,1680,12,50.5471070833333,19.0952122363667,5.51231296244969,12.1325190281325
1297+dw,1740,12,44.5951963333333,18.7132341108074,5.40204537564156,11.8898217059287
1297+dw,1800,12,50.5471060833333,15.0274205592938,4.33804265256698,9.54796750214449
1297+dw,1860,12,43.0196895,13.3260297662497,3.84689343638662,8.46695536594088
1297+dw,1920,12,56.8491391666667,41.4314038846431,11.9602160928514,26.3242581318552
1297+dw,1980,12,49.6718263333333,20.3569455540326,5.87654399774964,12.9341861316726
1297+dw,2040,12,50.1969931666667,12.8288194981829,3.70336119533052,8.1510430333817
1297+dw,2100,12,50.7221618333333,11.9169199711432,3.44011847662539,7.57164971600953
1297+dw,2160,12,47.2210396666667,20.5888197041468,5.94348029924292,13.0815119379307
1297+dw,2220,12,48.2713746666667,10.2455806320489,2.95764436795873,6.50973136270577
1297+dw,2280,12,39.5185655833333,11.2353785897052,3.24337442660682,7.13861898158234
1297+dw,2340,12,48.27137525,12.9132339446578,3.72772954702838,8.2046774138446
1297+dw,2400,12,42.31946475,12.5721766991728,3.62927480078347,7.98797997841895
1297+dw,2460,12,48.9715995,10.0078932881017,2.88902994195328,6.35871202929959
1297+dw,2520,12,51.9475554166667,14.0335093460583,4.05112519931093,8.91646644535664
1297+dw,2580,12,50.02193825,19.0294448192918,5.49332754447362,12.0907324049091
1297+dw,2640,12,57.7244111666667,17.1441381268021,4.94908638126667,10.8928656811796
1297+dw,2700,12,50.7221625833333,17.4610060841891,5.04055828151415,11.0941939761897
1297+dw,2760,12,58.2495814166667,24.1425373590543,6.9693502215853,15.3394364131906
1297+dw,2820,12,57.5493558333333,20.9517738264756,6.04825612935793,13.3121219851501
