Name,Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
pta+pta,0,2140.924087,1657.756341,2002.275614,987.629151,1348.95086,1926.649288,1403.569418,1178.793313,1432.979428,1395.16656,771.257152,1869.929597
pta+pta,60,1304.835901,876.29202,1235.51245,655.718976,1029.643208,1506.504508,1004.434771,958.219326,954.017923,1004.434771,634.712056,1506.504508
pta+pta,120,1063.254472,672.524517,1105.268574,615.805833,998.132663,1369.957992,779.659935,813.27108,855.285034,899.399712,643.114823,1397.267274
pta+pta,180,1065.355177,531.778235,848.982939,569.590641,796.465506,1334.24587,706.135611,716.639082,689.330062,788.06272,458.254169,1004.434771
pta+pta,240,861.587129,454.052796,720.84047,477.16035,659.920361,1300.634478,613.705141,561.187883,708.236305,676.725903,462.455542,853.184336
pta+pta,300,743.948111,418.341136,626.309289,397.334286,655.718976,956.118625,546.483057,403.636341,680.927289,563.288572,376.327442,762.854369
pta+pta,360,634.712056,521.274792,498.167224,349.018555,573.792021,924.608112,617.906524,420.441822,643.114823,485.563099,355.320605,519.174104
pta+pta,420,674.62521,565.389262,506.569975,307.004902,514.972727,985.528449,624.208598,424.643193,712.437693,363.723339,349.018555,489.764474
pta+pta,480,489.764474,685.128676,550.684436,273.393998,529.677546,991.830556,632.611364,304.90422,683.027983,380.528811,311.206266,483.462411
pta+pta,540,504.469287,651.517592,506.569975,254.487871,487.663786,1021.240395,538.080301,351.119238,666.222439,313.306948,317.508313,336.414456
pta+pta,600,544.382368,720.84047,538.080301,241.88379,435.146621,979.226343,544.382368,277.59536,609.503759,279.696041,225.078351,506.569975
pta+pta,660,395.233602,746.048806,470.858289,267.091955,437.247307,941.413717,472.958976,296.501493,645.215515,243.98447,271.293317,336.414456
pta+pta,720,386.830864,580.094091,416.240451,241.88379,422.542507,1042.24743,437.247307,288.098766,605.302377,237.68243,229.27971,378.428127
pta+pta,780,344.817188,622.107906,367.924707,246.08515,391.032233,1067.455881,439.347993,321.709678,519.174104,252.387191,225.078351,237.68243
pta+pta,840,277.59536,527.576858,342.716505,214.574954,391.032233,1017.038989,376.327442,225.078351,554.885814,183.064772,243.98447,273.393998
