Name,Time,N,measurement,sd,se,ci
100nm,0,12,192.07241525,162.369340823747,46.8719913163662,103.164557311266
100nm,60,12,66.5624336666667,69.2082683344783,19.9787061765295,43.9728358123725
100nm,120,12,448.2740735,788.787658290135,227.703383423632,501.171767818071
100nm,180,12,1993.72737608333,2448.51222121729,706.824595016946,1555.71044442008
100nm,240,12,6692.35009241667,6240.01899885443,1801.33832436849,3964.71892023939
100nm,300,12,12640.48643275,9786.31099403331,2825.06464338926,6217.92535639935
100nm,360,12,18533.1429909167,12997.6789825016,3752.10672969382,8258.33123113606
100nm,420,12,23412.73813625,15435.2741393058,4455.77983967193,9807.10530375343
100nm,480,12,26835.4866828333,16911.3722118247,4881.89264943147,10744.9732745591
100nm,540,12,29216.3371139167,17202.0633719987,4965.80795922023,10929.6696261087
100nm,600,12,30288.3185669167,17093.437328267,4934.45032142549,10860.6519306669
100nm,660,12,31171.1199520833,16768.7883318206,4840.73222868023,10654.3797993025
100nm,720,12,31173.6644970833,16124.6691751642,4654.79104443736,10245.1260121341
100nm,780,12,31013.58252025,14987.3139798209,4326.46488033951,9522.48499728492
100nm,840,12,30470.1466886667,14437.0543050736,4167.61859466974,9172.86667979008
100nm,900,12,29852.3879693333,13717.1418531638,3959.79777071819,8715.45613031468
100nm,960,12,29204.8114535833,12982.9290151106,3747.84878087196,8248.95954896671
100nm,1020,12,28331.135913,12261.0664741549,3539.46501470263,7790.30997202401
100nm,1080,12,27431.0784590833,11768.8817795133,3397.38353173146,7477.59073648066
100nm,1140,12,26564.42223825,11197.6771614174,3232.49096172143,7114.66463687923
100nm,1200,12,25532.436622,10900.9542495733,3146.83443520748,6926.13589315701
100nm,1260,12,24571.3385863333,10375.1365501088,2995.04394004222,6592.04726585531
100nm,1320,12,23631.1918253333,10160.6725355005,2933.13351175942,6455.78333194996
100nm,1380,12,22673.896592,9813.79561721388,2832.9987706852,6235.38825283598
100nm,1440,12,21596.2451509167,9448.83650584796,2727.64415009004,6003.50429635895
100nm,1500,12,20340.7389743333,9066.79961154291,2617.35959820635,5760.76963427558
100nm,1560,12,19173.2707734167,8441.21655157557,2436.76932417004,5363.29312106479
100nm,1620,12,18049.43181775,8132.43472892654,2347.6316899564,5167.10251095489
100nm,1680,12,16941.1098075833,7432.64951784699,2145.62109996055,4722.48020019267
100nm,1740,12,15818.01807475,7059.38760160927,2037.86966605151,4485.32089318028
100nm,1800,12,14633.3305023333,6588.4881348342,1901.93269909959,4186.12564621124
100nm,1860,12,13546.3389544167,6081.41454327939,1755.55316180803,3863.94645689143
100nm,1920,12,12460.25340725,5482.16751561319,1582.56544544095,3483.20306028934
100nm,1980,12,11585.08375725,5078.53198171529,1466.04590336572,3226.7452773211
100nm,2040,12,10482.6113261667,4540.09462391913,1310.61242663304,2884.63850165102
100nm,2100,12,9486.94442533333,4146.54696153153,1197.00500222383,2634.5902464501
100nm,2160,12,8770.56090241667,3888.38786152709,1122.48088928317,2470.56377979872
100nm,2220,12,8090.244019,3422.9559921381,988.122281742586,2174.84247847132
100nm,2280,12,7240.67421241667,3103.54317222471,895.915742962782,1971.89725495356
100nm,2340,12,6663.40819133333,2867.88286142755,827.886471024754,1822.16583696612
100nm,2400,12,6186.31621466667,2704.31600286157,780.668786112972,1718.2404131814
100nm,2460,12,5477.64479083333,2348.29653969156,677.894819663993,1492.03643818345
100nm,2520,12,5080.72543625,2042.84457897673,589.71843379239,1297.96152140953
100nm,2580,12,4643.64098891667,1924.45206378279,555.541458533763,1222.73850604848
100nm,2640,12,4184.41730825,1692.82819033877,488.677405691939,1075.57171800004
100nm,2700,12,3813.04313033333,1586.32694806131,457.933145242977,1007.90405699388
100nm,2760,12,3515.05178991667,1460.55827468369,421.626856527883,927.994454313958
100nm,2820,12,3160.81979733333,1256.44426660316,362.704217772549,798.306600820026
100nm,2880,12,2898.36271766667,1217.15890824788,351.363511661733,773.345874965159
100nm,2940,12,2642.51175525,1118.34420323645,322.838163392611,710.562006738377
100nm,3000,12,2403.08689566667,969.605757101801,279.901072435268,616.05810672376
10nm,0,12,207.42650975,205.789066734358,59.4061865376817,130.752134987073
10nm,60,12,37.9968949166667,16.3448752112093,4.71835905153128,10.3850382524044
10nm,120,12,52.2796523333333,29.41019495655,8.48999198754177,18.6863463738764
10nm,180,12,257.952387583333,349.062615547031,100.765697525056,221.783804898932
10nm,240,12,1248.30999225,1693.15068197121,488.770501007338,1075.77661940771
10nm,300,12,3416.23357316667,4123.93184717929,1190.47658104432,2620.22128831517
10nm,360,12,6348.70094641667,6960.73139153408,2009.39007132944,4422.63772783157
10nm,420,12,9666.15756366667,9600.60115986793,2771.45483201599,6099.93095713146
10nm,480,12,13336.6628279167,11975.9332369442,3457.15413907337,7609.14495624986
10nm,540,12,16655.3249050833,13629.0065717755,3934.35530650088,8659.45764413622
10nm,600,12,19250.6034033333,14587.7204826179,4211.11217375122,9268.59540190768
10nm,660,12,21586.37192475,14892.1151372515,4298.98334164753,9461.99853844738
10nm,720,12,22961.56822375,14237.6075662383,4110.04328049196,9046.14426769717
10nm,780,12,23664.5078235833,13221.8798898575,3816.82795680107,8400.78169154205
10nm,840,12,24174.3001755833,12661.3315900151,3655.01160089716,8044.62629353742
10nm,900,12,24146.7949748333,11486.4601787117,3315.85543810757,7298.14861228393
10nm,960,12,23704.62732925,10419.1144505262,3007.73926636442,6619.98949069299
10nm,1020,12,23233.5674093333,9538.56438018489,2753.54635629116,6060.51466782125
10nm,1080,12,22282.618013,8372.8991199214,2417.0477803921,5319.88629587545
10nm,1140,12,21314.9415879167,7531.3019448316,2174.09960259844,4785.16096188029
10nm,1200,12,20536.4344485833,6987.18546891902,2017.02670567912,4439.44584670826
10nm,1260,12,19226.6305465833,6120.47613587073,1766.82927230682,3888.76500876283
10nm,1320,12,18365.48103525,5685.58580961317,1641.28724884044,3612.44887814544
10nm,1380,12,16982.1754869167,5105.58901114787,1473.85659497891,3243.93649365177
10nm,1440,12,16014.4591070833,4827.33238890908,1393.53082710223,3067.14067058223
10nm,1500,12,14909.08020825,4584.52731859783,1323.43904074983,2912.86968897628
10nm,1560,12,13806.3936785833,4271.37425230539,1233.03953718908,2713.90172315942
10nm,1620,12,12646.9467409167,4063.64246025892,1173.07253416044,2581.91523939822
10nm,1680,12,11758.04600375,3935.22463333422,1136.00150068858,2500.3224448574
10nm,1740,12,10712.553337,3700.4747212122,1068.23503821064,2351.16946659153
10nm,1800,12,9700.10785658333,3421.05157440478,987.572523697098,2173.63246917156
10nm,1860,12,8990.69280541667,3272.97094766038,944.825328840773,2079.54652765724
10nm,1920,12,8035.05810408333,3118.88495355149,900.344533752213,1981.64495775825
10nm,1980,12,7404.93239375,2836.99026400939,818.968546307083,1802.53761700371
10nm,2040,12,6697.86732841667,2835.40864034122,818.511970881797,1801.53270126819
10nm,2100,12,5983.122845,2579.87655978584,744.746213134181,1639.17536314278
10nm,2160,12,5376.23336925,2469.08776628596,712.764243259006,1568.78352205702
10nm,2220,12,4824.69660183333,2294.94146666785,662.492536777559,1458.13624211887
10nm,2280,12,4372.07859725,2129.00007337797,614.589382734753,1352.70211094907
10nm,2340,12,3906.60642758333,1873.31291629774,540.778858250453,1190.24624190055
10nm,2400,12,3497.38041233333,1679.88812116909,484.941929482714,1067.34999029766
10nm,2460,12,3166.00475225,1648.18511520869,475.790059970036,1047.20686131316
10nm,2520,12,2863.90796216667,1438.86603226916,415.364845529204,914.211861033535
10nm,2580,12,2613.59143541667,1329.90555820043,383.910666011898,844.981678693086
10nm,2640,12,2309.17873425,1249.84663241549,360.799644835416,794.114664049084
10nm,2700,12,2015.299951,1081.2852197549,312.140156348127,687.015851990911
10nm,2760,12,1882.287253,1002.57390119086,289.418155867519,637.005066125497
10nm,2820,12,1602.51582375,885.391212892677,255.590427550858,562.550738100916
10nm,2880,12,1507.532939,831.901270791307,240.149211315276,528.564850312634
10nm,2940,12,1354.16796966667,736.133846508862,212.503537220743,467.717131889837
10nm,3000,12,1194.73324208333,648.47106317411,187.197471442628,412.018856651902
1nm,0,12,266.34321825,269.614467956173,77.8309928259571,171.30486020513
1nm,60,12,72.27556775,98.004044153955,28.2913306369789,62.2687988912366
1nm,120,12,35.8544813333333,12.98768814515,3.74922262337664,8.25198335593183
1nm,180,12,41.5675845833333,23.0827805137772,6.66342477163717,14.6660990377604
1nm,240,12,33.1764670833333,20.0976149139544,5.80168169032051,12.7694153039708
1nm,300,12,64.95563075,77.0123581463246,22.2315528533542,48.9313179160255
1nm,360,12,132.263257583333,147.328176897511,42.5299812954975,93.6078576903649
1nm,420,12,315.619118833333,330.567875564901,95.4267259714192,210.032807739225
1nm,480,12,655.908922833333,534.06674103575,154.171788351108,339.329818265578
1nm,540,12,1180.09443066667,784.895683600618,226.579867106296,498.698925076494
1nm,600,12,1916.210685,1079.61243888208,311.657266104519,685.953017730776
1nm,660,12,2896.94017441667,1546.64346916066,446.477511630143,982.690377412587
1nm,720,12,3933.56827633333,1943.48121299794,561.034700744669,1234.82905063547
1nm,780,12,5046.27736925,2445.07124445957,705.831270588273,1553.52415209342
1nm,840,12,6156.87216266667,3151.15229706858,909.659313485026,2002.14664971969
1nm,900,12,7094.8173475,3578.36759850608,1032.98574812846,2273.5863022169
1nm,960,12,7843.51185483333,4044.77545960767,1167.62610020804,2569.92771909357
