Name,Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
1nm,0,975.844212,592.348345,363.108774,290.266446,157.436508,146.724426,183.145509,118.873023,95.306459,61.027835,71.739903,140.297179
1nm,60,380.248156,71.739903,43.888529,52.458181,26.749227,46.030942,43.888529,26.749227,52.458181,20.321989,50.315768,52.458181
1nm,120,61.027835,41.746116,33.176464,37.46129,24.606814,26.749227,33.176464,20.321989,41.746116,33.176464,56.743008,20.321989
1nm,180,20.321989,16.037165,37.46129,65.312662,35.318877,63.170248,69.597489,24.606814,28.891639,73.882317,7.467517,56.743008
1nm,240,50.315768,37.46129,16.037165,46.030942,26.749227,24.606814,80.309559,9.609929,20.321989,39.603703,37.46129,9.609929
1nm,300,56.743008,61.027835,26.749227,35.318877,9.609929,31.034052,245.275633,24.606814,18.179577,35.318877,206.712101,28.891639
1nm,360,108.160948,262.414987,78.167145,88.879216,9.609929,80.309559,341.684552,24.606814,26.749227,78.167145,472.372404,16.037165
1nm,420,253.845309,626.627223,236.705957,228.136283,61.027835,193.857595,748.745855,39.603703,63.170248,163.863757,1091.536102,80.309559
1nm,480,598.775634,1209.370626,508.793651,725.179085,176.718258,598.775634,1256.50449,148.866843,121.015438,461.660276,1852.107784,213.139355
1nm,540,1550.020606,2177.763464,1001.553505,1462.179891,388.817848,1168.664133,2186.33337,315.975494,358.823929,695.185026,2456.285936,399.529966
1nm,600,1742.842063,3458.975745,1935.664035,2387.726459,888.004196,2302.027203,3566.101549,648.051529,738.033686,1277.928984,3214.729507,834.443264
1nm,660,2584.835133,4858.051281,3126.886764,3863.912121,1477.177079,3454.690717,5817.922786,997.268622,1211.513074,1783.548881,3979.608646,1607.866989
1nm,720,3368.990193,6195.018659,4783.061857,5389.407142,2321.309527,4778.77675,7688.423391,1333.632697,1976.370962,2357.731708,4605.230108,2404.866322
1nm,780,4138.156037,7681.995471,6285.007739,7232.04248,3062.611654,5888.628112,10073.221337,1882.102325,3006.906605,2796.941808,5053.024146,3454.690717
1nm,840,4939.468457,8862.599764,7902.687727,9205.428589,3793.20878,6668.533884,13287.359525,2310.597124,4041.742042,3291.859809,5085.162581,4493.81767
1nm,900,5800.782111,9805.382955,9357.559402,11352.431172,4258.138079,7525.582922,14915.910893,3180.4494,4853.766169,3861.769594,4598.802463,5627.23301
1nm,960,6334.28752,10049.651519,10426.769524,13015.223607,4594.517366,7814.839272,16883.078566,3437.550604,6479.984463,4052.454701,4943.753574,6090.031542
1nm,1020,6700.673039,10251.066572,11555.992619,13876.633734,4890.189629,8029.103983,18113.121351,3881.052335,7570.578278,4136.013503,4504.530397,6696.387817
1nm,1080,6610.683441,10364.630626,12282.390257,15524.484266,4999.460119,7808.411341,19476.050406,4161.723923,8206.944177,4478.819855,4281.706003,7594.147286
1nm,1140,7212.758843,10113.932858,12455.955377,15955.203031,4986.604759,8140.521884,19981.797928,4193.86196,9263.281114,4468.107132,4264.565694,7799.840766
1nm,1200,6878.509956,9745.387293,12976.653245,16345.209307,5098.017959,7795.555479,20517.551292,4442.396602,9490.40629,4654.508742,3428.980549,7699.136593
1nm,1260,6672.819104,9269.709175,12494.52546,16838.077398,5151.582059,7326.318112,19823.215696,4579.51953,10428.912246,4382.405404,3051.899142,7594.147286
1nm,1320,6745.66788,8609.76455,12290.961364,15863.058999,4969.464282,6979.212983,19313.183314,4855.908725,10062.507782,4215.287327,2784.08684,7097.05713
1nm,1380,6432.847184,7791.270193,11800.267114,16032.346963,4429.541341,6486.412276,18393.848342,4585.947174,10306.777218,4138.156037,2340.591856,6707.100872
1nm,1440,5852.204147,7199.903088,11114.58642,15323.054482,4410.258454,5856.489319,17804.537217,4296.703777,9608.254541,3906.762664,2297.742243,6379.282133
1nm,1500,5447.256605,6514.266139,10131.074558,14356.627921,4393.118114,5406.547719,15620.913617,4168.151529,9404.698593,3713.93542,1792.11874,5965.761274
1nm,1560,5147.296929,6105.029692,9477.550129,12693.804554,3906.762664,4716.642719,14789.482562,3960.325879,8626.905893,3420.410495,1599.297152,5224.429298
1nm,1620,4864.478949,5158.009753,8466.205968,11489.567242,3454.690717,4510.958034,13595.924328,3750.358305,8376.214166,3135.456783,1415.045893,4504.530397
1nm,1680,4352.409823,4536.668587,7879.118619,10548.904756,3304.714867,3735.360644,12301.675249,3375.417729,7701.279234,3000.479103,1215.79797,4080.307624
1nm,1740,3578.956657,3827.489179,6773.521844,9117.578547,2891.211641,3336.852523,10733.179356,3126.886764,6919.219674,2698.387113,1057.257004,3420.410495
1nm,1800,3283.289771,3285.432281,6242.155782,8296.935767,2876.214159,2820.509254,9726.102984,2861.216681,6786.377523,2554.8403,975.844212,2762.661899
1nm,1860,2998.336602,2685.532163,5453.684326,6938.503232,2511.99056,2683.389672,8708.327325,2852.646694,6045.03711,2426.291157,787.309676,2552.697812
1nm,1920,2496.993157,2229.182917,4802.344845,6490.697485,2237.752829,2117.774149,7409.880707,2385.583976,5695.795568,2122.059099,688.757729,2460.570906
1nm,1980,2321.309527,1811.400927,4193.86196,5661.514281,2134.913949,1798.546135,6726.384373,2377.014046,5213.716464,1856.392718,630.912083,1869.24752
1nm,2040,1972.086021,1601.439611,3493.255985,4654.508742,1740.6996,1725.702357,5558.670517,1864.962586,4778.77675,1712.84758,566.639198,1520.026204
1nm,2100,1770.694094,1273.644084,3030.474121,4007.461541,1485.746902,1303.638384,4900.902415,1772.836558,4251.710464,1550.020606,532.36035,1282.213883
1nm,2160,1445.040252,1097.963435,2927.63411,3373.275217,1423.615709,1211.513074,4211.002253,1537.165861,3883.194862,1445.040252,510.936078,1222.225313
1nm,2220,1245.792246,954.419808,2593.405087,3148.311814,1280.071433,1121.530327,3518.966176,1397.906265,3191.161932,1222.225313,433.808751,1025.120365
1nm,2280,1130.100107,845.155447,2246.322742,2764.804393,1151.524563,875.149569,3208.301986,1307.923285,2867.644171,1245.792246,431.666326,858.010069
