Name,Replicate,AUC
Pta,A1,14245724.9610065
Pta,A2,17140120.1353682
Pta,A3,14682672.7270464
Pta,A4,16163091.6953187
Pta,A5,15033616.2726496
Pta,A6,13737900.7412575
Pta,A7,13680586.8337388
Pta,A8,14302184.9018225
Pta,A9,15223938.8975102
Pta,A10,14072214.9216475
Pta,A11,14341483.8462245
Pta+Pa20,A1,15753385.3386378
Pta+Pa20,A2,14536553.7410739
Pta+Pa20,A3,14071549.6909169
Pta+Pa20,A4,17972464.3952912
Pta+Pa20,A5,15350811.7258101
Pta+Pa20,A6,15036902.3002633
Pta+Pa20,A7,14495698.9588993
Pta+Pa20,A8,15682656.6661226
Pta+Pa20,A9,18261825.0547205
Pta+Pa20,A10,14818896.4964395
Pta+Pa20,A11,14415438.8788245
Pta+1410,A1,13959661.387052
Pta+1410,A2,14163941.9206626
Pta+1410,A3,13715782.7090758
Pta+1410,A4,13620064.9559738
Pta+1410,A5,13682876.6943606
Pta+1410,A6,13724362.1987269
Pta+1410,A7,13687970.4104202
Pta+1410,A8,14073409.5495536
Pta+1410,A9,13835091.6931977
Pta+1410,A10,14079604.5424895
Pta+1410,A11,15436143.7326554
Pta+1186,A1,13539168.5152022
Pta+1186,A2,18441966.8409574
Pta+1186,A3,14915372.6124051
Pta+1186,A4,14843775.5199565
Pta+1186,A5,14223512.5014489
Pta+1186,A6,14162684.0940914
Pta+1186,A7,14187236.7324041
Pta+1186,A8,14048100.2495876
Pta+1186,A9,13962755.3333785
Pta+1186,A10,14391816.7116587
Pta+1186,A11,14603639.9969625
Pta+2009,A1,13752247.3748173
Pta+2009,A2,14546001.9669715
Pta+2009,A3,15207320.2611279
Pta+2009,A4,15452585.277378
Pta+2009,A5,14937860.8372428
Pta+2009,A6,14619585.9886594
Pta+2009,A7,14588295.2975109
Pta+2009,A8,14571930.4430533
Pta+2009,A9,16017877.786498
Pta+2009,A10,14626235.0127504
Pta+2009,A11,16023587.0762434
Pta+2004,A1,17354316.396004
Pta+2004,A2,18498287.3019295
Pta+2004,A3,20367498.1089557
Pta+2004,A4,18206480.5073005
Pta+2004,A5,15588644.2197018
Pta+2004,A6,14461743.081281
Pta+2004,A7,17860563.1649441
Pta+2004,A8,13708090.5302256
Pta+2004,A9,16250840.4610177
Pta+2004,A10,15323760.3577151
Pta+2004,A11,19739602.9248062
Pta+1949,A1,22283080.3798611
Pta+1949,A2,25748452.7935753
Pta+1949,A3,19226507.0686057
Pta+1949,A4,33532605.5256516
Pta+1949,A5,18069671.1967936
Pta+1949,A6,13958511.4250886
Pta+1949,A7,19086775.0290538
Pta+1949,A8,15428031.1367291
Pta+1949,A9,20437302.2992646
Pta+1949,A10,19999327.8116234
Pta+1949,A11,18983265.8137443
Pta+5014,A1,13454780.3593735
Pta+5014,A2,13820608.7473805
Pta+5014,A3,13662791.6404817
Pta+5014,A4,14392640.7577383
Pta+5014,A5,13682575.6990133
Pta+5014,A6,14035688.8638135
Pta+5014,A7,13887169.9693032
Pta+5014,A8,13710158.2775658
Pta+5014,A9,14373317.9834478
Pta+5014,A10,14935434.4061281
Pta+5014,A11,14311940.2612676
