Name,Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
Pa,0,6079.322845,5316.009169,4997.369478,4795.247943,4735.80053,5002.125285,4883.230195,4597.882701,4892.741796,4937.921914,4930.78821,4971.212544
Pa,60,4752.445801,4576.48168,4847.561703,4816.649022,4975.96835,4802.381635,4780.980559,4716.777367,4771.468972,5052.061275,4833.29431,4771.468972
Pa,120,4728.666843,4626.417405,4673.975267,4690.620525,4652.574225,4821.404818,4880.852295,4845.183804,4707.265787,4871.340696,4873.718596,4895.119696
Pa,180,4800.003738,4678.731054,4657.330012,4690.620525,4662.085799,4842.805905,4788.114251,4700.132103,5042.549655,4947.433521,4999.747381,5104.375203
Pa,240,4778.602663,4845.183804,5028.282228,4676.353161,4835.672209,4902.253398,4897.497597,4757.201593,4638.306868,5063.950801,4949.811423,5040.17175
Pa,300,4719.155262,4835.672209,4911.765,4769.091075,4745.312113,5016.392707,4745.312113,5033.038037,5023.526419,5113.88683,5071.084517,4892.741796
Pa,360,4907.009199,5275.584661,4947.433521,4800.003738,4983.102058,4795.247943,4937.921914,4918.898703,4968.834642,4978.346253,5434.904902,5090.107764
Pa,420,5494.352834,5601.359224,5125.776365,4864.206997,5101.997296,5403.991994,5487.21908,4983.102058,5023.526419,5173.334524,5622.760519,5277.962572
Pa,480,5725.01123,5996.095144,5380.212843,5220.892711,5477.707409,5948.536496,6046.031754,5363.567441,5030.660132,5377.834928,6167.306509,5487.21908
Pa,540,6088.834588,7063.794225,5446.794485,5453.928236,5851.041357,6169.684448,6079.322845,5335.032475,5361.189527,5285.096308,6502.596495,5461.061987
Pa,600,6757.037351,7962.669974,5934.268907,5656.051434,5900.977877,6569.179071,6407.478626,5380.212843,5513.376182,5705.987832,6975.809575,5506.242426
Pa,660,6925.872384,8390.709594,5729.767081,5708.365757,6481.194965,6485.95086,6578.690872,5558.556651,5522.887858,5767.813893,7781.942822,5782.081452
Pa,720,7479.93915,8980.456821,5682.208591,5748.790484,6343.274128,6887.825021,6897.33686,5563.312491,5584.713776,5698.854059,7603.594059,5893.844086
Pa,780,8100.593602,8818.751504,6221.999106,5943.780633,6847.399719,6833.13197,7049.526437,5853.419285,5744.034633,5881.954437,7591.704156,5905.733737
Pa,840,7879.440314,9196.857095,6219.621167,6167.306509,6778.438955,6971.05365,7215.984118,5767.813893,5905.733737,5974.693749,7772.430878,5908.111668
Pa,900,7862.794392,8980.456821,6338.518242,6457.415493,6657.163274,6747.525529,6730.879842,5689.342363,5950.914428,6110.236014,6982.943462,5760.680114
Pa,960,7774.808864,8730.764925,6191.085895,6124.503634,6768.92713,6650.029416,6704.722343,5594.22546,5953.29236,5962.804087,7177.936617,5939.02477
Pa,1020,7579.814254,8357.417542,5839.151714,5920.001321,6557.289321,6469.305228,6495.462651,5824.884144,5960.426155,6024.630346,6516.864185,5796.349013
Pa,1080,7639.26378,7701.091334,5758.302188,5670.318973,6371.809454,6150.660944,6395.5889,5465.817821,5556.178731,5689.342363,6364.675622,5582.335855
Pa,1140,7082.817945,7356.284432,5981.827546,5839.151714,6314.738812,6103.102204,6376.565343,5732.145006,5765.435966,5553.800811,6359.919734,5717.877456
Pa,1200,6978.187537,6999.5892,5658.429357,6079.322845,6416.990408,5815.372433,6167.306509,5615.626754,5615.626754,5905.733737,6114.991887,5510.998263
Pa,1260,6516.864185,6635.761702,5401.614079,5470.573656,6019.874478,5763.05804,5993.717211,5434.904902,5465.817821,5439.660735,6162.550633,5591.847539
Pa,1320,6041.275885,6474.061123,5461.061987,5577.580014,5782.081452,5430.149069,5972.315816,5598.981303,5553.800811,5627.516363,5977.071681,5301.741693
Pa,1380,6107.858077,5886.710296,5235.160172,5275.584661,5998.473077,5403.991994,5736.900857,5491.974916,5644.16182,5316.009169,5896.222016,5577.580014
Pa,1440,6003.228943,6119.74776,5373.079099,5477.707409,5755.924262,5387.346588,5506.242426,5430.149069,5810.616578,5484.841162,5772.569745,5537.155373
Pa,1500,5653.673511,5734.522931,5420.637405,5461.061987,5620.382597,5575.202093,5487.21908,5256.561369,5708.365757,5620.382597,5767.813893,5560.934571
Pa,1560,5751.16841,5632.272208,5170.956615,5598.981303,5725.01123,5377.834928,5508.620345,5598.981303,5556.178731,5453.928236,5820.128288,5824.884144
Pa,1620,5822.506216,5767.813893,5520.509939,5002.125285,5446.794485,5289.852132,5294.607956,5175.712432,5204.247342,5311.253344,5568.068332,5501.486589
Pa,1680,5335.032475,5394.480333,5292.230044,5282.718396,5415.881573,5163.82289,5299.363781,5294.607956,5225.648531,5413.503657,5603.737146,5389.724503
Pa,1740,5163.82289,5268.450926,5187.601977,5159.067073,5656.051434,5225.648531,5332.654561,5256.561369,5377.834928,5629.894286,5765.435966,5596.603382
Pa,1800,5147.177533,5282.718396,5192.357795,5258.939281,5427.771153,5197.113614,5342.166215,5463.439904,5280.340484,5363.567441,5501.486589,5458.68407
Pa,1860,5339.788302,5282.718396,5113.88683,5251.805547,5420.637405,4987.857865,5018.770611,5118.642644,5292.230044,5387.346588,5579.957935,5434.904902
Pa,1920,5168.578707,5339.788302,5161.444981,5111.508923,5335.032475,5118.642644,5289.852132,5230.404351,5351.677871,5192.357795,5556.178731,5399.236164
Pa,1980,5163.82289,4999.747381,5021.148515,5049.68337,5201.869433,5087.729858,5225.648531,5242.293904,5406.36991,5280.340484,5408.747826,5403.991994
Pa,2040,5216.136891,5197.113614,5130.53218,5197.113614,5287.47422,5037.793846,5061.572896,5097.241483,5149.555441,5185.224068,5399.236164,5527.643696
Pa,2100,5130.53218,5023.526419,5151.933349,5135.287994,5130.53218,5323.142908,5071.084517,5182.846159,5228.026441,5375.457014,5613.248832,5399.236164
Pa,2160,5118.642644,5068.706612,4978.346253,4978.346253,5377.834928,5040.17175,5023.526419,5289.852132,5180.46825,5175.712432,5413.503657,5411.125741
Pa,2220,5270.828837,5042.549655,5094.863577,4852.317501,5035.415941,5094.863577,5085.351952,5154.311257,5213.758981,5463.439904,5301.741693,5346.922043
Pa,2280,4911.765,4954.567228,5097.241483,5090.107764,5135.287994,5185.224068,5075.840329,5163.82289,5216.136891,5209.003161,5289.852132,5159.067073
Pa,2340,4914.142901,4978.346253,5002.125285,5014.014803,5180.46825,5037.793846,5054.43918,4975.96835,5033.038037,5066.328706,5392.102418,5068.706612
Pa,2400,5125.776365,5018.770611,5104.375203,4880.852295,5030.660132,4985.479961,5216.136891,5220.892711,5330.276648,5204.247342,5270.828837,5403.991994
Pa,2460,4911.765,5071.084517,4897.497597,5016.392707,5121.020551,5166.200798,5018.770611,5218.514801,5178.090341,4947.433521,5187.601977,5294.607956
Pa,2520,5087.729858,4873.718596,4899.875497,4909.3871,5061.572896,5071.084517,4909.3871,4892.741796,5137.665902,5339.788302,5337.410388,5194.735704
Pa,2580,4987.857865,4890.363896,5078.218235,5123.398458,5121.020551,5014.014803,4897.497597,4964.078837,5159.067073,5432.526986,5370.701184,5244.671815
Pa,2640,4956.94513,5168.578707,5033.038037,5180.46825,5142.421717,5180.46825,5080.59614,5154.311257,5056.817085,5175.712432,5415.881573,5254.183458
Pa,2700,4890.363896,5002.125285,5023.526419,5004.503188,5156.689165,5066.328706,4980.724155,4883.230195,5201.869433,5220.892711,5316.009169,5249.427636
Pa,2760,5118.642644,5199.491523,5370.701184,5318.387082,5149.555441,5187.601977,5220.892711,5332.654561,5456.306153,5370.701184,5368.32327,5292.230044
Pa,2820,5054.43918,5251.805547,5232.782262,5097.241483,5016.392707,5311.253344,5216.136891,5149.555441,5323.142908,5453.928236,5675.07482,5472.951574
Pa,2880,5028.282228,5175.712432,5216.136891,5223.270621,5121.020551,5180.46825,5154.311257,5044.92756,5192.357795,5244.671815,5268.450926,5434.904902
Pa,2940,5354.055785,5128.154272,5337.410388,5206.625252,5237.538083,5342.166215,5168.578707,5461.061987,5354.055785,5308.875431,5446.794485,5394.480333
Pa20,0,6157.794757,5375.457014,5111.508923,4861.829098,4861.829098,4866.584897,4697.754208,4840.428006,4657.330012,4795.247943,4899.875497,4980.724155
