Name,Replicate,AUC
Pa,A1,23830773.1247177
Pa,A2,30049118.0675691
Pa,A3,26434064.0168763
Pa,A4,21926999.7078423
Pa,A5,16834507.7592513
Pa,A6,22945206.1401523
Pa,A7,24583917.4858747
Pa,A8,23395841.3062121
Pa20,A1,17308155.0999497
Pa20,A2,19355624.3868408
Pa20,A3,17645746.0621964
Pa20,A4,18966832.7099048
Pa20,A5,17905816.5135405
Pa20,A6,19166380.0105403
Pa20,A7,20225459.5709126
Pa20,A8,18185367.0586718
1809,A1,26977630.2987376
1809,A2,23538241.5856994
1809,A3,29630167.65196
1809,A4,29758421.0049996
1809,A5,27463907.1232118
1809,A6,29167994.6517091
1809,A7,19647213.1658737
1809,A8,27017538.8218328
1291,A1,30714623.2991011
1291,A2,58137146.7174901
1291,A3,48416064.5908641
1291,A4,36240009.3685645
1291,A5,25415542.4377975
1291,A6,59094611.3718668
1291,A7,36311754.0444034
1291,A8,45579571.5879116
2007,A1,27921626.9738257
2007,A2,24720168.1185603
2007,A3,29205558.9792026
2007,A4,42251618.0531381
2007,A5,31197602.9365687
2007,A6,24288926.2436951
2007,A7,29149657.9418025
2007,A8,31008864.215755
1949,A1,20123912.4102999
1949,A2,21881498.300871
1949,A3,31506872.6033831
1949,A4,26781092.1318759
1949,A5,32039379.606553
1949,A6,32643814.9478296
1949,A7,31178953.489143
1949,A8,21644421.6948912
2003,A1,30959653.6731865
2003,A2,31783814.9868787
2003,A3,35371035.421905
2003,A4,30664456.992295
2003,A5,34843910.604385
2003,A6,21418663.6504066
2003,A7,31045252.0877248
2003,A8,26653995.4490568
2002,A1,25050128.2666571
2002,A2,22793746.591255
2002,A3,31547972.4573099
2002,A4,39297040.1427974
2002,A5,22095986.8439285
2002,A6,21291023.2283419
2002,A7,30643261.035953
2002,A8,28531562.7439892
