Name,Time,N,measurement,sd,se,ci
1291,0,8,5548.749907875,630.986945625552,223.087574046007,527.51828781819
1291,60,8,5057.114339125,54.2608837424238,19.1841194237214,45.3632340347838
1291,120,8,5508.324524625,509.613813192643,180.175691547426,426.047809780545
1291,180,8,8731.43630075,3749.84565018843,1325.77064382556,3134.9494164397
1291,240,8,16046.347851875,9335.77897197168,3300.69630936998,7804.90654027904
1291,300,8,21760.006867625,12280.2128886374,4341.71090398496,10266.5148969677
1291,360,8,25180.195773125,14160.5706393905,5006.51776229208,11838.5333167459
1291,420,8,27107.186317875,14683.7724394595,5191.49753267097,12275.9409678379
1291,480,8,28336.0268395,14729.2976782659,5207.59313520855,12314.0010199422
1291,540,8,28784.3183405,14254.1106403155,5039.58914677522,11916.7347145285
1291,600,8,28628.157119625,13830.1925005306,4889.71145112026,11562.3302806099
1291,660,8,28214.723415,12785.0401063341,4520.19427846542,10688.5610127703
1291,720,8,27399.361231125,12021.9482619039,4250.40056953303,10050.6002657016
1291,780,8,26459.39396425,10899.2242229989,3853.45767887762,9111.97947996045
1291,840,8,25515.9098105,10017.4449452692,3541.70162548138,8374.79355551886
1291,900,8,24403.872878875,9161.22487071898,3238.98211503012,7658.97565967552
1291,960,8,23272.234082625,8270.35692425407,2924.01273198659,6914.19141802155
1291,1020,8,21955.118521875,7557.6683325275,2672.03926394451,6318.36884473132
1291,1080,8,20902.91114975,6706.84751375976,2371.22867868183,5607.06483968337
1291,1140,8,19632.8343165,6224.58532760245,2200.72324761099,5203.88356234498
1291,1200,8,18586.92520575,5578.82714558463,1972.41325285524,4664.01621186451
1291,1260,8,17423.6146435,5072.40127825892,1793.3646703781,4240.63359152574
1291,1320,8,16620.6330055,4671.49095873811,1651.62146758768,3905.4641767091
1291,1380,8,15516.805739875,4038.2973347631,1427.75371492927,3376.10105962345
1291,1440,8,14544.395876375,3486.45813165236,1232.64909360718,2914.7519404474
1291,1500,8,13492.6348795,3078.00263346968,1088.23826731823,2573.274598412
1291,1560,8,12558.31349475,2802.51760157332,990.839600233578,2342.96334815082
1291,1620,8,11585.060568375,2457.44713614429,868.838767187545,2054.47721961565
1291,1680,8,10851.70747775,2046.48938013369,723.543259159393,1710.90793768478
1291,1740,8,10090.426011125,1904.51345424366,673.347189178352,1592.21309327297
1291,1800,8,9827.94622025,1784.12979798352,630.785139335565,1491.56983801721
1291,1860,8,9230.460685,1596.50760785321,564.450677864458,1334.71376170628
1291,1920,8,8802.708476375,1253.1606690499,443.059203500728,1047.6685374892
1291,1980,8,8557.474894625,1177.3634840424,416.260851743899,984.300505022292
1291,2040,8,8280.73412375,1143.62620881377,404.332923697439,956.095437092378
1291,2100,8,7996.857994375,895.54148192689,316.621727352177,748.691415078156
1291,2160,8,7725.766096375,762.372195096165,269.539274470286,637.359105169162
1291,2220,8,7635.401824625,643.689859513053,227.578732321348,538.138189593802
1291,2280,8,7652.34472425,611.26722415214,216.115599657528,511.032188097708
1291,2340,8,7366.6893575,485.945448268179,171.807660878583,406.260561522926
1291,2400,8,7509.665190875,491.50011519206,173.771532203137,410.904379283975
1291,2460,8,7450.51314175,515.721768171507,182.335179739795,431.154187931248
1291,2520,8,7422.571256,378.972894362311,133.987151744742,316.829268417458
1291,2580,8,7259.679975625,347.253530739015,122.772663188264,290.311216807603
