Name,Time,N,measurement,sd,se,ci
1,0,8,359.403697125,277.674589186576,98.1727924885084,232.141765964913
1,60,8,65.7497645,16.6200167261396,5.87606326524356,13.8946817008884
1,120,8,68.127520625,12.0574284180169,4.26294469902555,10.0802624185147
1,180,8,63.669227,15.2747242865317,5.40043056188071,12.769989075666
1,240,8,52.672102125,12.1906616177661,4.31004974853649,10.1916481609608
1,300,8,54.455419125,8.78253811710986,3.10509612931886,7.34238561091425
1,360,8,69.613619125,13.9190942963051,4.92114298244615,11.6366540418478
1,420,8,60.994251375,18.8514494248823,6.66499386176475,15.760206122246
1,480,8,68.721961125,18.4946096598019,6.53883195292209,15.4618806129694
1,540,8,100.524516875,97.5580689502021,34.4919860570763,81.5605867161629
1,600,8,98.44395225,68.5467944079143,24.2349515772182,57.3065542356669
1,660,8,101.118918125,50.1256532566558,17.7220946645934,41.9060948329207
1,720,8,115.385488875,80.8282291225106,28.5770944619136,67.5740906046988
1,780,8,172.154518,108.351321824222,38.3079772062168,90.5839719312838
1,840,8,233.679242375,202.455093022863,71.5786845811099,169.256693457603
1,900,8,347.812205,313.089651807885,110.693907956345,261.749499257154
1,960,8,503.556553125,450.21791128813,159.17606904174,376.391593129306
1,1020,8,666.732058625,603.195254595128,213.26172745188,504.283852669287
1,1080,8,789.783347625,781.779221417662,276.400694427584,653.583785200552
1,1140,8,938.9905845,941.423529956145,332.843481000283,787.049767157832
1,1200,8,1034.400573125,1068.46095499818,377.757993356134,893.25571232294
1,1260,8,1069.175905875,1086.30572125665,384.067070971161,908.174310256614
1,1320,8,1111.0842915,1076.50193928586,380.600910614749,899.978143417934
1,1380,8,1155.370042875,1027.74348512915,363.362193827559,859.215055636604
1,1440,8,1147.346011625,1113.74954224843,393.76992693364,931.117918775204
1,1500,8,1036.777524,994.457700563862,351.593891835944,831.387443347164
1,1560,8,1007.649377375,968.67708224748,342.479066818596,809.834307062118
1,1620,8,907.78096725,813.886833202052,287.752449437808,680.426420395867
1,1680,8,838.824847875,758.734377698051,268.253111794823,634.31781371527
1,1740,8,741.334963125,631.025245728861,223.101115177393,527.550307505857
1,1800,8,643.5485075,563.88777113672,199.364433399471,471.421974121445
1,1860,8,514.851023625,462.825972437502,163.633691809908,386.932196031368
1,1920,8,457.487221875,439.372368789157,155.341590718405,367.324492693741
1,1980,8,388.828729125,330.932417261905,117.002278180175,276.666424476446
1,2040,8,365.645431375,308.630026768835,109.117192403014,258.021159421884
1,2100,8,276.7762565,231.406350507132,81.8144998266121,193.460550421941
1,2160,8,248.837477625,203.370906599684,71.9024735763462,170.022332768138
1,2220,8,206.929371,175.839415636451,62.1686215982073,147.005430319216
1,2280,8,180.179515,148.634986125964,52.5504033056189,124.261958087448
1,2340,8,168.2906855,129.498000161893,45.7844570322855,108.26303744455
1,2400,8,149.565832625,132.520804408768,46.8531797228679,110.790165036929
1,2460,8,139.460354,131.057635062153,46.3358712393602,109.566924851272
1,2520,8,125.490954125,71.0086478849777,25.1053482211778,59.3647152484787
1,2580,8,94.282865125,51.6268625409722,18.2528522970536,43.161137202354
1,2640,8,87.744028875,46.5900238510469,16.4720609003591,38.9502346787024
1,2700,8,88.9329095,49.7100215348132,17.5751466600979,41.5586180177673
1,2760,8,82.0968495,33.3960936090361,11.8073021280451,27.9198329578585
1,2820,8,73.477479375,33.1609855456131,11.7241788750661,27.723277697993
1,2880,8,68.721963375,27.3700395711765,9.67677029106151,22.8819257073366
1,2940,8,76.44967725,37.3153313806302,13.1929619307334,31.1963977317526
1+1,0,8,297.284464,230.575011826153,81.5205772172206,192.765533891682
1+1,60,8,82.394065625,22.6645486492646,8.01312802121371,18.9480368500796
1+1,120,8,64.263665625,11.4342658120044,4.04262344677892,9.55928544231105
1+1,180,8,58.91371275,9.79859139038019,3.46432520910698,8.1918274048586
1+1,240,8,62.77756825,14.1385865401117,4.99874520945292,11.8201541498056
1+1,300,8,49.402687,11.3278143032085,4.00498715491035,9.4702897538186
1+1,360,8,60.69703125,16.2483485618688,5.74465872559006,13.5839593396544
1+1,420,8,62.1831285,11.1526674134255,3.9430633781757,9.32386328960163
1+1,480,8,76.4496805,44.1923122090562,15.6243418196683,36.9456975819631
1+1,540,8,86.55514475,34.0502453363684,12.0385796892058,28.4667174878285
1+1,600,8,104.38835825,82.0610363861136,29.0129576499085,68.604743269408
1+1,660,8,184.043542,229.232240524855,81.0458358708555,191.642948990833
1+1,720,8,273.80461,394.34831492237,139.423183815548,329.683441684524
1+1,780,8,426.87498925,687.817623720792,243.180252976294,575.029923696214
1+1,840,8,585.592885375,890.718698088234,314.916615773922,744.659466888542
1+1,900,8,819.212085125,1136.84141054683,401.934135265673,950.423203792184
1+1,960,8,977.039302375,1285.11201427617,454.355709939491,1074.38053057258
1+1,1020,8,1250.784564,1446.87757708372,511.548473151329,1209.61992547889
1+1,1080,8,1463.600011625,1612.65367422793,570.159174375984,1348.21221099757
1+1,1140,8,1548.012097625,1623.8530492369,574.118751382932,1357.57512281425
1+1,1200,8,1668.686086375,1651.84406654873,584.015070459684,1380.97619890464
1+1,1260,8,1672.547350375,1496.83759693327,529.212007563247,1251.38754731816
1+1,1320,8,1683.543673,1432.8736353628,506.597332074228,1197.91233721492
1+1,1380,8,1646.388120875,1273.46369002088,450.237405404304,1064.64228779323
1+1,1440,8,1493.315560625,1154.08766653501,408.031607545331,964.841434618078
1+1,1500,8,1344.998373625,974.125172619551,344.4052576419,814.389024596098
1+1,1560,8,1226.70183525,840.022989461604,296.992976100448,702.276793839836
1+1,1620,8,1043.908259875,713.755368647364,252.350630639427,596.714421114723
1+1,1680,8,913.129199375,580.815377529075,205.349246034117,485.573807218566
1+1,1740,8,793.0505585,449.955707346929,159.083365949301,376.172385148728
1+1,1800,8,681.59214525,423.881561433064,149.864763254631,354.373853651111
1+1,1860,8,576.67252175,336.629208377783,119.016397994695,281.429061035474
1+1,1920,8,518.714226875,301.649196720002,106.649096270094,252.185039450718
1+1,1980,8,430.142218125,265.251831832276,93.780684505378,221.756080912389
1+1,2040,8,394.475647625,242.654763371649,85.7914143336551,202.864458911806
1+1,2100,8,301.7426595,180.807320725274,63.9250412865062,151.158702910143
1+1,2160,8,284.801112375,190.091430202164,67.2074696706997,158.920412671523
1+1,2220,8,234.8680475,164.645272584901,58.2108943675455,137.646892528404
1+1,2280,8,188.20443125,132.30278821389,46.7760993579646,110.607898936757
1+1,2340,8,170.371194875,105.635643664263,37.347839985003,88.3136081731448
1+1,2400,8,153.132414375,83.9006385854222,29.6633552448169,70.142689195506
1+1,2460,8,150.160211875,80.3327006327346,28.4018986842178,67.1598184199825
1+1,2520,8,140.64918475,90.7384379589774,32.0808823975339,75.8592325297047
1+1,2580,8,117.466011125,59.3385836444883,20.9793574405114,49.6082973866668
