Name,Replicate,AUC
0_Pa-0_Pa20,A1,203681.799011882
0_Pa-0_Pa20,A2,209750.067129258
0_Pa-0_Pa20,A3,182772.089438342
0_Pa-0_Pa20,A4,168857.592013772
0_Pa-0_Pa20,A5,176395.713062316
0_Pa-0_Pa20,A6,183321.777156529
0_Pa-0_Pa20,A7,171201.39226722
0_Pa-0_Pa20,A8,173920.079567229
10_Pa-0_Pa20,A1,10911615.8789067
10_Pa-0_Pa20,A2,6904788.2561311
10_Pa-0_Pa20,A3,9143206.01226793
10_Pa-0_Pa20,A4,8555746.20015354
10_Pa-0_Pa20,A5,17966722.979513
10_Pa-0_Pa20,A6,15918674.9185814
10_Pa-0_Pa20,A7,13597517.1202981
10_Pa-0_Pa20,A8,15155530.001946
10_Pa-10_Pa20,A1,8725063.57806553
10_Pa-10_Pa20,A2,1257147.55109372
10_Pa-10_Pa20,A3,9101190.9583882
10_Pa-10_Pa20,A4,9015577.73805016
10_Pa-10_Pa20,A5,6946290.98515498
10_Pa-10_Pa20,A6,8584294.80371712
10_Pa-10_Pa20,A7,5028634.14133803
10_Pa-10_Pa20,A8,4925293.00801683
10_Pa-50_Pa20,A1,2084742.4247959
10_Pa-50_Pa20,A2,2819650.13806399
10_Pa-50_Pa20,A3,2315732.34966356
10_Pa-50_Pa20,A4,2093936.0601859
10_Pa-50_Pa20,A5,1622233.14509551
10_Pa-50_Pa20,A6,2766810.0663408
10_Pa-50_Pa20,A7,3361360.36933716
10_Pa-50_Pa20,A8,4180873.39075458
10_Pa-100_Pa20,A1,488838.258534928
10_Pa-100_Pa20,A2,3387358.36189409
10_Pa-100_Pa20,A3,2279488.99598764
10_Pa-100_Pa20,A4,798570.860039234
10_Pa-100_Pa20,A5,1865453.39417228
10_Pa-100_Pa20,A6,1483513.54114914
10_Pa-100_Pa20,A7,992278.656078166
10_Pa-100_Pa20,A8,286760.118557665
3_Pa-0_Pa20,A1,18794639.5657545
3_Pa-0_Pa20,A2,11542444.2720657
3_Pa-0_Pa20,A3,11030468.7386199
3_Pa-0_Pa20,A4,17965798.0335028
3_Pa-0_Pa20,A5,12319970.0392889
3_Pa-0_Pa20,A6,12646633.5664731
3_Pa-0_Pa20,A7,14700782.6043375
3_Pa-0_Pa20,A8,25900793.5020521
