Name,Time,N,measurement,sd,se,ci
1nm,0,8,452.434225875,386.595608388783,136.682188134324,323.202016823189
1nm,60,8,87.744019,18.8407398437271,6.66120745303551,15.7512526883384
1nm,120,8,53.86098025,11.3678498115897,4.01914184464265,9.50376027643336
1nm,180,8,74.36913475,21.7901875219314,7.70399468004209,18.2170526545693
1nm,240,8,177.504494625,121.428936642444,42.9316122660718,101.517131524332
1nm,300,8,768.08519575,664.533990762917,234.948245598708,555.564319411884
1nm,360,8,2099.668353875,1862.17871837992,658.379599773856,1556.82036837921
1nm,420,8,4193.41516775,3584.48289594049,1267.30608138336,2996.70269423011
1nm,480,8,6752.1393395,5327.22137243629,1883.4571786658,4453.66852150968
1nm,540,8,9459.302899625,6998.68178388421,2474.40767437564,5851.04439515595
1nm,600,8,12176.952678125,8235.63352830784,2911.73615761688,6885.16193254047
1nm,660,8,14349.752710125,8914.31816932324,3151.68741359146,7452.5564916181
1nm,720,8,16176.4741455,8494.63596570382,3003.30734753015,7101.6933889566
1nm,780,8,17359.340250125,8303.27894738627,2935.65242489017,6941.71491814245
1nm,840,8,17889.348587125,7726.80371489799,2731.83765185089,6459.76956298089
1nm,900,8,17732.322490625,6989.1373526377,2471.03320834716,5843.06505094881
1nm,960,8,17187.933770125,6134.42037383685,2168.84512249447,5128.50377459916
1nm,1020,8,16197.9311295,5238.83346966944,1852.20733595515,4379.77438557762
1nm,1080,8,14723.104563,4559.193381119,1611.91827826503,3811.58105237118
1nm,1140,8,13127.908588625,3687.26836385891,1303.64623206963,3082.63349584941
1nm,1200,8,11557.43283725,3044.78513992826,1076.49410984965,2545.50407884727
1nm,1260,8,9670.11866025,2440.20277947393,862.741966418139,2040.06057665918
1nm,1320,8,8154.11935225,1951.99835259525,690.135635992536,1631.91146175636
1nm,1380,8,6609.022948875,1554.0557313691,549.441672996456,1299.22310480313
1nm,1440,8,5327.60927675,1192.99856840567,421.788688832747,997.371762661436
1nm,1500,8,4202.8621745,1023.84041469843,361.982250043054,855.952007097929
1nm,1560,8,3236.55426475,727.393521919844,257.172445970344,608.11620258291
1nm,1620,8,2412.6321315,592.761204731133,209.572733744846,495.56076868566
1nm,1680,8,1805.99049625,427.606581381723,151.181756687507,357.488048261678
1nm,1740,8,1430.000409125,430.108145189503,152.066193053533,359.579407941774
1nm,1800,8,1072.439378375,292.372318573585,103.369224547308,244.429375232904
1nm,1860,8,827.527526125,225.976463794672,79.8947449688844,188.921051528245
1nm,1920,8,630.766375625,160.525097367185,56.7541924494836,134.202339845613
1nm,1980,8,469.6723545,150.240584211129,53.1180679525589,125.604271678374
1nm,2040,8,380.803234625,109.709049182121,38.7880063171031,91.7190604083562
1nm,2100,8,314.820225625,88.3094622270875,31.2221097918554,73.8285579997139
1nm,2160,8,228.6263055,75.3095088712329,26.6259322053386,62.9603250140091
1nm,2220,8,192.6626655,72.3439785705677,25.5774589126314,60.4810796389261
1nm,2280,8,160.265675375,61.7007727479484,21.8145174072622,51.5831368980052
1nm,2340,8,126.38259575,41.9418677232576,14.8286895413723,35.0642789088693
1nm,2400,8,106.46886275,23.2776661749479,8.22989780125118,19.4606159289687
1nm,2460,8,104.685545125,26.2612761905592,9.28476323847862,21.9549763240037
1nm,2520,8,87.744021,26.6524141434346,9.42305138790742,22.2819758358509
1nm,2580,8,73.47747625,23.8030313785017,8.41564245026738,19.899832230636
1nm,2640,8,74.369134125,19.2725137766707,6.81386259099751,16.1122247296936
1nm,2700,8,64.560886875,20.3354347194397,7.18966189424608,17.0008488758868
1nm,2760,8,65.155327625,26.0392722910462,9.20627300708087,21.7693764193275
1nm,2820,8,62.7775695,20.8744071100465,7.38021741038129,17.4514410706149
1nm,2880,8,69.019179875,14.9270718739582,5.27751687266741,12.4793443852995
1nm,2940,8,69.019182,24.2130447983565,8.56060408504577,20.2426120277835
1nm1,0,8,412.90366175,342.743790009625,121.178229062692,286.540979206707
1nm1,60,8,69.316399125,11.648583858184,4.11839631867105,9.7384598128
1nm1,120,8,60.399811,12.883216961886,4.55490503862358,10.7706389180315
1nm1,180,8,58.319273625,9.29087146080764,3.28481910653482,7.76736292140759
1nm1,240,8,185.826660875,125.278916673801,44.2927857598744,104.735795378403
1nm1,300,8,1042.424536625,973.178659211971,344.070614617409,813.597719584759
1nm1,360,8,3073.118058625,2829.87985454011,1000.51361754426,2365.83876409398
1nm1,420,8,5949.25882925,4835.88988883076,1709.74526673184,4042.90512176009
1nm1,480,8,9547.629420875,7526.09925552292,2660.87790973164,6291.97643587896
1nm1,540,8,13216.63406175,9669.37543568632,3418.64047020621,8083.80016332617
1nm1,600,8,16634.304927625,11403.3334430737,4031.68720286436,9533.42533472935
1nm1,660,8,19535.96141275,12474.9341455133,4410.55526457403,10429.305941602
1nm1,720,8,21676.271639875,13027.4211315993,4605.8889117634,10891.196620898
1nm1,780,8,23126.502397375,12948.6395663654,4578.03542225872,10825.3335841238
1nm1,840,8,23293.504428,12343.1678640367,4363.96884899213,10319.1465735222
1nm1,900,8,23096.064395625,12125.0874999913,4286.86579686204,10136.8268265836
1nm1,960,8,22341.341042875,10796.7630355646,3817.232178656,9026.31978361034
1nm1,1020,8,20789.642162375,9978.26581477457,3527.8497110545,8342.03898273408
1nm1,1080,8,19110.4170395,8896.41651396312,3145.35822264165,7437.59033320523
1nm1,1140,8,16936.830997625,7492.05253632807,2648.84057672173,6263.51266631921
1nm1,1200,8,15144.474404,6694.85751724978,2366.98957476253,5597.04095175076
1nm1,1260,8,12787.63310775,5578.45832280447,1972.28285431079,4663.70786830393
1nm1,1320,8,10692.166584,4491.44763793671,1587.96654106467,3754.94419371944
1nm1,1380,8,8806.33679975,3575.28396274991,1264.05376736399,2989.0121936261
1nm1,1440,8,7090.295102125,2901.12909519891,1025.70402815637,2425.40461993496
1nm1,1500,8,5640.920435375,2273.50405691835,803.805067851046,1900.69695699377
1nm1,1560,8,4306.012192375,1664.41076362659,588.458068820122,1391.48222057752
1nm1,1620,8,3336.727710375,1304.11662037736,461.074852863458,1090.26877888051
1nm1,1680,8,2557.38565075,967.200345403657,341.956961500448,808.59972416494
1nm1,1740,8,1933.799727375,730.496462558147,258.269501153825,610.710325875106
1nm1,1800,8,1484.095880625,536.494786655888,189.679550857804,448.520865989591
1nm1,1860,8,1151.204252625,451.72188934624,159.707805583563,377.648950251558
1nm1,1920,8,870.92237275,341.632613679176,120.785368903515,285.612012546832
1nm1,1980,8,709.233237625,281.651797289003,99.5789478982165,235.466795148217
1nm1,2040,8,547.24728325,236.158089573749,83.494493284829,197.433103695757
1nm1,2100,8,406.364383,202.031419934648,71.4288935242682,168.902493891923
1nm1,2160,8,332.35632975,156.031516380808,55.1654716558447,130.445612127965
1nm1,2220,8,273.8038445,124.490034514233,44.0138737975807,104.076273388304
1nm1,2280,8,205.740371125,95.4786583307981,33.7568033821504,79.8221559336822
1nm1,2340,8,164.129559125,90.6577916091749,32.0523696071222,75.7918104940167
1nm1,2400,8,122.51874,45.5147193695369,16.0918833550011,38.0512576350379
1nm1,2460,8,133.218652875,43.0431116723939,15.2180380734598,35.9849418901653
1nm1,2520,8,99.93002975,27.8726296662638,9.85446272325824,23.3021015418335
1nm1,2580,8,91.6078795,34.0428296921033,12.0359578630325,28.4605178540755
1nm1,2640,8,80.016307125,17.0517803299789,6.02871475131573,14.2556451068963
1nm1,2700,8,77.04411125,20.0454104305983,7.0871228235718,16.7583825026346
1nm1,2760,8,63.07478925,22.2849589489128,7.87892279562003,18.6306919189503
1nm1,2820,8,74.3691355,24.3792583387456,8.61936944581285,20.3815700250069
1nm1,2880,8,60.99425,9.84484807749647,3.48067941767455,8.23049896305309
1nm1,2940,8,73.4774745,15.3439694222656,5.42491241440151,12.8278794578606
1nm10,0,8,354.945387125,277.811204780837,98.2210933950674,232.255979459936
1nm10,60,8,74.07191425,18.2417729469807,6.44944067583767,15.2505038312947
1nm10,120,8,57.7248345,9.0709380849039,3.20706091577943,7.5834940177874
1nm10,180,8,60.697030375,9.0263087123203,3.19128204978245,7.54618292858831
1nm10,240,8,118.0604375,33.9611791751956,12.0070900459361,28.3922563136788
1nm10,300,8,375.453366375,177.083892092542,62.6086104687718,148.045838672984
1nm10,360,8,1236.21210275,735.702809179911,260.110222654554,615.062940576157
1nm10,420,8,2703.9289885,1627.87010096587,575.538993641898,1360.93346210294
1nm10,480,8,4578.600529,2643.1291794731,934.487283178733,2209.71129260949
1nm10,540,8,6505.933845125,3518.23067569507,1243.88238428125,2941.31445200051
1nm10,600,8,8429.16481525,4483.42818035461,1585.1312346458,3748.23975940068
1nm10,660,8,10708.57263525,5528.42240597878,1954.59248626562,4621.87679500472
1nm10,720,8,12411.332050375,6168.75639974297,2180.98474087308,5157.20941062229
1nm10,780,8,13498.141532375,6162.27658534678,2178.69378052289,5151.7921502188
1nm10,840,8,14150.050572375,6078.0904681067,2148.92949333178,5081.41079489533
1nm10,900,8,14009.7070685,5587.6288348068,1975.52511992269,4671.37460819993
1nm10,960,8,13693.9834025,5214.06793113063,1843.45139583489,4359.06987722375
1nm10,1020,8,12992.100114875,4631.55372835703,1637.50152437555,3872.07581655857
1nm10,1080,8,11873.465311375,4118.14708694063,1455.98486554967,3442.85712303082
1nm10,1140,8,10480.469076125,3339.37802681347,1180.64842385258,2791.78989564661
1nm10,1200,8,9304.507122125,2842.70277793122,1005.0472055865,2376.5589963254
1nm10,1260,8,7873.526573,2390.1238231228,845.036381602823,1998.19352141625
1nm10,1320,8,6536.505752,2072.76965874713,732.83474076891,1732.87880043188
1nm10,1380,8,5296.405855,1626.56211321163,575.076550136532,1359.83995697516
1nm10,1440,8,4338.106478875,1210.20183764288,427.870963000852,1011.75405566417
1nm10,1500,8,3440.75521975,1014.29488597185,358.607395996767,847.971745374492
1nm10,1560,8,2743.74665225,788.772576027522,278.873218661521,659.43037596677
1nm10,1620,8,2147.50504175,613.657127615952,216.960558130349,513.03019739413
1nm10,1680,8,1648.758817,567.14279337518,200.515257548335,474.143240813167
1nm10,1740,8,1300.1135605,476.374969295397,168.423985588154,398.259440871663
1nm10,1800,8,997.539316,345.775729140736,122.250181422569,289.075743753424
1nm10,1860,8,779.0803855,264.088188906694,93.3692746035986,220.783251081295
1nm10,1920,8,633.738674625,201.926708543885,71.3918724570305,168.814952978513
1nm10,1980,8,515.44451625,201.080790721426,71.0927953427367,168.107747980958
1nm10,2040,8,382.586690125,189.569705850405,67.0230122571804,158.484240198129
1nm10,2100,8,332.356302625,139.450626926171,49.3032419701056,116.583641644659
1nm10,2160,8,270.831614125,103.126736937321,36.4608075050106,86.2161096590043
1nm10,2220,8,198.30986025,87.2882556402538,30.8610587405842,72.9748079278148
1nm10,2280,8,187.907165625,95.5420671453279,33.7792217835209,79.8751670292448
1nm10,2340,8,147.485214125,55.5884242649678,19.6534758766168,46.4730856859418
1nm10,2400,8,132.029776375,49.1164909441465,17.3653019073468,41.0624140263427
1nm10,2460,8,111.818831125,53.1521619874321,18.7921270880195,44.4363194513447
1nm10,2520,8,93.093980125,39.132521972864,13.8354358259718,32.7156070854487
1nm10,2580,8,90.418999375,29.8862619667797,10.5663892505138,24.9855402735341
1nm10,2640,8,85.06904425,28.1752485859558,9.96145466837302,23.555097289977
1nm10,2700,8,65.749765875,22.8066468997448,8.06336733946833,19.066833960408
1nm10,2760,8,71.694158125,22.0137535336123,7.7830372014933,18.4039585176999
1nm10,2820,8,67.830301875,16.6897297876367,5.9007105545045,13.9529632788109
1nm10,2880,8,69.61361925,14.7638551901144,5.21981106069307,12.3428918228471
1nm10,2940,8,72.58582025,32.7859079526258,11.5915689203298,27.4097049830211
1nm100,0,8,419.7402365,455.831428542134,161.160747100047,381.084610997583
1nm100,60,8,81.205186,17.7480579890522,6.27488607847544,14.837747797145
1nm100,120,8,72.288596125,15.9124561602088,5.62590282810865,13.3031462644501
1nm100,180,8,61.588689875,15.5010767155345,5.48045823062369,12.959224441974
1nm100,240,8,69.910845625,37.6975618901131,13.3281008233493,31.5159504345654
1nm100,300,8,278.857409625,406.419666918217,143.691051242725,339.775344505408
1nm100,360,8,1544.44153725,1389.6208001364,491.305145527163,1161.75206204585
1nm100,420,8,4582.17751225,2973.5698103557,1051.31568861706,2485.96657338386
1nm100,480,8,9023.3881015,4817.45197474385,1703.22647969095,4027.49063983223
1nm100,540,8,13474.975435125,6465.33780541393,2285.84210243497,5405.15767072957
1nm100,600,8,17295.9468165,7468.02498926102,2640.34555598853,6243.42513427571
1nm100,660,8,19631.47208825,7840.42942067087,2772.01040538544,6554.76303024196
1nm100,720,8,20658.904266375,7644.88794603487,2702.87605402628,6391.28626639994
1nm100,780,8,20693.356964625,7230.96308944942,2556.53151752966,6045.23642631193
1nm100,840,8,20070.52084025,7193.59655620316,2543.32045300573,6013.99722274929
1nm100,900,8,18879.86986725,7222.8193438721,2553.65226866867,6038.42808462886
