Name,Time,N,measurement,sd,se,ci
1391_bak1-5,0,12,16482.6170540833,594.303818262512,171.560734727142,377.602631188858
1391_bak1-5,60,12,13390.6398110833,218.83784326193,63.1730438580761,139.042932049444
1391_bak1-5,120,12,15336.9857558333,678.955496682318,195.997569388656,431.387741638464
1391_bak1-5,180,12,12268.635456,312.166431995909,90.1146867724016,198.341088292362
1391_bak1-5,240,12,11416.04430225,241.394755628035,69.6846635714049,153.374910406641
1391_bak1-5,300,12,11758.8305040833,764.47283445018,220.684298378984,485.722865797379
1391_bak1-5,360,12,12683.9820506667,1144.8708347726,330.495742321656,727.416224323435
1391_bak1-5,420,12,13496.64292775,1721.69807731218,497.011424199723,1093.9147690596
1391_bak1-5,480,12,14037.96838925,2388.45395855967,689.487267960725,1517.55124485368
1391_bak1-5,540,12,14198.2142546667,2926.06630288604,844.682583818973,1859.13383197342
1391_bak1-5,600,12,15019.0699066667,3040.01170775105,877.575788904841,1931.53128823527
1391_bak1-5,660,12,14587.067653,2947.60681257063,850.900793351414,1872.82001887667
1391_bak1-5,720,12,12388.1186386667,2727.37443606183,787.325182420602,1732.89104267419
1391_bak1-5,780,12,10881.5756665,2146.63942647457,619.681425364079,1363.90962121077
1391_bak1-5,840,12,9487.7136145,2010.13302936715,580.275422806041,1277.177594362
1391_bak1-5,900,12,8347.721455,1568.63832785199,452.826880423255,996.665243902174
1391_bak1-5,960,12,8050.86417875,1341.26434603172,387.189665617929,852.198708165906
1391_bak1-5,1020,12,7725.5700605,962.614713085166,277.882931862807,611.616209272795
1391_bak1-5,1080,12,7486.56056525,688.117623630971,198.642447618733,437.209079373113
1391_bak1-5,1140,12,7215.92591808333,467.118073660564,134.845372785633,296.792664408204
1391_bak1-5,1200,12,6876.6295875,371.828384191616,107.337608852687,236.248484204484
1391_bak1-5,1260,12,6826.13746241667,337.416166476624,97.4036572721051,214.384004194555
1391_bak1-5,1320,12,6946.95751908333,309.120425418789,89.2353804137749,196.405748045851
1391_bak1-5,1380,12,6732.6437215,200.117179614503,57.7688537599509,127.148389841156
1391_bak1-5,1440,12,6824.33385733333,240.66654011203,69.4744458593083,152.912224341927
1391_bak1-5,1500,12,6549.81882783333,201.242401114713,58.0936772279731,127.863321473922
1391_bak1-5,1560,12,6364.913566,161.792031832825,46.7053365657089,102.797752678211
1391_bak1-5,1620,12,6396.81758625,118.904895329014,34.3248866630854,75.5485661672783
1391_bak1-5,1680,12,6260.04626616667,140.998006567138,40.7026185233689,89.5858593468059
1391_bak1-5,1740,12,6271.97574766667,212.043126098538,61.2115779664004,134.72577472984
1391_bak1-5,1800,12,6672.02562816667,160.966082138988,46.4669054266721,102.272969279487
1391_bak1-5,1860,12,5991.63656975,93.9876443402001,27.1318958801567,59.7169001973763
1391_bak1-5,1920,12,5867.76626358333,156.062194747485,45.051275073892,99.1571878808427
1391_bak1-5,1980,12,6087.90331783333,123.840899013268,35.7497881909978,78.6847532848054
1391_bak1-5,2040,12,5612.11947158333,163.23366271136,47.1214995536063,103.713721238752
1391_bak1-5,2100,12,5552.05712358333,145.103634074592,41.8878110966793,92.1944506125129
1391_bak1-5,2160,12,5521.401734,115.034532073196,33.2076090292811,73.0894546755728
1391_bak1-5,2220,12,5743.47990291667,144.292644051559,41.6536984426252,91.6791721351503
1391_bak1-5,2280,12,5656.92373641667,263.375881973351,76.0300681776846,167.341051779839
1391_bak1-5,2340,12,5651.23621658333,115.412886385048,33.3168305111797,73.3298495363948
1391_bak1-5,2400,12,5145.63193133333,82.1101066328421,23.7031460838301,52.1702727779943
1391_bak1-5,2460,12,5070.17305725,110.719860106058,31.9620705184353,70.3480428968785
1391_bak1-5,2520,12,4989.02708225,119.716889236601,34.5592891136481,76.064482482456
1391_bak1-5,2580,12,4921.89096683333,111.462490865451,32.1764495528573,70.8198879702761
1391_bak1-5,2640,12,5001.511035,85.8293690466665,24.7768046617343,54.5333793749666
1391_bak1-5,2700,12,4798.5770865,123.599760224858,35.6801774187974,78.5315410082099
1391_bak1-5,2760,12,4784.01263308333,210.909492753879,60.8843262080498,134.005498466096
1391_bak1-5,2820,12,4944.77835916667,167.96232840888,48.4865477602915,106.718172084476
1391_bak1-5,2880,12,4961.00754416667,169.539523713596,48.9418448271628,107.720274172093
1391_bak1-5,2940,12,4884.99388266667,116.818168129203,33.7225004078171,74.2227229587897
1391_col,0,12,16262.1743133333,653.342501021747,188.603734418965,415.114020594006
1391_col,60,12,13476.78834175,173.47173328435,50.0769759542552,110.218680937582
1391_col,120,12,15310.48907825,746.162441225023,215.398543150228,474.088996979009
1391_col,180,12,12324.125037,340.802560400482,98.3812249938661,216.535616243136
1391_col,240,12,12521.1213150833,1253.5926589154,361.881029539472,796.494775735062
1391_col,300,12,14925.2855405,2922.22334023389,843.573216058121,1856.6921299947
1391_col,360,12,18525.0099774167,4396.47916620554,1269.15421504768,2793.38959318769
1391_col,420,12,21280.9481340833,5600.92427757915,1616.84756968552,3558.65750700805
1391_col,480,12,22692.954588,6257.04963128648,1806.25464447805,3975.53966784279
1391_col,540,12,22879.14349975,6219.6076750305,1795.44608271636,3951.75018380338
1391_col,600,12,22819.03464,5728.82455510633,1653.76919951539,3639.92146635
1391_col,660,12,21185.3075536667,4771.16814212793,1377.31760560326,3031.45561066573
1391_col,720,12,17648.6061226667,3914.68983727257,1130.07361567161,2487.27525790431
1391_col,780,12,14977.4449354167,2848.35716870818,822.249889050933,1809.7598036881
1391_col,840,12,12520.16595,2076.86141748847,599.538249228257,1319.57478945872
1391_col,900,12,10419.62000425,1392.06509726444,401.854579317553,884.475965592803
1391_col,960,12,9563.85424,1113.46043004706,321.428339509832,707.459005294038
1391_col,1020,12,8819.07158508333,725.204726809201,209.348572120441,460.773100523464
1391_col,1080,12,8161.68952725,463.622575110408,133.836309271191,294.571730587326
1391_col,1140,12,7687.141275,368.603962826312,106.406798581067,234.199784609789
1391_col,1200,12,7214.12179616667,271.125164079061,78.2670932325638,172.264710728382
1391_col,1260,12,7088.03007766667,272.250346617257,78.5919054532213,172.979617605865
1391_col,1320,12,7055.2932695,216.627671019344,62.5350220884699,137.638655602725
1391_col,1380,12,6848.46989575,129.308722557603,37.3282128885993,82.1588426205486
1391_col,1440,12,6815.03986191667,180.746588861396,52.1770458671169,114.840903650945
1391_col,1500,12,6617.64971216667,115.638236877057,33.3818835947912,73.4730304080421
1391_col,1560,12,6422.34084283333,100.023637163983,28.8743369209755,63.5519870705532
1391_col,1620,12,6449.9448415,105.880874814978,30.5651757882303,67.2734983254871
1391_col,1680,12,6320.10907175,112.243581705393,32.4019310562083,71.316169413027
1391_col,1740,12,6309.84448175,216.185035813848,62.407244310947,137.357418610608
1391_col,1800,12,6613.9045005,155.541548463101,44.9009774376712,98.8263850139239
1391_col,1860,12,6051.14441825,135.062266661455,38.9891180071759,85.8144701388558
1391_col,1920,12,5884.13433916667,152.617658779419,44.0569231896941,96.968634139814
1391_col,1980,12,6078.74827825,132.647959506387,38.2921675642336,84.2804925566206
1391_col,2040,12,5667.74293641667,90.2402534408946,26.0501173079203,57.3359216133789
1391_col,2100,12,5582.71249225,152.210085387245,43.9392668858509,96.7096743610637
1391_col,2160,12,5593.11586608333,133.658872615019,38.5839930419317,84.9227961023706
1391_col,2220,12,5714.905188,155.447449544638,44.8738134197188,98.7665974135221
1391_col,2280,12,5663.30439958333,228.828946218729,66.0572268488809,145.390976011194
1391_col,2340,12,5662.19443833333,79.5280110658958,22.9577592985052,50.5296875249659
1391_col,2400,12,5147.01903725,74.2788250802725,21.4424498275922,47.19451386654
1391_col,2460,12,5109.70574941667,112.609292494179,32.5075026673837,71.5485309625509
1391_col,2520,12,5087.78938766667,119.362416223977,34.4569615690187,75.8392610752581
1391_col,2580,12,4982.78511,135.720529596448,39.1791421485339,86.2327104540439
1391_col,2640,12,4983.20118091667,86.8736044308294,25.0782494518062,55.1968548845017
1391_col,2700,12,4835.33542425,121.359149495618,35.0333688149597,77.1079248697434
1391_col,2760,12,4815.91598008333,158.111100491599,45.6427432153465,100.459000482851
1391_col,2820,12,4924.11035125,118.993007850504,34.3503225570859,75.6045501925071
1391_col,2880,12,4976.26563225,88.1534555493366,25.4477106457026,56.0100334894974
1391_col,2940,12,4934.37495316667,114.685853200032,33.1069541086403,72.8679146889521
1391_fls2,0,12,16286.5908619167,648.827506285478,187.300367705777,412.245329800123
1391_fls2,60,12,13445.991349,223.354017620536,64.4767510989003,141.912372339602
1391_fls2,120,12,15260.4090260833,862.166164363342,248.885933540681,547.794246278593
1391_fls2,180,12,12181.9335475,391.003304350424,112.872931510375,248.431647230376
