Name,Replicate,AUC
flg22_col,A1,42616140.7709946
flg22_col,A2,51977103.2916696
flg22_col,A3,36575120.7672649
flg22_col,A4,46932461.4068461
flg22_col,A5,32426935.6463253
flg22_col,A6,39066605.4669818
flg22_col,A7,35927547.1546603
flg22_col,A8,36099740.9992259
flg22_col,A9,57121723.9827808
flg22_col,A10,39544223.6058016
flg22_col,A11,52308816.6839372
flg22_col,A12,47709799.3423703
flg22_fls2,A1,28876030.9093958
flg22_fls2,A2,28843376.7760756
flg22_fls2,A3,28904652.4096744
flg22_fls2,A4,29009470.7803322
flg22_fls2,A5,29039592.686538
flg22_fls2,A6,29105196.0978959
flg22_fls2,A7,29098467.4532368
flg22_fls2,A8,29000443.3123764
flg22_fls2,A9,29222395.0980011
flg22_fls2,A10,29648064.0838123
flg22_fls2,A11,29966384.7562438
flg22_fls2,A12,29961342.0104429
flg22_bak1-5,A1,29547705.343368
flg22_bak1-5,A2,29098516.9816828
flg22_bak1-5,A3,29398834.0923285
flg22_bak1-5,A4,29682377.5483543
flg22_bak1-5,A5,29267684.5815868
flg22_bak1-5,A6,29616084.3665036
flg22_bak1-5,A7,29784011.4913199
flg22_bak1-5,A8,29390067.0350154
flg22_bak1-5,A9,29616226.842948
flg22_bak1-5,A10,29771194.1229619
flg22_bak1-5,A11,30612718.1713418
flg22_bak1-5,A12,29984411.7840256
1391_col,A1,37976846.6725506
1391_col,A2,30930014.9180213
1391_col,A3,33539038.8388564
1391_col,A4,33699541.954541
1391_col,A5,33826165.3488315
1391_col,A6,31858762.0487993
1391_col,A7,32864801.5926372
1391_col,A8,32657886.5663411
1391_col,A9,36078683.8868345
1391_col,A10,36609479.4838277
1391_col,A11,31689674.0418105
1391_col,A12,31568429.4929842
1391_fls2,A1,28713488.3526412
1391_fls2,A2,28870513.7321545
1391_fls2,A3,28885870.0125373
1391_fls2,A4,28920035.7361594
1391_fls2,A5,28922979.2339284
1391_fls2,A6,29022490.8905618
1391_fls2,A7,29089230.4450945
1391_fls2,A8,28917874.2065922
1391_fls2,A9,29193030.5055707
1391_fls2,A10,29630665.9180487
1391_fls2,A11,29868236.0194322
1391_fls2,A12,29969673.7515959
1391_bak1-5,A1,28743048.6938467
1391_bak1-5,A2,28905834.5978867
1391_bak1-5,A3,28904150.076937
1391_bak1-5,A4,28818495.4841989
1391_bak1-5,A5,28890156.535891
1391_bak1-5,A6,28933732.0428468
1391_bak1-5,A7,28929657.2472299
1391_bak1-5,A8,28935846.9642061
1391_bak1-5,A9,29108175.8230198
1391_bak1-5,A10,29607607.0510472
1391_bak1-5,A11,29904275.5762415
1391_bak1-5,A12,29846371.611794
