Name,Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
flg22_col,0,11343.769756,11099.064463,10652.937012,10919.28146,10644.613762,10589.680335,10369.947007,10626.302615,10681.236067,10459.837841,10992.526338,10947.58061
flg22_col,60,10311.684483,10160.202119,10363.28843,10396.581317,10215.135251,10491.466121,10508.11259,10281.720916,10496.460062,10637.955163,10734.504905,10724.516995
flg22_col,120,10183.50708,10248.428076,10101.939748,10028.695684,10211.805969,10047.006694,10326.66627,10037.01887,10378.270228,10225.123097,10642.949112,10566.375257
flg22_col,180,11100.729123,11190.620778,10667.918863,10409.898476,10150.214281,10081.964088,9957.116323,10321.672341,12154.465426,10626.302615,15134.300368,11235.566643
flg22_col,240,14223.690991,17171.972049,11874.799462,13204.886199,11152.333579,10824.396148,10682.900718,10940.921985,19589.277304,11387.051043,23195.39316,14879.595056
flg22_col,300,17734.671573,23791.433497,13602.751232,17851.207472,11357.087073,11422.009022,11055.783333,11565.170428,27537.598688,12440.791116,31105.775957,20230.241702
flg22_col,360,20867.881508,29545.615415,15815.183254,21700.317099,12069.566727,13331.403735,12292.634091,13228.192046,33796.583206,14589.931177,35749.806272,25271.564034
flg22_col,420,22612.676452,32842.468552,16908.93635,25179.991609,12817.011313,14999.456278,13040.08076,14746.416131,38402.46942,16001.636302,38402.46942,28674.802638
flg22_col,480,23917.967771,34381.046492,17097.05673,26382.096145,13129.974593,16815.708715,14013.936003,15672.014245,40299.185799,17516.583418,38742.176512,30496.360642
flg22_col,540,24132.74351,35266.907814,18110.916657,28148.656489,13436.280266,18274.067731,14979.479396,16056.573444,40986.94393,18527.119033,38252.599102,31631.941547
flg22_col,600,24222.649804,35440.084857,18052.648498,28406.734073,13228.192046,19203.036302,15808.524225,16762.43583,40667.210601,19486.057543,36767.232905,31067.47923
flg22_col,660,24310.891265,34539.235295,17892.827477,27993.810338,13536.162804,19422.793885,16369.549394,17546.549694,39736.327609,19774.074305,35433.424195,29482.343804
flg22_col,720,24082.795612,33809.904259,17741.330763,28301.837922,13742.587111,20230.241702,16692.515221,17546.549694,38572.322785,20623.147091,33481.873974,29735.430547
flg22_col,780,23478.428521,31670.238544,17025.471047,27369.433736,13361.368444,19782.398504,16657.55494,17626.459819,37598.16867,20112.037492,31478.75374,29151.001185
flg22_col,840,23143.780937,30940.933652,16878.970313,26806.666467,13189.903872,19848.99213,16665.878815,17077.079324,36159.439663,20446.672398,29174.311676,27865.604612
flg22_col,900,21956.709005,29798.702358,16382.867546,26428.715522,13274.80376,19396.15657,16719.151636,16912.265911,35333.514325,19915.585811,28037.100629,26358.786468
flg22_col,960,21855.151074,28263.542536,16274.65762,26092.390631,13146.621611,19507.700385,16657.55494,16755.776721,33844.872034,19988.838923,25952.533171,25529.632341
flg22_col,1020,21274.108995,27257.878963,15896.756409,24677.177616,12875.27566,19061.526056,16742.458507,16487.748076,31450.447329,19144.767347,24360.839305,24409.12244
flg22_col,1080,20166.977455,25464.698946,15287.456894,24076.135895,12522.360832,18284.056583,16506.060564,15841.819378,30015.158932,18590.381983,22779.166507,22522.771966
flg22_col,1140,19487.722377,24370.828917,15107.664481,23343.570371,12124.501169,17939.441909,15791.876654,15370.694259,27870.599636,18107.587047,21485.547888,21300.746935
flg22_col,1200,18330.671242,22820.789075,14390.163595,21920.081539,12289.304722,17767.967527,15440.613713,14962.831997,25697.793427,17529.901762,19146.432173,19998.82799
flg22_col,1260,16920.589812,21162.562717,13762.563686,20589.84995,11828.188563,16775.754048,14914.554561,14157.102046,22784.161214,16887.294211,17471.634025,18074.290952
flg22_col,1320,15926.722079,19242.992181,13121.651086,18483.833885,11420.344356,15347.387788,14325.239238,13346.386089,20278.522345,15788.54714,15848.47841,16381.202777
flg22_col,1380,14639.87315,17759.643537,12737.10599,17040.454092,11055.783333,15379.018,13559.468748,12697.153359,18054.313302,15107.664481,14638.208417,15305.769107
flg22_col,1440,13967.323858,16158.124017,12109.519045,15735.274938,10774.456556,14130.466484,13035.086661,12499.05519,16079.880121,14248.661859,13872.434932,14290.279991
flg22_col,1500,12607.260011,15290.786387,12194.417787,14659.849948,10872.671117,13988.965207,12876.940357,11996.320862,15009.444722,13554.474617,12723.788444,13095.015868
flg22_col,1560,11984.668117,13844.134748,11516.895041,13406.315529,10814.408227,13201.556792,12201.076515,11403.697697,13421.297896,12732.11191,11889.781543,12292.634091
flg22_col,1620,11456.967016,13213.209715,11555.182415,12792.040891,10579.692444,12620.577538,11744.954883,11273.853882,12738.770684,12325.92778,11630.092546,11520.224378
flg22_col,1680,11029.148803,12079.554804,11010.837569,11826.523889,10486.472182,11973.015374,11225.578671,10664.589563,12172.776922,11808.212472,11628.427875,11293.82984
flg22_col,1740,10338.318774,11660.056618,10927.604738,11117.375718,10243.434152,11809.877146,11100.729123,10934.263361,11979.674084,11382.057047,11413.685692,11328.787778
flg22_col,1800,10548.064128,11362.081067,10857.689227,11280.512534,10366.617718,11392.045039,10774.456556,10659.595612,11040.801409,11327.123114,10756.14538,10694.553273
flg22_col,1860,10301.696626,11020.825514,10454.843903,11037.472093,10384.928805,11220.584685,10649.607712,10521.429767,10909.293527,10616.314719,10712.864435,10616.314719
flg22_col,1920,10476.484303,10754.480728,10095.281194,10519.76512,10419.886346,10864.347845,10531.417652,10561.381312,10672.912814,11190.620778,10722.852343,10769.462599
flg22_col,1980,10056.994519,10368.282362,10066.982346,10516.435825,10251.75736,10885.988355,10414.892411,10514.771178,10186.83636,9950.457782,9827.274855,10050.335969
flg22_col,2040,9848.915085,9982.085861,9983.750497,10106.933664,9842.256552,10265.074494,10353.300567,10221.793815,10268.403778,10111.92758,10270.06842,10058.659157
flg22_col,2100,9862.232153,10175.183879,10030.360322,10113.592219,9875.549223,10005.390769,10221.793815,10030.360322,10258.415927,10131.903248,10320.007698,10399.910607
flg22_col,2160,10040.348145,10018.707863,10171.854598,10083.628726,10017.043226,10403.239896,9992.073678,10228.452379,10486.472182,10251.75736,10363.28843,10544.734833
flg22_col,2220,10022.037137,10326.66627,10153.54356,10481.478242,10366.617718,10261.74521,10180.177799,9887.201661,10025.36641,9724.067685,10098.610471,10286.714843
flg22_col,2280,9847.250452,10003.726133,9925.488254,9828.939488,9592.561967,9860.567519,9767.348095,10126.90933,10155.2082,10005.390769,10085.293364,10143.555723
flg22_col,2340,10185.17172,9780.665149,9922.158984,10020.3725,9689.110448,9803.969999,9955.451688,9828.939488,9687.445818,10000.39686,10017.043226,9955.451688
flg22_col,2400,9782.329781,9752.366412,9607.54362,9577.580316,9657.482484,9867.226054,9754.031043,9902.183369,9823.94559,10056.994519,9967.104137,9782.329781
flg22_col,2460,9429.428592,9389.477612,9379.48987,9570.921806,9732.390839,9654.153226,9362.843636,9404.459227,9484.361222,9644.165451,9883.872392,9842.256552
flg22_col,2520,9251.31396,9266.295549,9233.003132,9186.393772,9208.033829,9411.117723,9699.098228,9567.592551,9590.897339,9594.226595,9783.994413,9827.274855
flg22_col,2580,9099.833603,9312.904956,9406.123851,9292.929492,9168.082959,9322.892689,9590.897339,9525.976876,9401.129979,9808.963896,9958.780959,9544.28777
flg22_col,2640,9074.864341,9148.107532,9259.637064,9213.027689,9376.160623,9301.252602,9457.727214,9239.661614,9394.471483,9604.214363,9539.293889,9910.506541
flg22_col,2700,9121.473637,9322.892689,9219.686169,9426.099342,9359.51439,9437.751715,9154.766007,9492.684351,9614.202133,9466.050341,9712.415271,9645.83008
flg22_col,2760,8873.445913,9113.150546,9216.356929,9321.228067,9193.05225,9412.782348,8946.688919,9224.68003,9436.08709,9803.969999,9697.433598,9850.579719
flg22_col,2820,9081.52281,9064.876639,9267.96017,9191.387631,9091.510515,8956.676607,9208.033829,9447.739464,9447.739464,9296.258736,9447.739464,9392.806859
flg22_col,2880,8961.670451,8821.842926,9099.833603,8973.322756,9124.802873,9036.578155,9161.424483,8810.190643,9014.938144,9093.175133,9306.246467,9163.089102
flg22_col,2940,8936.701233,8728.624712,8994.962755,9272.954034,9008.279681,8988.304293,9076.528959,8870.116687,9356.185144,9317.898822,9354.52052,8994.962755
flg22_fls2,0,11288.83585,11049.1247,10874.335772,10779.450514,10661.260262,10636.290513,10706.20583,10799.426348,10486.472182,10681.236067,10799.426348,10694.553273
flg22_fls2,60,10481.478242,10163.531399,10260.080568,10228.452379,10315.013769,10518.100473,10563.04596,10303.361268,10543.070185,10573.03385,10614.65007,10431.538864
flg22_fls2,120,10148.549642,10045.342057,10008.720042,9787.323677,10334.989487,10354.965211,9998.732223,10140.226444,10303.361268,10306.690554,10363.28843,10646.278412
flg22_fls2,180,10040.348145,9917.16508,10052.000607,9978.756589,9952.122417,9825.610223,9813.957794,9990.409042,10221.793815,10498.124708,10721.187692,10414.892411
flg22_fls2,240,10186.83636,10125.244691,10108.598303,10288.379485,10268.403778,10278.391631,10216.799892,10002.061496,10093.616556,10226.787738,10325.001627,10851.03061
flg22_fls2,300,9920.49435,10053.665244,10305.025911,10095.281194,10285.0502,9978.756589,9880.543124,9875.549223,9840.591919,10354.965211,10529.753004,10659.595612
flg22_fls2,360,10275.062347,10281.720916,10166.860679,10246.763435,9945.463875,10321.672341,10233.446303,9908.841907,10288.379485,10579.692444,10281.720916,10664.589563
flg22_fls2,420,9818.951691,10025.36641,10125.244691,10208.476687,10171.854598,10058.659157,10133.567887,10300.031983,10260.080568,10213.47061,10281.720916,10208.476687
flg22_fls2,480,10165.196039,9722.403054,9630.848419,9650.823967,10003.726133,9655.817855,9955.451688,9863.896787,9982.085861,9988.744405,10456.508549,10421.550992
flg22_fls2,540,10005.390769,10030.360322,9962.11023,10113.592219,10213.47061,10168.525319,9878.878491,10015.378589,9958.780959,10081.964088,10150.214281,10213.47061
flg22_fls2,600,9852.244352,9787.323677,9902.183369,9967.104137,9932.146794,10171.854598,10153.54356,10073.640897,10091.951917,9988.744405,10080.29945,10168.525319
flg22_fls2,660,9968.768773,10023.701773,10081.964088,10105.269025,10201.818125,10121.915413,10258.415927,10111.92758,10150.214281,10180.177799,10599.668228,10017.043226
flg22_fls2,720,9818.951691,10168.525319,10165.196039,10151.878921,10263.409852,10148.549642,10203.482765,10268.403778,9910.506541,10364.953074,10486.472182,10539.740889
flg22_fls2,780,9863.896787,9930.482159,9735.720101,9987.079769,10068.646984,10178.513159,10037.01887,10027.031047,9992.073678,10356.629855,10444.856028,10551.393424
flg22_fls2,840,9830.604121,9923.823619,10012.049316,9863.896787,9930.482159,9852.244352,10105.269025,9792.317573,10240.104869,10075.305535,10384.928805,10143.555723
flg22_fls2,900,9595.891223,9843.921186,10022.037137,10286.714843,10148.549642,10168.525319,10066.982346,9792.317573,9972.098045,10368.282362,10301.696626,10388.258094
flg22_fls2,960,10126.90933,10027.031047,10085.293364,10413.227766,10118.586135,10066.982346,10058.659157,10032.024959,10413.227766,10599.668228,10674.577465,10652.937012
flg22_fls2,1020,10115.256858,10186.83636,9983.750497,10098.610471,10025.36641,9880.543124,10103.604387,9927.152889,10070.311621,10253.422001,10421.550992,10569.704553
flg22_fls2,1080,9948.793146,9654.153226,10058.659157,9790.652941,9918.829715,9982.085861,9965.439502,9835.59802,10233.446303,10116.921497,10486.472182,10466.496425
flg22_fls2,1140,10123.580052,10241.76951,10015.378589,10166.860679,9910.506541,10010.384679,9923.823619,10032.024959,9928.817524,10291.70877,10501.454002,10266.739136
flg22_fls2,1200,10155.2082,10048.671332,10013.713952,10012.049316,10007.055406,10235.110944,10215.135251,10226.787738,10070.311621,10065.317708,10291.70877,10295.038055
flg22_fls2,1260,9918.829715,10047.006694,9892.195563,10032.024959,10268.403778,10035.354233,9955.451688,9993.738314,10271.733062,10359.959142,10461.502487,10453.179257
flg22_fls2,1320,9730.726208,9514.32449,9689.110448,9524.312249,9774.006622,9714.079901,9740.713994,9775.671253,9690.775078,9982.085861,9927.152889,9997.067587
flg22_fls2,1380,9660.811743,9672.464149,9559.269414,9645.83008,9614.202133,9807.299264,9792.317573,9745.707887,10073.640897,10111.92758,10200.153484,10366.617718
flg22_fls2,1440,9704.092119,9729.061577,9657.482484,9554.275533,9630.848419,9670.79952,10098.610471,9978.756589,9927.152889,10022.037137,10354.965211,10076.970173
flg22_fls2,1500,9895.524832,9734.05547,9935.476064,10100.275109,9795.646837,9760.689569,9893.860197,10073.640897,10071.976259,10358.294498,10215.135251,10453.179257
flg22_fls2,1560,9945.463875,9362.843636,9604.214363,9910.506541,9833.933387,9922.158984,9827.274855,10075.305535,9907.177272,10025.36641,10341.648061,10175.183879
flg22_fls2,1620,9810.628529,9863.896787,10052.000607,9817.287059,10098.610471,9920.49435,9957.116323,9827.274855,10161.866759,10230.117021,9985.415133,9898.8541
flg22_fls2,1680,9967.104137,9755.695675,9722.403054,9714.079901,9942.134605,9903.848003,9947.128511,9737.384732,10188.501,10071.976259,10353.300567,10409.898476
flg22_fls2,1740,9574.251061,9687.445818,9875.549223,9815.622426,9918.829715,10171.854598,10173.519239,10017.043226,10176.848519,10230.117021,10329.995557,10802.755655
flg22_fls2,1800,9972.098045,10018.707863,9910.506541,10120.250774,10145.220363,10113.592219,9857.238252,10030.360322,9985.415133,10091.951917,10171.854598,9970.433409
flg22_fls2,1860,10063.65307,10121.915413,10103.604387,10037.01887,10098.610471,9995.40295,10213.47061,10133.567887,10066.982346,10022.037137,10293.373413,10329.995557
flg22_fls2,1920,10073.640897,10042.012782,9850.579719,9982.085861,10078.634811,10160.202119,10033.689596,10106.933664,10120.250774,10471.490364,10458.173195,10627.967265
flg22_fls2,1980,10027.031047,10068.646984,10005.390769,9845.585819,9988.744405,10025.36641,9932.146794,9764.018832,9760.689569,9798.976102,9890.530929,10015.378589
flg22_fls2,2040,9928.817524,9650.823967,9650.823967,9848.915085,9843.921186,9928.817524,9985.415133,9847.250452,9750.701781,10080.29945,10183.50708,9963.774866
flg22_fls2,2100,9747.372518,9845.585819,9770.677358,9858.902886,9662.476372,9732.390839,10028.695684,10015.378589,9972.098045,9993.738314,10181.842439,10268.403778
flg22_fls2,2160,9880.543124,9843.921186,10153.54356,9953.787052,10085.293364,10298.36734,9752.366412,10183.50708,10196.824203,10491.466121,10248.428076,10508.11259
flg22_fls2,2220,10015.378589,10248.428076,10226.787738,10253.422001,10176.848519,10118.586135,9927.152889,9719.073793,9875.549223,9985.415133,10188.501,10436.5328
flg22_fls2,2280,9868.890688,10045.342057,9933.811429,9865.56142,9557.604787,9940.46997,9825.610223,10286.714843,10093.616556,9897.189466,10200.153484,10066.982346
flg22_fls2,2340,9977.091953,9730.726208,9832.268754,9950.457782,9807.299264,9933.811429,9752.366412,9685.781188,9697.433598,10263.409852,10225.123097,10116.921497
flg22_fls2,2400,9764.018832,9537.629262,9652.488596,9642.500822,9722.403054,9788.988309,9597.555851,9699.098228,9867.226054,9868.890688,9888.866295,9767.348095
flg22_fls2,2460,9409.453099,9469.379591,9714.079901,9522.647622,9832.268754,9749.037149,9685.781188,9322.892689,9530.970755,9560.934042,9645.83008,9479.367345
flg22_fls2,2520,9011.608913,9570.921806,9031.584306,9364.508259,9111.485928,9486.025847,9622.525276,9444.410214,9367.837506,9630.848419,9712.415271,9704.092119
flg22_fls2,2580,9143.113676,9287.935627,9457.727214,9449.404089,9218.021549,9261.301686,9449.404089,9416.111596,9374.495999,9868.890688,9820.616324,9554.275533
flg22_fls2,2640,9009.944297,9128.13211,9229.673891,9392.806859,9274.618655,9242.990856,9570.921806,9342.86816,9337.874292,9589.232711,9597.555851,9662.476372
flg22_fls2,2700,9124.802873,9121.473637,9173.076817,9506.001359,9346.197406,9381.154493,9349.526652,9371.166752,9482.696596,9479.367345,9654.153226,9582.5742
flg22_fls2,2760,9123.138255,9324.557312,9038.242771,9276.283277,9163.089102,9159.759864,9143.113676,9124.802873,9484.361222,9582.5742,9560.934042,9793.982205
flg22_fls2,2820,9252.978581,9016.60276,9242.990856,9129.796728,9016.60276,9129.796728,9206.369209,9282.941763,9387.812988,9387.812988,9476.038093,9178.070675
flg22_fls2,2880,9036.578155,9089.845898,9058.218171,8963.335066,9204.704589,8960.005837,8956.676607,8818.513702,8765.24614,9154.766007,9412.782348,9257.972443
flg22_fls2,2940,9088.18128,8935.036618,9173.076817,9166.41834,8876.775139,8953.347378,9154.766007,9194.71687,9282.941763,9397.800731,9326.221934,9039.907388
flg22_bak1-5,0,11117.375718,10957.568547,10799.426348,10864.347845,10752.816076,10626.302615,10786.109125,10536.411594,10521.429767,10604.662175,10919.28146,10736.169556
flg22_bak1-5,60,10456.508549,10238.440227,10073.640897,10248.428076,10373.276295,10559.716664,10399.910607,10578.027795,10398.245962,10588.015687,10571.369202,10569.704553
flg22_bak1-5,120,9968.768773,10000.39686,9925.488254,9880.543124,10101.939748,10038.683507,10032.024959,10027.031047,10320.007698,10403.239896,10526.423709,10438.197446
flg22_bak1-5,180,10068.646984,10151.878921,10245.098793,10141.891084,9950.457782,10015.378589,10175.183879,9920.49435,10115.256858,10423.215637,10479.813596,10389.922739
flg22_bak1-5,240,10080.29945,10018.707863,10058.659157,10411.563121,10260.080568,10356.629855,10225.123097,10061.988432,10121.915413,10349.971279,10561.381312,10642.949112
flg22_bak1-5,300,10066.982346,9878.878491,9960.445595,10218.464533,10075.305535,9885.537027,9798.976102,9962.11023,9925.488254,10609.656122,10456.508549,10499.789355
flg22_bak1-5,360,10243.434152,10088.622641,10193.494922,10186.83636,10183.50708,10160.202119,10101.939748,9827.274855,10291.70877,10453.179257,10368.282362,10599.668228
flg22_bak1-5,420,9838.927286,9948.793146,10208.476687,10186.83636,10228.452379,10108.598303,10048.671332,10068.646984,10544.734833,10221.793815,10270.06842,10511.441884
flg22_bak1-5,480,10225.123097,9570.921806,9775.671253,10100.275109,10035.354233,9898.8541,9937.140699,9744.043256,10063.65307,10065.317708,9945.463875,10523.094414
flg22_bak1-5,540,10333.324844,10023.701773,10471.490364,10223.458456,10080.29945,10130.238609,10027.031047,10243.434152,10066.982346,10073.640897,10757.810032,10131.903248
flg22_bak1-5,600,10479.813596,9807.299264,10533.082299,10321.672341,10205.147406,10086.958002,10551.393424,10131.903248,10316.678412,10080.29945,10662.924912,10195.159562
flg22_bak1-5,660,10744.492816,10308.355197,10692.888622,10796.097042,10356.629855,10211.805969,10756.14538,10381.599516,10632.961214,10320.007698,11117.375718,10108.598303
flg22_bak1-5,720,11020.825514,10474.819656,10920.946115,10907.628872,10935.928017,10794.432389,11032.478119,10756.14538,10964.227173,10634.625863,11636.751227,10596.33893
flg22_bak1-5,780,11337.111099,10221.793815,10656.266312,11367.075061,10536.411594,10671.248164,11115.711058,10443.191382,10912.622838,10551.393424,11771.589651,10816.072881
flg22_bak1-5,840,11408.691694,10506.447943,10930.93405,11273.853882,10651.272362,10905.964216,11458.631683,10871.006463,10637.955163,10448.18532,11784.907039,10456.508549
