Name,Time,N,measurement,sd,se,ci
bak1-4-1391,0,12,243.289313416667,174.102657759864,50.2591081621434,110.619551224318
bak1-4-1391,60,12,93.6884134166667,19.4792825124297,5.62318450108602,12.3765456393476
bak1-4-1391,120,12,93.6884146666667,25.0845535343954,7.24128686779239,15.9379649359775
bak1-4-1391,180,12,83.78109,18.6801103495125,5.39248336939147,11.8687758720716
bak1-4-1391,240,12,69.3163995833333,13.5078216083852,3.89937222088332,8.58246039183777
bak1-4-1391,300,12,71.4960106666667,17.1899089776064,4.9622992877831,10.9219470923439
bak1-4-1391,360,12,60.7961046666667,17.4274642643367,5.03087559215369,11.0728825205975
bak1-4-1391,420,12,62.57942125,10.8883860254715,3.14320630142328,6.91815042453916
bak1-4-1391,480,12,67.53308325,20.432241662174,5.89828011190182,12.9820269963596
bak1-4-1391,540,12,62.3812756666667,16.3940919210991,4.73256669188302,10.4163090579785
bak1-4-1391,600,12,82.1959195833333,23.2631338995539,6.71548830955086,14.7806901120903
bak1-4-1391,660,12,70.9015720833333,19.5506092399721,5.64377475375953,12.4218644799246
bak1-4-1391,720,12,60.5979578333333,14.2244462508888,4.106243936012,9.03778196687869
bak1-4-1391,780,12,73.2793285,17.2607760771959,4.98275685729546,10.9669738992522
bak1-4-1391,840,12,64.7590338333333,22.4307626932057,6.47520343952547,14.2518266789699
bak1-4-1391,900,12,71.0997195833333,24.4831350130235,7.06767229518753,15.5558418380986
bak1-4-1391,960,12,74.2700663333333,36.0385140153431,10.4034228839762,22.8977793817894
bak1-4-1391,1020,12,80.6107655833333,60.3588603813984,17.4241021445897,38.3501902481628
bak1-4-1391,1080,12,76.25154,54.016668092533,15.5932689319753,34.3205535165956
bak1-4-1391,1140,12,88.932927,73.533428431302,21.2272723496241,46.7209114307463
bak1-4-1391,1200,12,93.2921609166667,86.4743253682881,24.9629875146862,54.9431650713772
bak1-4-1391,1260,12,84.375565,80.9508128451288,23.3684867936271,51.4336926465706
bak1-4-1391,1320,12,81.2052198333333,78.8320603264467,22.7568556251234,50.0875015212445
bak1-4-1391,1380,12,74.6663835833333,74.4572430975338,21.4939546727393,47.3078752663815
bak1-4-1391,1440,12,82.3940824166667,58.2959000047985,16.828576780211,37.0394477587071
bak1-4-1391,1500,12,80.61076425,58.2705365695571,16.8212549871289,37.0233326007881
bak1-4-1391,1560,12,74.4682200833333,50.626354202915,14.6145696135711,32.1664508405963
bak1-4-1391,1620,12,82.195929,46.9072319480626,13.5409514960771,29.8034332963863
bak1-4-1391,1680,12,63.3720096666667,24.5852596395936,7.0971531355081,15.6207287301512
bak1-4-1391,1740,12,58.0220571666667,24.6921696754738,7.12801540450537,15.6886561262209
bak1-4-1391,1800,12,66.34420775,30.5533674134159,8.8199974503926,19.4126835003602
bak1-4-1391,1860,12,66.5423518333333,23.69818174246,6.84107580415699,15.0571063240115
bak1-4-1391,1920,12,58.22020175,17.1712096053138,4.9569012439697,10.9100660780171
bak1-4-1391,1980,12,60.0035195,19.115270961112,5.51810341751532,12.1452637338022
bak1-4-1391,2040,12,59.012788,20.7742133984723,5.99699884890534,13.1993054715273
bak1-4-1391,2100,12,57.4276174166667,22.6823542171687,6.5478316565684,14.4116803068853
bak1-4-1391,2160,12,69.3164041666667,31.4874382873103,9.08964048563516,20.0061638194512
bak1-4-1391,2220,12,66.9386440833333,20.6915814864712,5.97314507058661,13.1468036594356
bak1-4-1391,2280,12,62.18313225,27.6270478811287,7.97524176554217,17.5533887741014
bak1-4-1391,2340,12,60.9942561666667,33.8854206017862,9.78187835302248,21.5297690928241
bak1-4-1391,2400,12,68.72196175,20.5826193318703,5.94169040594145,13.077572409336
bak1-4-1391,2460,12,79.0255771666667,26.154512756266,7.55015749017683,16.6177845922339
bak1-4-1391,2520,12,65.3534763333333,32.5837685453611,9.40612377043836,20.70273883272
bak1-4-1391,2580,12,70.30713725,34.3891744449811,9.92729956150941,21.8498390146664
bak1-4-1391,2640,12,62.381278,25.4372197703464,7.34309284092257,16.1620383720457
bak1-4-1391,2700,12,68.9201075,17.8895305401646,5.16426263652003,11.3664654257963
bak1-4-1391,2760,12,65.7497653333333,19.9453470821768,5.75772575348765,12.6726689393038
bak1-4-1391,2820,12,63.1738631666667,24.0025752320233,6.92894663572646,15.2505087203008
bak1-4-1391,2880,12,54.2572744166667,18.909134568514,5.4585969666372,12.0142909184897
bak1-4-1391,2940,12,63.37200875,20.6542861131418,5.96237882367098,13.1231073097445
bak1-4-Pa,0,12,298.57250275,255.512060599113,73.7599784840471,162.344618052066
bak1-4-Pa,60,12,284.702208666667,253.236635245148,73.1031197637307,160.898881756373
bak1-4-Pa,120,12,994.27546275,1044.94517067961,301.649687790135,663.926486372363
bak1-4-Pa,180,12,2721.39504008333,2742.53331303608,791.701173271449,1742.5225335976
bak1-4-Pa,240,12,5538.48074,4880.2561478265,1408.80860033098,3100.76682273796
bak1-4-Pa,300,12,8616.87372608333,6651.78525300317,1920.20500320648,4226.34271639119
bak1-4-Pa,360,12,10777.5875230833,7438.6769042063,2147.36105652908,4726.30981877921
bak1-4-Pa,420,12,11354.6439114167,7135.95905870463,2059.97394173463,4533.9720759334
bak1-4-Pa,480,12,10397.1900535833,6089.65793433154,1757.93282382953,3869.18405768678
bak1-4-Pa,540,12,9102.09876325,5360.42617138318,1547.4217465096,3405.85230047071
bak1-4-Pa,600,12,7124.33933725,4284.77494817635,1236.90798487329,2722.41611910497
bak1-4-Pa,660,12,5442.29734525,3251.02313175081,938.489540129016,2065.60155072519
bak1-4-Pa,720,12,3847.49033341667,2173.33210959853,627.386939257583,1380.86934294125
bak1-4-Pa,780,12,2676.58267466667,1522.43065199151,439.487873374919,967.306287338429
bak1-4-Pa,840,12,1766.66238525,1005.94006546755,290.389883793161,639.143824869483
bak1-4-Pa,900,12,1223.1351305,818.80142568739,236.367611766732,520.241605824879
bak1-4-Pa,960,12,850.811446,556.098342072278,160.531763745667,353.32802972755
bak1-4-Pa,1020,12,657.41841675,476.035847753078,137.419712422076,302.458747745049
bak1-4-Pa,1080,12,485.623768416667,341.882235979045,98.6929004868264,217.221609377906
bak1-4-Pa,1140,12,368.914724916667,259.737677808965,74.979809100847,165.029447137468
bak1-4-Pa,1200,12,284.702068166667,199.024743315665,57.4534945643477,126.454288931535
bak1-4-Pa,1260,12,220.30421,132.903609613665,38.3659673933613,84.4429248853479
bak1-4-Pa,1320,12,196.1302785,113.766489417653,32.8415566450204,72.2837788099988
bak1-4-Pa,1380,12,143.819515916667,73.3354029524227,21.1701073178555,46.5950920441473
bak1-4-Pa,1440,12,121.032643333333,49.161410172569,14.1916766984372,31.2356698100785
bak1-4-Pa,1500,12,104.1901815,33.7308620226626,9.7372611343912,21.4315672567321
bak1-4-Pa,1560,12,93.6884163333333,30.181015058242,8.71250858414608,19.1761021008765
bak1-4-Pa,1620,12,85.7625603333333,36.9817061118471,10.6756989893833,23.4970550492379
bak1-4-Pa,1680,12,74.2700623333333,24.0667329425222,6.94746737144,15.2912725847603
bak1-4-Pa,1740,12,85.9607044166667,30.8442713421949,8.90397418118704,19.5975150386318
bak1-4-Pa,1800,12,73.8737686666667,21.4228213571058,6.18423583866316,13.6114113074045
bak1-4-Pa,1860,12,78.0348481666667,34.840191463383,10.0574969600011,22.1364015566293
bak1-4-Pa,1920,12,74.0719151666667,21.2310253468902,6.12886909959941,13.4895499363625
bak1-4-Pa,1980,12,73.6756263333333,34.4768666960201,9.95261413388102,21.9055560127904
bak1-4-Pa,2040,12,73.6756225,22.7464711276446,6.56634061432984,14.452418248247
bak1-4-Pa,2100,12,73.27932975,21.6703074081731,6.25567890776535,13.7686564422898
bak1-4-Pa,2160,12,71.6941628333333,35.6663646484856,10.2959926154092,22.6613269549289
bak1-4-Pa,2220,12,65.1553268333333,22.6284757569218,6.53227828480488,14.3774475664444
bak1-4-Pa,2280,12,77.4404064166667,28.5233292274268,8.23397590381959,18.1228587728591
bak1-4-Pa,2340,12,71.6941573333333,18.1226445175007,5.23155684530346,11.5145789806887
bak1-4-Pa,2400,12,74.6663545833333,21.8425690211077,6.30540655206477,13.8781062494391
bak1-4-Pa,2460,12,66.9386433333333,17.9516720505836,5.18220134540416,11.4059482578415
bak1-4-Pa,2520,12,59.4090801666667,17.2458775985683,4.97845603697238,10.9575078575448
bak1-4-Pa,2580,12,66.1460579166667,18.9905065979256,5.48208704817984,12.0659922393744
bak1-4-Pa,2640,12,73.2793295833333,21.8592304268176,6.3102162856006,13.8886924015755
bak1-4-Pa,2700,12,61.192397,14.5680793963188,4.20544228052024,9.25611605104699
bak1-4-Pa,2760,12,66.74049775,21.6614095989659,6.25311033149485,13.7630030440359
bak1-4-Pa,2820,12,62.7775691666667,19.6107638221487,5.66113988586586,12.4600848779936
bak1-4-Pa,2880,12,58.0220564166667,22.1463505429105,6.39310072375859,14.0711198199638
bak1-4-Pa,2940,12,60.39981275,20.8308346478645,6.01334399569459,13.2352808970499
bak1-5-1391,0,12,856.369847833333,1448.62057625703,418.180739827814,920.409602597162
bak1-5-1391,60,12,2045.93467325,3815.45189139473,1101.42608828841,2424.22247526057
bak1-5-1391,120,12,3319.14895616667,5373.45996277518,1551.18427799396,3414.13357643218
bak1-5-1391,180,12,4154.82779725,6232.64199861535,1799.20876783157,3960.03179790405
bak1-5-1391,240,12,4698.22748633333,6930.82319728774,2000.75631932989,4403.63496780465
bak1-5-1391,300,12,4593.38648466667,6732.04780562651,1943.37480638795,4277.33910935583
bak1-5-1391,360,12,4221.21003483333,6229.43618619618,1798.28332949998,3957.99492186964
bak1-5-1391,420,12,3526.807328,5245.59486971138,1514.27280504379,3332.89197223173
