Name,Time,N,measurement,sd,se,ci
bak1-4-1391,0,11,3402.89307990909,86.6425533759398,26.1237127660303,58.2072593721218
bak1-4-1391,60,11,3207.04449136364,121.644945532322,36.6773310885391,81.7221863855381
bak1-4-1391,120,11,3228.44516409091,134.176817221722,40.4558325716862,90.1412123424257
bak1-4-1391,180,11,3173.75461954545,138.14235696744,41.6514877923941,92.8052981932654
bak1-4-1391,240,11,3139.16770554545,122.205564664832,36.8463641169783,82.0988154434722
bak1-4-1391,300,11,3167.05334918182,93.2292388544002,28.1096731609517,62.6322548865522
bak1-4-1391,360,11,3166.62103381818,111.004881628117,33.4692311143892,74.5740941920784
bak1-4-1391,420,11,3192.77736172727,98.0092286453067,29.5508943098759,65.8434957227746
bak1-4-1391,480,11,3113.22748909091,67.9188486093972,20.4783033663929,45.6285033534214
bak1-4-1391,540,11,3100.47364781818,127.857036237151,38.5503469095911,85.895525706809
bak1-4-1391,600,11,3138.73532663636,86.0128421436646,25.9338476856913,57.784213609983
bak1-4-1391,660,11,3205.31515836364,130.497318215198,39.3464218788565,87.669291274923
bak1-4-1391,720,11,3199.91119190909,242.798658198954,73.2065498952436,163.114358041464
bak1-4-1391,780,11,3186.50890463636,288.896509871329,87.1055751351277,194.083316183188
bak1-4-1391,840,11,3164.46052263636,467.189642706603,140.862977345273,313.862272629465
bak1-4-1391,900,11,3344.745932,631.049822132208,190.268680366641,423.94503904107
bak1-4-1391,960,11,3421.27023818182,709.159719469934,213.819700537769,476.419982088274
bak1-4-1391,1020,11,3288.97508618182,713.136061384104,215.018612734812,479.091324934625
bak1-4-1391,1080,11,3248.98331618182,631.73122799225,190.474131963705,424.402813726692
bak1-4-1391,1140,11,3362.904263,654.188530128248,197.245263326319,439.489834587635
bak1-4-1391,1200,11,3331.34354609091,639.995332930287,192.965853355304,429.95471496764
bak1-4-1391,1260,11,3361.82305954545,603.746711079931,182.036482642113,405.602559453816
bak1-4-1391,1320,11,3433.37443381818,530.722648177688,160.018899249926,356.544326470838
bak1-4-1391,1380,11,3256.11590190909,478.045171923742,144.136042555636,321.155116389759
bak1-4-1391,1440,11,3339.55700036364,492.203391748707,148.404906451888,330.666737890841
bak1-4-1391,1500,11,3242.28068472727,387.534382231579,116.846012656756,260.349140500199
bak1-4-1391,1560,11,3142.62719354545,394.591776093116,118.973896969163,265.090362209204
bak1-4-1391,1620,11,3079.28942890909,239.848266988277,72.316973474282,161.132258256108
bak1-4-1391,1680,11,3046.43189818182,231.130259563302,69.6883953335387,155.275421175237
bak1-4-1391,1740,11,3052.70078472727,239.044212230601,72.0745418431809,160.592086919902
bak1-4-1391,1800,11,3004.927617,198.094845161698,59.7278431186275,133.081927797955
bak1-4-1391,1860,11,2982.01382109091,185.329864511478,55.8790566392705,124.5062971103
bak1-4-1391,1920,11,3425.15859927273,177.875544141877,53.6314944817188,119.498416544805
bak1-4-1391,1980,11,3561.99367345455,226.961644971654,68.4315107429844,152.47490778656
bak1-4-1391,2040,11,3609.55071181818,133.678463243793,40.3055731937253,89.8064135845158
bak1-4-1391,2100,11,3422.348308,120.594140102864,36.3605013306137,81.016245692439
bak1-4-1391,2160,11,3373.71035009091,123.157476034025,37.1333761938225,82.7383182028781
bak1-4-1391,2220,11,3373.06191136364,164.359448322523,49.5562382577833,110.418179820456
bak1-4-1391,2280,11,4545.13689136364,151.685485976162,45.734894829604,101.903696061347
bak1-4-1391,2340,11,5140.692489,167.399066070613,50.4727174920125,112.46022280928
bak1-4-1391,2400,11,5397.29077454545,177.02244317342,53.3742748616586,118.925295515856
bak1-4-1391,2460,11,5813.64321727273,181.119860101944,54.6096925490734,121.677977663616
bak1-4-1391,2520,11,5764.78760590909,170.416532166929,51.3825177519304,114.48738411595
bak1-4-1391,2580,11,5792.45809018182,201.376309583156,60.7172418685253,135.286445592709
bak1-4-1391,2640,11,6201.03019172727,182.060211352028,54.8932191188617,122.309714229331
bak1-4-1391,2700,11,6503.46136454545,168.349108010098,50.7591659145918,113.098469668719
