Name,Replicate,AUC
Col-Pa,A1,37030300.2705032
Col-Pa,A2,36535349.3444511
Col-Pa,A3,24707856.9315214
Col-Pa,A4,28069544.9511313
Col-Pa,A5,26203976.5759321
Col-Pa,A6,24585248.1236022
Col-Pa,A7,19395874.9488165
Col-Pa,A8,33510323.6530202
Col-Pa,A9,25315850.2468851
Col-Pa,A10,35692100.7334574
Col-Pa,A11,27067314.1816689
Col-Pa,A12,37156214.0421106
fls2/efr-Pa,A1,14202494.6872278
fls2/efr-Pa,A2,14173585.3801917
fls2/efr-Pa,A3,14260179.0314691
fls2/efr-Pa,A4,14267690.1378899
fls2/efr-Pa,A5,14228467.7834332
fls2/efr-Pa,A6,14363214.4491062
fls2/efr-Pa,A7,14346584.6442088
fls2/efr-Pa,A8,14441764.3015277
fls2/efr-Pa,A9,14578166.4586079
fls2/efr-Pa,A10,14772083.1456575
fls2/efr-Pa,A11,14925314.737262
fls2/efr-Pa,A12,14913926.2515857
bak1-4-Pa,A1,18504638.1332329
bak1-4-Pa,A2,16230114.6314022
bak1-4-Pa,A3,15047549.2521831
bak1-4-Pa,A4,17328334.5062255
bak1-4-Pa,A5,15078354.4514856
bak1-4-Pa,A6,14792413.8506329
bak1-4-Pa,A7,18214111.1422655
bak1-4-Pa,A8,15891787.5138379
bak1-4-Pa,A9,15787593.1532366
bak1-4-Pa,A10,20029078.8600083
bak1-4-Pa,A11,14961703.0594681
bak1-4-Pa,A12,19352263.3947953
bak1-5-Pa,A1,14285047.78573
bak1-5-Pa,A2,14330592.7986634
bak1-5-Pa,A3,14347687.9424027
bak1-5-Pa,A4,14416769.5937418
bak1-5-Pa,A5,14266761.5623198
bak1-5-Pa,A6,14329685.7344929
bak1-5-Pa,A7,14472575.6141126
bak1-5-Pa,A8,14386533.7218429
bak1-5-Pa,A9,14623527.7570581
bak1-5-Pa,A10,14881998.7720793
bak1-5-Pa,A11,24273703.7760252
bak1-5-Pa,A12,14953531.3633491
Col-1391,A1,28518221.3436787
Col-1391,A2,16614182.6194497
Col-1391,A3,19495422.8145238
Col-1391,A4,18560186.1568057
Col-1391,A5,15188194.9157348
Col-1391,A6,21036347.4781726
Col-1391,A7,17841512.334784
Col-1391,A8,21049277.0607586
Col-1391,A9,21213347.8690784
Col-1391,A10,21717041.85728
Col-1391,A11,20765956.5261345
Col-1391,A12,21168729.8775735
fls2/efr-1391,A1,14173052.689822
fls2/efr-1391,A2,14239780.1625762
fls2/efr-1391,A3,14165038.0036845
fls2/efr-1391,A4,14251799.3509442
fls2/efr-1391,A5,14236408.7714417
fls2/efr-1391,A6,14337400.5072557
fls2/efr-1391,A7,14340683.8800553
fls2/efr-1391,A8,14333149.3618959
fls2/efr-1391,A9,14544853.1892418
fls2/efr-1391,A10,14751245.4535887
fls2/efr-1391,A11,15077177.9046188
fls2/efr-1391,A12,14903962.767305
bak1-4-1391,A1,14167151.7557052
bak1-4-1391,A2,14219062.3284028
bak1-4-1391,A3,14221627.2772537
bak1-4-1391,A4,14318632.0520645
bak1-4-1391,A5,14363755.1422935
bak1-4-1391,A6,14483737.3617456
bak1-4-1391,A7,14584902.601047
bak1-4-1391,A8,14541286.4720711
bak1-4-1391,A9,14567886.1360022
bak1-4-1391,A10,14879553.2981565
bak1-4-1391,A11,14988281.8697871
bak1-4-1391,A12,16850577.9593402
bak1-5-1391,A1,14201628.5762034
bak1-5-1391,A2,14256336.9943664
bak1-5-1391,A3,14173368.6146377
bak1-5-1391,A4,14237702.8968392
bak1-5-1391,A5,14220840.4958341
bak1-5-1391,A6,14327566.4061143
bak1-5-1391,A7,14305117.3882811
bak1-5-1391,A8,14304463.8285022
bak1-5-1391,A9,14555706.2394043
bak1-5-1391,A10,14776296.9491161
bak1-5-1391,A11,18454833.2188733
bak1-5-1391,A12,15749204.4916381
