Name,Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
Col-Pa,0,5501.486589,4814.271124,4678.731054,4576.48168,4336.315059,4412.407376,4310.158342,4495.63343,4562.214336,4509.900762,4662.085799,4588.371136
Col-Pa,60,4436.18624,4493.255542,4341.070827,4431.430466,4264.978578,4547.946994,4412.407376,4298.268928,4585.993244,4695.376314,4819.02692,4795.247943
Col-Pa,120,4909.3871,4500.389207,5182.846159,4509.900762,4350.582363,4398.140061,4478.988212,4517.03443,5011.636899,4761.957386,4911.765,4704.887892
Col-Pa,180,7068.550154,6840.265844,8148.153529,5575.202093,5254.183458,4766.713179,4645.440546,5140.04381,6669.053038,7819.99061,6062.677298,7303.969032
Col-Pa,240,11846.024363,15670.111668,12618.912847,9836.549239,7479.93915,6726.123933,5296.985869,10019.659084,10966.129637,14635.592408,10371.611651,15289.597282
Col-Pa,300,18780.884629,25038.470795,16866.365554,14264.595655,10445.331641,9496.48921,6709.478251,17173.161182,16117.218384,22476.868392,18091.176827,24817.270696
Col-Pa,360,24881.490016,32338.41706,19727.458805,19425.41005,13534.498094,11900.720841,8193.335485,22536.328985,19494.381713,29250.903338,26315.734937,32064.865195
Col-Pa,420,28856.0527,38102.253288,21099.77341,23211.804427,16626.162047,14359.722864,9660.573939,27664.376743,21910.805755,32416.914724,32944.99192,36346.653763
Col-Pa,480,32224.238776,40495.449623,21194.908743,24610.342124,19063.904377,16590.48832,11070.76526,30673.33323,23777.876265,33756.144309,34788.531967,37476.60839
Col-Pa,540,33432.633866,39501.051204,20179.344898,27288.562457,19660.865281,17223.104767,12140.910166,32236.13234,22981.095624,34619.638144,32747.557245,37647.887115
Col-Pa,600,34505.456607,38328.247894,19527.678399,26574.995883,20198.371737,17777.242831,12214.631786,31493.97736,22086.807995,34024.944422,27164.877128,36629.735635
Col-Pa,660,33696.67538,35126.320682,17546.549694,26182.53698,20792.96273,17237.374369,11917.367603,30728.042577,19751.24222,32074.380027,21366.152629,35007.380831
Col-Pa,720,32516.820953,32045.835535,16312.233798,23744.577811,20146.047941,17606.006625,11722.362899,29581.53278,17686.868121,31315.575746,16181.430724,32514.442232
Col-Pa,780,31689.030246,28613.4346,14592.785003,21206.800668,19706.053738,17137.487211,11284.793096,28496.883029,15682.002772,28620.570416,12333.537769,30014.445338
Col-Pa,840,28984.497874,24805.378235,13004.170817,17969.884001,18236.252802,16466.819524,10920.946115,25894.735007,13313.329789,25383.35389,9898.37849,26353.791537
Col-Pa,900,26986.485164,21506.477752,10982.776205,15506.014617,17151.756797,15220.629243,10050.573774,23033.421274,11334.733007,23352.132786,8488.207828,22897.850343
Col-Pa,960,24460.49763,17824.808509,10091.000695,13351.380207,15360.943592,14295.511986,9334.78285,20666.90907,9410.87992,20067.562311,7415.733792,20331.559735
Col-Pa,1020,20976.097645,15230.142073,8747.411027,11180.157194,14423.933794,13358.514662,8871.067894,17981.775446,8676.070613,17313.478953,6702.344388,16616.649052
Col-Pa,1080,18231.496209,12354.940864,8105.349593,9701.000663,12868.616876,11807.974662,7634.507816,15201.603588,7508.474881,14293.133806,6167.306509,13739.019867
Col-Pa,1140,16207.591321,10435.819381,7161.290842,8514.365911,10920.946115,10416.794863,7258.787577,12288.353474,7011.479016,12233.656731,5920.001321,11972.06413
Col-Pa,1200,13551.145196,9111.248126,6695.210527,7487.073082,9658.195897,9320.514657,6566.801121,10540.45431,6436.013975,10450.087772,5601.359224,10297.891728
Col-Pa,1260,11508.333892,8041.143733,6046.031754,6830.754012,8267.053469,8383.575582,6129.259508,8692.716704,6124.503634,8768.813163,5703.609908,8668.936575
Col-Pa,1320,9610.635073,7173.180681,5727.389156,6502.596495,7327.748755,7489.451059,5865.308931,7487.073082,5722.633305,7724.871175,5532.399534,7620.239927
Col-Pa,1380,8314.613495,6424.124245,5672.696897,6084.078717,6609.604233,7070.928119,5625.138441,6973.431612,5777.325598,6795.084651,5420.637405,6562.045221
