Name,Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
pta,0,1392.549097,676.835613,410.525252,305.903568,213.170825,194.148737,141.838019,144.215778,99.038366,110.927156,125.193707,118.060431
pta,60,87.149578,82.394063,80.016306,56.238736,87.149578,44.349954,72.883034,51.483223,101.416124,63.372006,75.260791,32.461174
pta,120,222.68187,115.682673,84.77182,87.149578,144.215778,70.505277,56.238736,80.016306,118.060431,87.149578,115.682673,77.638548
pta,180,2362.695867,626.902352,360.592158,1083.436176,1140.503087,427.169624,225.059632,515.147074,681.591163,1306.948476,790.968895,1164.280978
pta,240,8029.253765,3772.75859,2224.782129,4612.150052,4407.651604,1261.770408,1192.814458,2593.345237,3078.424431,4785.736354,3347.121524,3951.098815
pta,300,13846.037281,7460.915335,4766.713179,9470.330806,8069.679665,2241.426878,3330.476545,5503.864508,6224.377046,10014.902979,6521.620083,7553.656477
pta,360,18887.908786,10181.366828,7199.338334,13387.05249,11677.17895,3337.610107,5639.405975,8362.173549,9641.549605,15182.577937,9249.173733,10970.885799
pta,420,21848.967223,13001.792676,9037.529364,15798.535682,14630.836029,4388.628519,7881.818303,11013.691267,13263.388644,18269.548965,11819.865191,14866.277154
pta,480,23537.652013,14528.573938,10540.45431,17513.253833,17256.400508,4956.94513,9670.086107,13187.28791,16966.252374,20735.881803,13458.397103,17420.501148
pta,540,25709.210317,15529.796778,11484.552927,18947.366713,19163.793939,5791.593159,10963.751557,15403.751408,19166.172264,22279.459539,16091.057816,18250.522584
pta,600,26536.939178,15945.98573,12069.566727,19741.728853,20978.476024,6990.077349,12649.828542,16752.209342,21142.584296,23494.839845,17575.089015,20712.098095
pta,660,27447.926527,16830.691721,12557.081494,20333.938094,21884.643293,6968.675688,13192.044204,17827.186793,22445.948901,24117.996984,18367.059234,21708.641498
pta,720,28703.821649,17306.344145,13104.052816,20645.503751,22928.770009,7893.70825,14307.402885,18852.234051,23392.566427,24236.920654,19810.700788,22376.974694
pta,780,28925.03249,17860.482786,12847.213643,21190.151974,23673.224027,8240.895467,14771.149343,19551.461754,24196.486586,23532.895104,19304.115202,23076.233194
