Name,Replicate,AUC
pta,A1,20367800.6241415
pta,A2,15980889.3877526
pta,A3,33434880.4315772
pta,A4,25122874.8065739
pta,A5,35928666.6295412
pta,A6,21575261.0262156
pta,A7,24296981.8737642
pta,A8,32671773.4960114
pta,A9,26806064.0965857
pta,A10,16951421.1416124
pta,A11,37924324.5318196
pta,A12,26788733.0406976
ptada,A1,4119978.28435497
ptada,A2,2074391.05804585
ptada,A3,2229232.76475557
ptada,A4,5142188.1682711
ptada,A5,2255176.92506874
ptada,A6,2575770.8998016
ptada,A7,2896309.99883882
ptada,A8,2003169.65430078
ptada,A9,2197748.7919327
ptada,A10,2794073.24408117
ptada,A11,1719507.33587142
ptada,A12,4350427.14729958
1329,A1,2042951.63001797
1329,A2,1455527.56134068
1329,A3,3472902.77108592
1329,A4,5493270.50658641
1329,A5,1282756.98511029
1329,A6,7006494.95658608
1329,A7,3102295.57341528
1329,A8,2768090.4951191
1329,A9,3133564.15616135
1329,A10,2474339.25344993
1329,A11,2434550.79884073
1329,A12,1571529.18276394
1667,A1,7992177.83463447
1667,A2,7980059.13823744
1667,A3,15403062.2010615
1667,A4,4236311.48341716
1667,A5,7921156.93656979
1667,A6,10804814.9183053
1667,A7,12817117.6831658
1667,A8,4371129.59406358
1667,A9,4134597.12817045
1667,A10,4556951.11966698
1667,A11,3083687.45284281
1667,A12,3790068.73978147
1939,A1,7767882.52072325
1939,A2,10806758.9178126
1939,A3,6470243.39762832
1939,A4,15175713.4078342
1939,A5,13036943.7914073
1939,A6,8179162.01332665
1939,A7,7550743.4308639
1939,A8,7950765.01064598
1939,A9,11787525.0036044
1939,A10,8556431.70053459
1939,A11,5422587.86577874
1939,A12,4362355.87009717
1666,A1,14486303.495932
1666,A2,10661797.6791344
1666,A3,1891383.37173155
1666,A4,7987742.98015307
1666,A5,7544222.24722273
1666,A6,4525567.70011542
1666,A7,9359286.8818614
1666,A8,5491969.06002449
1666,A9,4296328.67024946
1666,A10,5884778.59183884
1666,A11,10467540.6878386
1666,A12,6658029.0634962
1584,A1,159086.614228004
1584,A2,137891.72721838
1584,A3,140750.520164436
1584,A4,151596.246002219
1584,A5,170134.532636545
1584,A6,132967.642682887
1584,A7,150159.10179481
1584,A8,147637.534917424
1584,A9,138152.354551589
1584,A10,175976.490796406
1584,A11,132252.147814891
1584,A12,134879.705117207
1173,A1,161503.524373817
1173,A2,142456.974308938
1173,A3,147098.736563894
1173,A4,179834.436044514
1173,A5,130737.427527767
1173,A6,153502.117295258
1173,A7,151081.110296484
1173,A8,138372.376460841
1173,A9,134251.891577782
1173,A10,135586.522868952
1173,A11,142218.935242733
1173,A12,145948.977387603
