Name,Replicate,AUC
DW+5nM_Pta,A1,7986421.32450962
DW+5nM_Pta,A2,7958143.31764332
DW+5nM_Pta,A3,7991916.21264595
DW+5nM_Pta,A4,8037862.28840566
DW+5nM_Pta,A5,8005148.59774547
DW+5nM_Pta,A6,8065636.33385312
DW+5nM_Pta,A7,8040230.66507427
DW+5nM_Pta,A8,7972315.68393682
DW+5nM_Pta,A9,8105341.53847117
DW+5nM_Pta,A10,8200233.10156317
DW+5nM_Pta,A11,8257531.31039773
DW+5nM_Pta,A12,8314213.7771929
DW+10nM_elf18,A1,7971433.87733334
DW+10nM_elf18,A2,7962452.27038471
DW+10nM_elf18,A3,8021752.2934477
DW+10nM_elf18,A4,8006643.22185698
DW+10nM_elf18,A5,7995911.1572963
DW+10nM_elf18,A6,7997467.09576835
DW+10nM_elf18,A7,8019695.1200193
DW+10nM_elf18,A8,8030063.7664555
DW+10nM_elf18,A9,8163587.63595339
DW+10nM_elf18,A10,8171695.85965212
DW+10nM_elf18,A11,8229378.13298184
DW+10nM_elf18,A12,8285246.16419796
DW+1uM_Pta,A1,7998905.87029665
DW+1uM_Pta,A2,7967063.81168546
DW+1uM_Pta,A3,8052590.6011316
DW+1uM_Pta,A4,7993659.40550461
DW+1uM_Pta,A5,8018888.13449242
DW+1uM_Pta,A6,7984548.76330413
DW+1uM_Pta,A7,8017882.56730755
DW+1uM_Pta,A8,7992230.61995758
DW+1uM_Pta,A9,8070577.57554647
DW+1uM_Pta,A10,8201417.57886892
DW+1uM_Pta,A11,8206159.88840281
DW+1uM_Pta,A12,8299235.52062418
DW+1uM_elf18,A1,8012006.25396756
DW+1uM_elf18,A2,7970252.31844257
DW+1uM_elf18,A3,8004336.16087886
DW+1uM_elf18,A4,7957277.32559614
DW+1uM_elf18,A5,8045161.99111438
DW+1uM_elf18,A6,8022067.72725024
DW+1uM_elf18,A7,7990856.15432913
DW+1uM_elf18,A8,7930054.75862459
DW+1uM_elf18,A9,8030120.83070746
DW+1uM_elf18,A10,8161526.68576961
DW+1uM_elf18,A11,8247052.68869168
DW+1uM_elf18,A12,8267770.48955586
1uM_1949+5nM_Pta,A1,7967756.32865805
1uM_1949+5nM_Pta,A2,7997970.40928296
1uM_1949+5nM_Pta,A3,7977618.70579678
1uM_1949+5nM_Pta,A4,7973371.31745469
1uM_1949+5nM_Pta,A5,8047782.65522922
1uM_1949+5nM_Pta,A6,8017194.6328439
1uM_1949+5nM_Pta,A7,8037547.65601098
1uM_1949+5nM_Pta,A8,8004212.65328896
1uM_1949+5nM_Pta,A9,8039046.94339897
1uM_1949+5nM_Pta,A10,8208343.5809992
1uM_1949+5nM_Pta,A11,8206100.84581376
1uM_1949+5nM_Pta,A12,8278757.95259304
1uM_1949+10nM_elf18,A1,7959456.4374234
1uM_1949+10nM_elf18,A2,7995592.51863015
1uM_1949+10nM_elf18,A3,8022815.8006821
1uM_1949+10nM_elf18,A4,8038792.00916422
1uM_1949+10nM_elf18,A5,8031114.07842831
1uM_1949+10nM_elf18,A6,8050344.2179788
1uM_1949+10nM_elf18,A7,8040045.99578815
1uM_1949+10nM_elf18,A8,8016326.25090784
1uM_1949+10nM_elf18,A9,8017072.81202122
1uM_1949+10nM_elf18,A10,8194864.29463772
1uM_1949+10nM_elf18,A11,8239370.88154425
1uM_1949+10nM_elf18,A12,8303540.35631745
