Name,Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
DW+5nM_Pta,0,9843.683381,9729.537186,10010.146874,9705.756749,9620.147235,9527.403698,9617.769194,9715.268923,9822.280957,9831.793145,9610.635073,9995.878561
DW+5nM_Pta,60,9646.305688,9672.464149,9636.793522,9491.733136,9658.195897,9674.842192,9727.159142,9934.049234,9936.427284,9964.963891,10138.561805,9884.110197
DW+5nM_Pta,120,9553.562121,9855.573619,9729.537186,9846.061428,9681.976319,9960.20779,9517.891547,9491.733136,9750.939585,9874.598003,9979.232199,10062.464043
DW+5nM_Pta,180,9786.610263,9981.61025,10003.012717,9646.305688,9760.451764,9651.061771,9788.988309,9567.830355,10071.976259,9865.085811,10205.147406,10314.538156
DW+5nM_Pta,240,9720.02501,9646.305688,9743.805451,9584.476631,9805.634631,9722.403054,9727.159142,9784.232217,9898.37849,9831.793145,10247.952464,10369.233588
DW+5nM_Pta,300,9491.733136,9536.915851,9553.562121,9548.806043,9781.854172,9639.171564,9817.524863,9591.610751,9627.281358,9962.585841,9765.207854,9934.049234
DW+5nM_Pta,360,9846.061428,9451.306518,10029.171295,10067.220151,9995.878561,9926.915084,9936.427284,9981.61025,9808.012677,10383.501967,10033.927401,10107.64708
DW+5nM_Pta,420,9486.977062,9349.051045,9589.232711,9636.793522,9475.086879,9777.098081,9408.501885,9379.965476,9586.854671,9715.268923,9703.378706,9967.341943
DW+5nM_Pta,480,9613.013113,9760.451764,10005.390769,9541.671928,9546.428005,10045.817667,9793.744401,9834.171192,9874.598003,9846.061428,10007.768821,10271.733062
DW+5nM_Pta,540,9577.342512,9437.038304,10357.343273,9603.500951,9372.831376,9850.817523,9762.829809,9758.073719,9777.098081,9648.68373,9753.31763,9917.402885
DW+5nM_Pta,600,9750.939585,9734.293274,10868.628385,9627.281358,9434.660269,10136.183749,9639.171564,9582.098592,9534.537813,9853.195571,9993.500509,10243.196346
DW+5nM_Pta,660,9465.574733,9693.866533,11037.472093,9898.37849,9610.635073,10369.233588,9603.500951,9658.195897,9529.781736,10055.329882,9677.220234,9917.402885
DW+5nM_Pta,720,9375.209409,9351.429078,11030.337844,9874.598003,9677.220234,10217.037698,9494.111173,9448.928482,9553.562121,10000.634665,9900.756539,9964.963891
DW+5nM_Pta,780,9819.90291,10302.64785,11926.88004,10231.30605,9879.3541,10913.811877,9979.232199,9703.378706,9601.122911,10324.050403,9926.915084,10178.98877
DW+5nM_Pta,840,9950.695587,9812.76877,11689.06946,9800.878539,9712.890879,10799.664156,9722.403054,9579.720552,9527.403698,10288.379485,9931.671184,10481.002629
DW+5nM_Pta,900,9727.159142,9988.744405,11615.348324,9563.074277,9363.319243,11004.178939,10105.269025,9603.500951,9503.623322,10359.721336,9924.537034,10402.526477
DW+5nM_Pta,960,10105.269025,10119.537358,11779.437397,10045.817667,9784.232217,11075.521428,10093.37875,9662.951981,9572.586434,10607.040245,10024.415189,10376.367777
DW+5nM_Pta,1020,10126.671525,10528.56397,12045.785595,10250.330524,9812.76877,11365.648206,10076.732368,9532.159775,9762.829809,10549.966583,9922.158984,10452.465837
DW+5nM_Pta,1080,9677.220234,9934.049234,11855.536792,10062.464043,9555.94016,10875.762619,10014.902979,9696.244576,9470.330806,10264.598882,9769.963945,10352.587148
DW+5nM_Pta,1140,9836.549239,10440.575511,11810.352767,10476.246496,9848.439476,11472.662447,10309.782034,10000.634665,9948.317536,10752.102653,9653.439813,10236.062168
DW+5nM_Pta,1200,10119.537358,10409.66067,12100.482209,10350.209086,9936.427284,11329.976824,10706.919252,10107.64708,10017.281031,10882.896853,10226.549932,10376.367777
DW+5nM_Pta,1260,9593.988791,10050.573774,11249.121751,9934.049234,9893.622392,11030.337844,10421.550992,9843.683381,10110.025136,10276.489183,10005.390769,10519.0517
DW+5nM_Pta,1320,9976.854148,10412.038734,11710.472383,10383.501967,9993.500509,11427.478639,10440.575511,10003.012717,10033.927401,10787.773778,10214.659639,10811.554536
DW+5nM_Pta,1380,9991.122457,9915.024835,11237.231306,9957.829739,9900.756539,10873.384541,10302.64785,9919.780935,9520.269585,10481.002629,10193.257116,10412.038734
DW+5nM_Pta,1440,9831.793145,10195.635174,10573.747271,9788.988309,9886.488246,10676.004308,10017.281031,9874.598003,9634.415481,10362.099399,9872.219955,10366.855525
DW+5nM_Pta,1500,9769.963945,9515.513509,10628.442879,9765.207854,9743.805451,10766.371101,9941.183385,9710.512836,9672.464149,9926.915084,10010.146874,10300.269789
DW+5nM_Pta,1560,9781.854172,10088.622641,10559.478857,9810.390724,9651.061771,10588.015687,10062.464043,9860.329715,9667.708065,10162.34237,9848.439476,10167.098484
DW+5nM_Pta,1620,10024.415189,10167.098484,10483.380695,9924.537034,9986.366354,10511.917497,10409.66067,9777.098081,9926.915084,10129.049581,10112.403191,10435.819381
DW+5nM_Pta,1680,10152.830143,9838.927286,10071.976259,9900.756539,9748.56154,10257.464703,10117.159302,9853.195571,9850.817523,10295.513667,10255.086643,10540.45431
DW+5nM_Pta,1740,9857.951667,10074.354314,10117.159302,10212.281581,9765.207854,10129.049581,10069.598205,9605.878992,9781.854172,10188.501,10183.744885,9993.500509
DW+5nM_Pta,1800,9755.695675,9712.890879,9945.939486,9943.561435,9853.195571,10400.148413,10247.952464,9993.500509,9796.122447,9969.719994,10178.98877,10381.123904
DW+5nM_Pta,1860,9876.976052,9646.305688,10012.524926,9938.805334,10178.98877,10259.842762,10521.429767,9879.3541,10048.195721,10257.464703,10083.866531,10433.441316
DW+5nM_Pta,1920,9879.3541,9786.610263,9891.244344,9910.268737,9903.134589,10226.549932,9817.524863,9703.378706,9662.951981,10048.195721,9850.817523,10095.756805
DW+5nM_Pta,1980,9646.305688,9822.280957,10079.110422,9667.708065,9465.574733,9881.732149,9808.012677,9810.390724,10205.147406,10121.915413,10005.390769,10431.063251
DW+5nM_Pta,2040,9803.256585,10017.281031,10022.037137,10193.257116,10010.146874,10373.989714,10269.355002,9848.439476,10045.817667,9936.427284,10024.415189,10043.439614
DW+5nM_Pta,2100,9517.891547,9810.390724,9665.330023,9796.122447,10152.830143,9755.695675,10033.927401,10095.756805,10114.781247,9950.695587,10117.159302,10105.269025
DW+5nM_Pta,2160,9705.756749,9924.537034,9798.500493,9872.219955,10003.012717,9879.3541,9805.634631,9943.561435,9917.402885,10224.171874,10181.366828,10283.623364
DW+5nM_Pta,2220,9739.049363,9857.951667,9838.927286,9941.183385,9862.707763,9850.817523,9693.866533,9781.854172,9332.404818,9817.524863,9655.817855,10247.952464
DW+5nM_Pta,2280,9489.355099,9769.963945,9988.744405,9824.659004,9712.890879,9736.671318,9769.963945,9876.976052,9727.159142,10038.683507,10110.025136,10224.171874
DW+5nM_Pta,2340,9793.744401,9843.683381,9667.708065,9943.561435,9808.012677,9717.646967,9781.854172,9872.219955,9674.842192,9810.390724,10193.257116,10102.89097
DW+5nM_Pta,2400,9701.000663,9651.061771,9458.440625,9513.135471,9510.757434,9446.550446,9610.635073,9717.646967,9636.793522,10086.244586,10152.830143,10190.879058
DW+5nM_Pta,2460,9722.403054,9681.976319,9734.293274,9800.878539,9639.171564,9822.280957,9881.732149,9536.915851,9574.964473,9520.269585,9710.512836,9876.976052
DW+5nM_Pta,2520,9372.831376,9529.781736,9722.403054,9672.464149,9546.428005,9779.476126,9586.854671,9615.391154,9998.256613,10164.720427,10064.842097,10193.257116
DW+5nM_Pta,2580,9565.452316,9636.793522,9544.049966,9622.525276,9605.878992,9639.171564,9748.56154,9686.732405,9684.354362,9582.098592,9413.257954,9553.562121
DW+5nM_Pta,2640,9375.209409,9358.563177,9332.404818,9332.404818,9280.088126,9475.086879,9627.281358,9544.049966,9715.268923,9765.207854,10176.610713,10207.525464
DW+5nM_Pta,2700,9289.600249,9308.624499,9444.172411,9339.538915,9560.696238,9418.014024,9358.563177,9137.406412,9658.195897,9701.000663,9570.208394,9536.915851
DW+5nM_Pta,2760,9527.403698,9372.831376,9294.356311,9163.564707,9194.479067,9085.089848,9460.818661,9477.464915,9256.307822,9275.332064,9477.464915,9689.110448
DW+5nM_Pta,2820,9249.173733,9379.965476,9337.160882,9334.78285,9291.97828,9582.098592,9513.135471,9325.270721,9491.733136,9720.02501,9869.841907,9853.195571
DW+5nM_Pta,2880,9503.623322,9577.342512,9458.440625,9729.537186,9346.673012,9627.281358,9715.268923,9660.573939,9517.891547,9769.963945,9831.793145,9903.134589
DW+5nM_Pta,2940,8904.360161,9337.160882,9299.112373,9494.111173,9529.781736,9579.720552,9344.29498,9251.551763,9506.001359,9739.049363,9651.061771,9496.48921
