Name,Replicate,AUC
cPta,A1,19306716.517991
cPta,A2,21473347.8549416
cPta,A3,7113886.78190017
cPta,A4,24858295.721021
cPta,A5,8423743.46886525
cPta,A6,4274990.55290448
cPta,A7,9673302.77526833
cPta,A8,11869779.2795905
cPta,A9,15679825.7106307
cPta,A10,8298413.8494984
cPta,A11,14221049.5673186
cPta,A12,9631107.84859714
fePta,A1,179140.385979713
fePta,A2,176171.248878187
fePta,A3,176846.094343319
fePta,A4,164142.927081063
fePta,A5,149765.928453906
fePta,A6,157127.926260395
fePta,A7,193231.43549409
fePta,A8,153914.625610387
fePta,A9,159386.179827507
fePta,A10,157120.981385406
fePta,A11,154227.841907803
fePta,A12,179459.858055824
c1184,A1,1475885.15147393
c1184,A2,4602343.93635754
c1184,A3,1928642.45909782
c1184,A4,6602101.88382076
c1184,A5,1568894.29078493
c1184,A6,2818760.54068722
c1184,A7,1906557.26756993
c1184,A8,4763352.06630136
c1184,A9,1952556.92632244
c1184,A10,1860224.15162953
c1184,A11,4301333.53870935
c1184,A12,3252948.6862792
fe1184,A1,187201.681012863
fe1184,A2,168738.929977771
fe1184,A3,168225.374021793
fe1184,A4,156310.229530607
fe1184,A5,165511.848925811
fe1184,A6,156115.743621261
fe1184,A7,166450.014190368
fe1184,A8,150012.671251895
fe1184,A9,155046.329629587
fe1184,A10,156677.841849095
fe1184,A11,166338.746836631
fe1184,A12,222482.757976742
c1213,A1,4441165.74044057
c1213,A2,5417415.1085232
c1213,A3,1978109.21947039
c1213,A4,1620862.02342571
c1213,A5,1186858.33034593
c1213,A6,5758367.73961827
c1213,A7,1460452.14427498
c1213,A8,2189511.4825855
c1213,A9,1478397.02434916
c1213,A10,5525796.40868792
c1213,A11,3535394.61012414
c1213,A12,2382963.98895534
fe1213,A1,182829.248668303
fe1213,A2,170312.379099752
fe1213,A3,163051.456166555
fe1213,A4,165072.916134157
fe1213,A5,167903.544974967
fe1213,A6,243406.808644648
fe1213,A7,179639.855658763
fe1213,A8,191283.055519776
fe1213,A9,155431.952428989
fe1213,A10,168969.560839579
fe1213,A11,158962.706483664
fe1213,A12,150699.034776836
c1471,A1,1151808.42649409
c1471,A2,1310482.09854886
c1471,A3,7122425.60555821
c1471,A4,1482993.1366909
c1471,A5,1134112.3264551
c1471,A6,1978814.49130415
c1471,A7,607792.665904027
c1471,A8,1432358.34516945
c1471,A9,1088577.40671272
c1471,A10,761558.252849196
c1471,A11,461931.287429306
c1471,A12,1298504.1259976
fe1471,A1,175658.715486712
fe1471,A2,163177.923505702
fe1471,A3,193105.734895288
fe1471,A4,199849.018621593
fe1471,A5,281475.221689569
fe1471,A6,183282.306245162
fe1471,A7,809379.859335469
fe1471,A8,200906.182057396
fe1471,A9,181829.189617213
fe1471,A10,188705.610370645
fe1471,A11,183770.491093606
fe1471,A12,194063.07669831
