Name,Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
c1635,0,1718.307853,745.791118,515.147074,391.503118,189.393216,303.525804,191.770977,187.015455,115.682673,101.416124,96.660608,70.505277
c1635,60,65.749763,60.994249,72.883034,80.016306,72.883034,156.104575,75.260791,63.372006,77.638548,51.483223,91.905093,68.12752
c1635,120,41.972198,80.016306,101.416124,56.238736,106.17164,217.926348,41.972198,60.994249,58.616493,70.505277,75.260791,80.016306
c1635,180,120.43819,87.149578,550.813635,120.43819,322.547917,274.992641,122.815948,49.105467,63.372006,72.883034,108.549398,39.594442
c1635,240,888.45787,881.324526,5097.241483,985.946963,1723.063465,574.591352,1449.616229,267.859352,645.924543,374.858753,1121.480779,486.613836
c1635,300,3808.426603,3632.464558,14100.501487,6243.400567,4795.247943,6400.34479,5672.696897,1119.10299,3979.633288,2376.962819,6157.794757,3413.701474
c1635,360,8956.676607,6474.061123,21313.828069,12671.231722,7389.576068,24184.594217,11527.35867,3156.8934,8454.915735,6181.57414,13662.918681,9039.907388
c1635,420,13915.004135,9351.429078,24983.765337,17030.465395,9525.02566,35761.462478,15953.120416,5332.654561,12652.206673,10062.464043,18899.800368,13993.483732
c1635,480,17082.787154,11277.658826,27904.613382,19323.141832,10500.027162,37105.505743,19382.600083,6771.305086,15772.375218,14043.425333,22084.429584,16580.975329
c1635,540,19446.815042,12685.500512,26629.702429,19420.653386,10856.737996,31767.527273,18443.164893,7446.647476,16695.131297,15506.014617,21615.883952,17368.179168
c1635,600,18626.294432,12309.756558,23207.047537,17220.7265,10944.726913,23632.790244,17727.2989,7753.406993,15710.541428,16302.72084,19063.904377,15144.526649
c1635,660,16676.105291,11834.13383,18514.514015,14861.52076,10623.686738,14383.504684,13796.095803,6909.226661,13303.817188,14428.690161,16668.97054,12043.407482
c1635,720,13339.489449,10535.698174,14226.544804,10994.666612,9610.635073,8885.336007,9808.012677,5470.573656,9534.537813,11684.313256,12566.594007,7948.402026
c1635,780,9998.256613,8588.08419,9857.951667,7767.674907,8611.864295,5582.335855,6595.336526,4169.863368,6823.620138,8188.579489,8412.111636,4521.790208
c1635,840,7056.66033,6987.699387,6500.218547,5209.003161,6669.053038,3171.160494,4065.236768,2714.61476,4381.494863,5660.80728,5261.317192,2386.474122
c1635,900,4376.739093,5263.695103,4222.176719,3076.046584,5170.956615,2348.428918,2267.582919,1627.951277,2436.40848,3387.545059,2980.932788,1276.037164
c1635,960,2545.788611,3791.781528,2681.325068,1929.932865,3651.487463,1432.971645,1330.726417,962.169125,1425.838252,2193.870462,1611.306656,605.502393
c1635,1020,1646.973706,2643.279724,1587.528631,1261.770408,2522.010309,952.657991,864.68006,538.92478,874.191183,1166.658768,936.013511,348.703331
c1635,1080,1021.613735,1718.307853,1159.525399,738.657787,1777.753025,693.480039,443.813999,441.436231,598.369075,790.968895,579.346896,248.837252
c1635,1140,612.635712,1185.681087,926.50238,508.013763,1423.460455,603.124621,358.214393,234.570679,401.014184,515.147074,339.192271,158.482335
c1635,1200,441.436231,829.013359,600.746848,310.659096,779.080004,446.191767,289.259221,213.170825,189.393216,396.258651,289.259221,129.949224
c1635,1260,294.014748,569.835808,531.791467,234.570679,588.857985,365.34769,172.748894,148.971297,210.793064,272.614878,158.482335,160.860094
c1635,1320,232.192917,393.880884,415.280787,217.926348,436.680695,215.548586,144.215778,167.993374,144.215778,160.860094,146.593538,127.571466
c1635,1380,148.971297,305.903568,360.592158,208.415303,272.614878,213.170825,248.837252,144.215778,148.971297,134.704742,182.259935,106.17164
c1635,1440,227.437394,260.726064,255.970539,248.837252,315.414624,210.793064,175.126654,96.660608,163.237854,153.726816,220.304109,118.060431
c1635,1500,115.682673,210.793064,320.170153,346.325566,191.770977,134.704742,263.103827,75.260791,160.860094,103.793882,236.948441,160.860094
c1635,1560,206.037541,172.748894,260.726064,267.859352,158.482335,139.46026,303.525804,120.43819,175.126654,56.238736,189.393216,110.927156
c1635,1620,203.65978,217.926348,222.68187,179.882174,110.927156,148.971297,296.392512,110.927156,172.748894,101.416124,120.43819,82.394063
