Name,Replicate,AUC
cPa,A1,38017071.2534779
cPa,A2,45156518.3011543
cPa,A3,32100471.5858892
cPa,A4,40786436.8845954
cPa,A5,52168249.599246
cPa,A6,64461648.3336857
cPa,A7,37185136.7215885
cPa,A8,57219417.7301709
fePa,A1,15868244.0461189
fePa,A2,15970810.4285062
fePa,A3,16013344.4528952
fePa,A4,15959804.1318507
fePa,A5,16088759.732747
fePa,A6,16068258.3793023
fePa,A7,16142882.0020098
fePa,A8,16142618.6060876
c5007,A1,25876129.6284474
c5007,A2,38781407.4048818
c5007,A3,23423015.8378674
c5007,A4,39173883.3195399
c5007,A5,41425538.2744927
c5007,A6,48095178.2350171
c5007,A7,47297123.3222127
c5007,A8,47624694.5202366
fe5007,A1,15936540.5588367
fe5007,A2,15914017.8586339
fe5007,A3,15923311.8781023
fe5007,A4,16000821.7995897
fe5007,A5,15937891.5667216
fe5007,A6,16078263.7051314
fe5007,A7,16061447.9871775
fe5007,A8,16070115.5323198
