Name,Time,N,measurement,sd,se,ci
c5007,0,8,4633.25412675,226.749458949987,80.1680400269581,189.567291650406
c5007,60,8,4104.47175,64.7227043786666,22.8829315814437,54.1095349650202
c5007,120,8,4276.273848,246.28787868955,87.0759145727154,205.901819328264
c5007,180,8,6390.871771625,2662.70354871583,941.407867793223,2226.07587482411
c5007,240,8,11621.499900875,6143.43437756608,2172.03205407577,5136.03967030445
c5007,300,8,16981.8066935,8477.91045090709,2997.39398506435,7087.71050866151
c5007,360,8,21659.002679875,10518.9293313995,3719.00313052733,8794.04499419442
c5007,420,8,25514.701611,12299.2157878716,4348.42944344033,10282.4017182991
c5007,480,8,27622.486998,13005.5929092571,4598.17146974367,10872.9477703379
c5007,540,8,28426.454945375,13042.8676879801,4611.35009414483,10904.1102651995
c5007,600,8,28560.202293875,12694.6228518392,4488.22695157061,10612.9702963362
c5007,660,8,28414.72511275,12065.3711279807,4265.75287106377,10086.9026902189
c5007,720,8,27387.344601875,11039.7623557278,3903.14541221155,9229.47229920855
c5007,780,8,26466.446748375,10180.0866578537,3599.20415441751,8510.76542996915
c5007,840,8,24935.783498375,9370.76114472706,3313.06437515796,7834.1523685866
c5007,900,8,24191.235551125,8530.91546760324,3016.13408843573,7132.02381157082
c5007,960,8,22444.508467,7925.54655266349,2802.10385599901,6625.92273337691
c5007,1020,8,21374.187062875,7465.39869951039,2639.41702234251,6241.22950109792
c5007,1080,8,20230.145055875,6897.8952492617,2438.77425333371,5766.78474359298
c5007,1140,8,19334.377305125,6566.27989635752,2321.53052094165,5489.54737063146
c5007,1200,8,17593.4029305,5730.98745683831,2026.21004681271,4791.22541551428
c5007,1260,8,16117.078484875,5365.50000905401,1896.99072042929,4485.67026257356
c5007,1320,8,15205.299572375,4851.54182043474,1715.27906021976,4055.99046404493
c5007,1380,8,13990.613977875,4339.75935428039,1534.33663406471,3628.12961501665
c5007,1440,8,12861.848676,3551.23986156587,1255.5528938666,2968.91082199447
c5007,1500,8,11646.315209375,3071.58466333573,1085.96917221665,2567.90904110562
c5007,1560,8,10720.929545375,2674.7628732757,945.671482879631,2236.15772245689
c5007,1620,8,9816.05820975,1894.66595201872,669.865571377851,1583.98037538712
c5007,1680,8,9050.62196175,1569.51276706886,554.906560376625,1312.1455100345
c5007,1740,8,8562.2332965,1349.87891596759,477.254267630713,1128.52701541574
c5007,1800,8,8005.182266625,1019.49195308744,360.444836696625,852.316602214239
c5007,1860,8,7576.845312625,803.981988604694,284.250558047112,672.145763086984
c5007,1920,8,7338.155460375,749.910851965781,265.133524355192,626.941161600554
c5007,1980,8,7031.693399,556.505678698129,196.754469588135,465.250390397378
c5007,2040,8,7475.481316375,399.719008376765,141.322010696186,334.173453776057
c5007,2100,8,7167.533716625,360.311837534466,127.389471831203,301.228234489659
c5007,2160,8,6757.63216975,245.621886666458,86.8404508348431,205.345036063321
c5007,2220,8,6778.736451875,214.861396667839,75.9649752995209,179.628622864894
c5007,2280,8,6662.51387375,194.185860832139,68.6550695024763,162.343442340344
c5007,2340,8,6502.29947075,200.274503146226,70.8077296367315,167.43367469924
c5007,2400,8,6419.07115325,88.7057313349684,31.3622120785341,74.1598472644979
c5007,2460,8,6285.0146865,165.974896244632,58.6809873206565,138.758485725833
c5007,2520,8,6340.5991295,185.224223495515,65.4866522368457,154.851326034868
c5007,2580,8,6257.37103525,110.183138756499,38.9556222935694,92.1154092112627
c5007,2640,8,6376.862787375,192.00842210256,67.8852286568247,160.523058006849
c5007,2700,8,6150.661012125,111.889462989877,39.5588990117316,93.5419319694503
c5007,2760,8,6251.723445875,125.732425995701,44.4531255182979,105.114938659665
c5007,2820,8,6432.74445275,167.70333513074,59.2920827492734,140.203496796378
c5007,2880,8,6442.553716375,266.893102456282,94.3609612993765,223.128217492114
c5007,2940,8,6597.12018825,190.641865033192,67.4020777715102,159.380587706256
cPa,0,8,4745.60996925,336.606236254315,119.008276122554,281.409855859641
cPa,60,8,4091.393522625,146.51034162468,51.7992280383844,122.485710833349
cPa,120,8,4221.582383625,156.763718697743,55.4243442675973,131.057748583788
cPa,180,8,6230.931218375,1647.40270022473,582.444810336968,1377.26312373715
cPa,240,8,12757.387359375,6702.63696321336,2369.74002425989,5603.544731335
cPa,300,8,19650.18614775,10632.4847283086,3759.15102612469,8888.97968177435
cPa,360,8,24702.47930175,12562.8169481747,4441.62652742982,10502.7778032784
cPa,420,8,28132.154738,13395.7750202459,4736.1216780326,11199.1481783702
cPa,480,8,30351.4658265,13766.426931752,4867.16691807549,11509.0209310314
