Name,Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
cPa,0,5394.480333,5054.43918,4676.353161,4588.371136,4388.628519,4835.672209,4557.458555,4469.476661,4633.551082,4547.946994,4605.016376,4493.255542
cPa,60,3789.403661,4198.397919,4184.130642,3960.610305,4219.798839,4096.149158,4155.596096,4127.061561,4105.660666,4155.596096,4355.338131,4393.38429
cPa,120,3970.121796,4196.020039,4062.858893,4341.070827,4231.688241,4243.577646,4245.955527,4481.3661,4236.444003,4899.875497,4438.564126,4840.428006
cPa,180,4540.813324,6578.690872,4367.227554,6112.61395,6378.943287,9049.419482,4909.3871,7910.354178,6493.084703,9960.20779,9429.904199,10305.025911
cPa,240,6757.037351,12005.357686,6207.731469,13605.842839,14136.174103,26636.838068,7123.243367,15586.873992,15094.584361,19349.303457,24034.750521,24522.338181
cPa,300,10659.357805,16252.777828,7793.832754,20533.720514,25086.040789,40083.890884,11068.387176,25723.481432,23661.331736,29303.233087,35721.022588,36548.854998
cPa,360,14014.887271,19418.275054,9936.427284,25109.825796,35292.83677,46407.379481,14797.30948,32642.893278,28192.422583,35799.52357,40830.883455,44796.721914
cPa,420,17553.684524,20938.043602,12064.8105,28106.793291,42512.831739,49219.565364,17803.40395,36858.104934,32233.753627,40669.113772,44025.901695,49516.968125
cPa,480,20488.531589,22945.419065,13272.901241,29457.843908,47092.573029,50504.353215,19670.378638,39379.725927,33765.659342,43830.818742,45277.298771,50080.846793
cPa,540,22512.544742,23542.408921,14217.032094,30111.969918,48736.585635,51180.06473,20899.989577,40873.704897,34779.016813,46485.890945,47047.369108,47404.242869
cPa,600,22847.903216,24063.292155,14861.52076,29274.689583,47761.118221,50854.10459,22286.59479,41240.067055,35487.898914,47925.281417,46233.702882,43452.549494
cPa,660,23754.091653,24948.087885,15624.92549,28401.739015,46393.104678,49502.692767,22305.62213,42091.746603,35611.597106,48087.065766,46807.075005,39070.466248
cPa,720,25064.634288,26337.141773,15836.587281,28427.903607,43828.439684,49112.500641,22740.873763,41668.284689,35718.643772,49455.10826,44644.460542,34926.501833
cPa,780,24020.479707,25359.568801,16121.974852,26565.481705,40331.301664,47768.255744,22743.252194,40592.986976,35423.671083,47980.002557,43845.093088,29874.105296
cPa,840,24068.049096,25578.391884,15624.92549,24917.167439,37143.567474,45546.137578,22231.891213,40110.059296,33073.443657,48567.662378,43640.494368,26415.633551
cPa,900,23765.983958,26489.368322,16485.84548,24955.223374,34058.247153,43048.112652,23073.854753,39106.149996,34055.868386,47658.81379,41475.58647,23256.994889
cPa,960,23475.812223,25989.876041,16633.296794,23311.699166,30316.534059,41090.191424,22089.186406,37038.897757,33273.257879,45234.474973,41109.223234,19981.941712
cPa,1020,22883.579732,26601.159879,16535.788637,21837.075203,28432.660807,38594.68446,22362.704176,37134.052039,31603.397213,45598.477981,39191.791057,17946.101115
cPa,1080,22396.002056,25559.363766,16535.788637,21123.557233,25435.68111,36613.083732,21839.453606,35128.699481,31370.285532,44558.813647,38594.68446,16007.819701
cPa,1140,21209.179053,25680.668095,16880.635092,19563.353435,23666.088652,33513.511354,21463.666671,33401.710142,29688.571381,42436.703189,36063.572892,14209.897562
cPa,1200,20381.505292,25031.335298,15922.203446,17603.628347,20469.504682,31210.913651,19998.590155,30827.946698,27164.877128,39872.164959,33875.082301,12604.644069
cPa,1260,19166.172264,23906.31329,15408.507834,16659.45754,19130.497405,27975.970939,18609.646275,28960.711715,26377.576922,38673.18826,31934.036373,10821.066841
cPa,1320,18141.120986,22883.579732,15589.25221,15853.234862,16809.287428,25592.662975,17751.08172,26705.815946,24467.633076,35970.798706,29717.115033,10091.000695
cPa,1380,17413.366331,22281.837956,14875.789941,14171.846736,15125.501012,22900.228779,16683.240043,24172.70185,22543.464259,33232.819246,26896.100054,9950.695587
cPa,1440,16566.705845,21007.016568,14302.646525,12973.254986,14055.316195,20493.288317,15555.957163,21756.209513,20257.830637,29916.920876,24374.872331,8726.008896
cPa,1500,14932.866688,19565.731771,14143.308629,12055.298047,12816.297872,18141.120986,13995.861902,19492.003378,18188.68688,27628.698096,21825.183184,8414.48964
cPa,1560,13596.330203,18312.358337,12916.179636,11356.135836,11960.173577,16338.394438,13280.035689,16868.743811,16053.006096,24952.844878,19068.66102,7677.3115
cPa,1620,12064.8105,16752.209342,12949.473585,10414.416798,11458.393873,14535.708498,11753.278247,15004.21268,14343.075594,21846.588818,16897.28289,7546.522539
cPa,1680,11137.351637,15560.713597,11612.970224,9563.074277,10343.074898,12780.625843,11268.146466,13173.019031,12587.997164,19701.297057,14519.061192,7382.442145
cPa,1740,10169.476541,14376.370137,11448.881492,9344.29498,9627.281358,12290.731594,10338.318774,11972.06413,11741.387727,17710.650929,12963.742425,7292.079173
cPa,1800,9698.622619,13477.422344,10916.189957,8844.909695,8875.823932,10611.796386,9539.293889,10664.113948,10038.683507,15503.636402,11945.904917,7254.031636
cPa,1860,8661.802538,12088.591638,10412.038734,7915.110158,8559.548074,10048.195721,8778.325226,9739.049363,9163.564707,14366.857409,10431.063251,6768.92713
cPa,1920,7948.402026,11073.143344,9582.098592,7927.000109,8138.641541,9660.573939,8649.912477,9429.904199,8690.338691,12759.222634,9881.732149,6811.730351
cPa,1980,7912.732168,10454.843903,9398.989748,7613.105983,7793.832754,9030.395294,7879.440314,8773.569194,8381.197578,11679.557052,9142.162465,6856.911553
cPa,2040,8414.48964,10442.953576,9289.600249,7712.981253,8278.943473,9120.760229,8200.469481,8547.658029,7960.291983,11030.337844,9016.127156,7306.347004
cPa,2100,8093.459615,9532.159775,9144.540492,7551.278497,7465.671288,8626.132361,7915.110158,8174.3115,7976.937925,10074.354314,8414.48964,6909.226661
cPa,2160,7139.889135,8592.840211,8476.317793,7201.716303,7629.751853,7817.612623,7472.805219,7596.460117,7418.111767,9360.94121,8181.445494,6987.699387
cPa,2220,7013.856979,8390.709594,8045.899721,6930.628306,7289.701201,7850.904451,7097.085739,7289.701201,6909.226661,8764.057132,7855.660427,6911.604621
cPa,2280,6678.564851,7936.512072,7822.368597,6990.077349,7068.550154,7558.412435,7080.43998,7342.016592,7092.329807,8483.451814,7891.33026,6937.762188
cPa,2340,6868.801347,7463.293311,7406.221891,6635.761702,6823.620138,7356.284432,6773.683043,7092.329807,7025.746797,8133.885548,7468.049265,6702.344388
cPa,2400,6771.305086,7503.718925,7510.852859,6795.084651,7082.817945,7030.502724,6728.501888,6952.029956,6697.58848,7858.038415,7484.695104,6619.116039
cPa,2460,6312.36087,7054.282366,7273.055402,6412.234517,6447.903707,6904.47074,6512.108288,6673.808945,6545.399573,7294.457144,6952.029956,6545.399573
cPa,2520,6305.227043,6778.438955,7028.12476,6840.265844,6871.179306,6847.399719,6338.518242,6699.966434,6531.131878,7458.537358,7353.906458,6735.635752
cPa,2580,6436.013975,6873.557265,7028.12476,6597.714477,6550.155472,6695.210527,6371.809454,6485.95086,6797.462608,6952.029956,6864.045429,6540.643674
cPa,2640,6302.8491,6747.525529,6966.297726,6597.714477,6821.242181,6925.872384,6623.871942,6547.777523,6485.95086,6588.202674,6823.620138,6374.187398
cPa,2700,6200.597651,6298.093216,6554.911371,6248.156448,6117.369823,6645.273511,6017.496544,6676.186898,6495.462651,6854.533594,6859.289511,6362.297678
cPa,2760,6122.125697,6357.54179,6647.651463,6312.36087,6471.683175,6799.840565,6359.919734,6431.258083,6388.455066,7004.345126,6766.549174,6559.667271
cPa,2820,6631.005798,6462.171387,6611.982184,6614.360136,6283.825565,6909.226661,6462.171387,6402.722736,6302.8491,6702.344388,6875.935224,6523.998031
cPa,2880,6902.09278,6733.257797,6659.541226,6661.919179,6500.218547,6730.879842,6388.455066,6497.840599,6381.321232,6538.265725,6735.635752,6621.493991
cPa,2940,6329.006469,6930.628306,6949.651995,6730.879842,6716.612114,6909.226661,6481.194965,6757.037351,6757.037351,6897.33686,6842.643802,6554.911371
fePa,0,5346.922043,4880.852295,4683.486843,4581.237462,4574.103789,4588.371136,4426.674693,4452.831449,4571.725898,4469.476661,4531.301766,4616.905836
fePa,60,3974.877542,3998.656276,4060.481017,4136.573071,4174.619126,4215.043078,4134.195194,4079.504024,4084.259776,4148.462462,4293.513162,4395.762175
fePa,120,4084.259776,4127.061561,4110.41642,4203.153679,4105.660666,4100.904912,4333.937175,4250.711289,4198.397919,4509.900762,4405.273718,4381.494863
fePa,180,4124.683683,3962.988178,4119.927928,4295.891045,4369.605439,4298.268928,4224.5546,4471.854549,4483.743989,4438.564126,4486.121877,4436.18624
fePa,240,4248.333408,4219.798839,4229.310361,4281.623751,4210.287318,4269.734341,4260.222814,4112.794297,4459.965111,4307.780459,4288.757398,4376.739093
fePa,300,4293.513162,4224.5546,4348.204479,4031.946515,4205.531558,4110.41642,4124.683683,4298.268928,4371.983323,4357.716016,4450.453561,4331.559292
fePa,360,4089.015529,4310.158342,4341.070827,4257.844933,4424.296807,4269.734341,4319.669874,4267.356459,4212.665198,4471.854549,4531.301766,4526.545987
fePa,420,4498.011319,4376.739093,4581.237462,4626.417405,4324.425641,4486.121877,4666.841586,4574.103789,4317.291991,4395.762175,4376.739093,4712.021577
fePa,480,4402.895832,4600.260593,4738.178425,4524.168097,4593.126918,4593.126918,4600.260593,4745.312113,4847.561703,4990.235768,4873.718596,4802.381635
fePa,540,4588.371136,4773.846869,4778.602663,4904.631298,4747.690009,4678.731054,4745.312113,4619.283728,4840.428006,4985.479961,4899.875497,4835.672209
fePa,600,4457.587223,4688.242631,4500.389207,4369.605439,4559.836446,4612.150052,4652.574225,4792.870045,4809.515328,4847.561703,4797.62584,5063.950801
fePa,660,4740.556321,4764.335282,4864.206997,4745.312113,4802.381635,4842.805905,4712.021577,4785.736354,4662.085799,4911.765,4878.474395,4928.410308
fePa,720,4742.934217,4804.759533,4633.551082,4845.183804,4714.399472,4635.928975,4640.68476,4759.579489,4726.288948,4928.410308,4930.78821,5168.578707
fePa,780,4564.592226,4395.762175,4626.417405,4712.021577,4814.271124,4597.882701,4695.376314,4704.887892,4868.962796,4935.544013,4826.160615,4857.073299
fePa,840,4562.214336,4652.574225,4621.66162,4624.039512,4802.381635,4685.864737,4826.160615,4505.144985,4659.707905,4802.381635,4847.561703,5199.491523
fePa,900,4971.212544,5004.503188,5016.392707,4952.189325,5125.776365,4947.433521,4940.299816,5101.997296,5140.04381,5261.317192,5199.491523,5363.567441
fePa,960,4757.201593,4883.230195,4928.410308,4859.451198,5014.014803,4738.178425,4785.736354,4754.823697,5056.817085,5230.404351,5223.270621,5232.782262
fePa,1020,4849.939602,5125.776365,5242.293904,5166.200798,4897.497597,5161.444981,5128.154272,5161.444981,5403.991994,5482.463244,5294.607956,5313.631257
fePa,1080,5223.270621,5235.160172,5579.957935,5189.979886,5503.864508,5472.951574,5434.904902,5518.13202,5677.452744,5805.860723,5950.914428,5734.522931
fePa,1140,5558.556651,5853.419285,5746.412559,5656.051434,5991.339278,5865.308931,5977.071681,5929.513045,5817.750361,6029.386214,5870.064789,5905.733737
fePa,1200,5767.813893,5194.735704,5515.754101,5335.032475,5377.834928,5349.299957,5299.363781,5121.020551,5534.777454,5582.335855,5618.004675,5568.068332
fePa,1260,5187.601977,5254.183458,5342.166215,5484.841162,5301.741693,5308.875431,5368.32327,5263.695103,5468.195739,5501.486589,5618.004675,5311.253344
fePa,1320,5220.892711,5755.924262,5608.492989,5808.23865,5779.703525,5765.435966,5905.733737,5746.412559,5705.987832,6079.322845,5979.449614,6041.275885
fePa,1380,5722.633305,5670.318973,5793.971086,5779.703525,5568.068332,5793.971086,5962.804087,5891.466156,5979.449614,5948.536496,6231.510866,6057.921428
fePa,1440,5603.737146,5843.907571,5620.382597,5575.202093,5653.673511,5839.151714,5939.02477,5810.616578,5891.466156,6041.275885,6003.228943,5858.175143
fePa,1500,5805.860723,5603.737146,5637.028053,5713.121606,5639.405975,5736.900857,5587.091697,5770.191819,5853.419285,5984.205479,6060.299363,5891.466156
fePa,1560,5591.847539,5998.473077,5549.044971,5822.506216,5722.633305,5618.004675,5874.820648,5903.355807,5682.208591,5725.01123,6081.700781,5922.379252
fePa,1620,5577.580014,5729.767081,5851.041357,5817.750361,5939.02477,5786.837305,5822.506216,5784.459378,5965.18202,6134.015382,5962.804087,6048.409689
fePa,1680,5575.202093,5629.894286,5660.80728,5660.80728,5753.546336,5789.215232,6072.189039,5865.308931,6022.252412,5988.961345,6024.630346,6015.118611
fePa,1740,5748.790484,5558.556651,5791.593159,5870.064789,6053.165558,5988.961345,6010.362744,6060.299363,6397.966845,5965.18202,6050.787624,6305.227043
fePa,1800,5893.844086,5939.02477,5972.315816,5789.215232,5499.108671,5665.563127,5865.308931,5836.773785,6062.677298,6305.227043,6214.865287,6195.841773
fePa,1860,5953.29236,6065.055233,5782.081452,5810.616578,5701.231984,5736.900857,5848.663428,5851.041357,5886.710296,6110.236014,5912.867529,6005.606877
fePa,1920,5715.499531,5867.68686,5924.757183,6043.65382,6015.118611,6065.055233,6195.841773,6155.416819,5984.205479,6271.935858,6336.140298,6200.597651
fePa,1980,5912.867529,5696.476135,5770.191819,5886.710296,5908.111668,6029.386214,6003.228943,5991.339278,6048.409689,6110.236014,6160.172695,6267.179975
fePa,2040,6718.990069,6592.958576,6621.493991,6512.108288,6642.895559,6483.572912,6400.34479,6295.715274,6455.037546,6688.076665,6604.848331,6688.076665
fePa,2100,6412.234517,6447.903707,6431.258083,6110.236014,6445.52576,6302.8491,6238.644687,6502.596495,6564.423171,6371.809454,6547.777523,6433.636029
fePa,2160,6079.322845,6091.212524,6153.038882,6098.346332,6317.116755,6114.991887,6226.754986,6224.377046,6264.802034,6236.266746,6350.407959,6402.722736
fePa,2220,6195.841773,6195.841773,6295.715274,6136.393319,6290.95939,6300.471158,6397.966845,6381.321232,6155.416819,6445.52576,6602.470379,6550.155472
fePa,2280,6305.227043,6169.684448,6233.888806,6288.581449,6148.283006,6267.179975,6138.771256,6364.675622,6355.163846,6583.446773,6657.163274,6450.281653
fePa,2340,6027.00828,5969.937884,5865.308931,5991.339278,6298.093216,6369.43151,6015.118611,6181.57414,6543.021624,6314.738812,6476.43907,6531.131878
fePa,2400,5998.473077,6274.313799,6250.534389,6057.921428,6103.102204,6124.503634,5953.29236,6174.440324,6317.116755,6269.557917,6267.179975,6350.407959
fePa,2460,5851.041357,6055.543493,6000.85101,5893.844086,6024.630346,6062.677298,6019.874478,6036.520017,6378.943287,6326.628526,6374.187398,6221.999106
fePa,2520,5924.757183,6084.078717,6107.858077,6191.085895,5967.559952,6122.125697,6091.212524,6186.330017,6355.163846,6533.509827,6500.218547,6374.187398
fePa,2580,6024.630346,6079.322845,6072.189039,5991.339278,6174.440324,6053.165558,6357.54179,6131.637445,6345.652072,6300.471158,6388.455066,6452.6596
fePa,2640,6267.179975,6283.825565,6107.858077,6105.480141,6231.510866,6150.660944,6048.409689,6065.055233,6145.905069,6302.8491,6248.156448,6255.29027
fePa,2700,5891.466156,5855.797214,5893.844086,5870.064789,5903.355807,6183.952078,5860.553072,6126.881571,6076.94491,6286.203507,6260.046152,6183.952078
fePa,2760,5896.222016,5972.315816,6174.440324,5979.449614,6241.022627,6129.259508,6383.699176,6131.637445,6390.833011,6445.52576,6445.52576,6271.935858
fePa,2820,6288.581449,6062.677298,6164.928571,6314.738812,6324.250583,6319.494698,6307.604985,6264.802034,6164.928571,6333.762355,6521.620083,6236.266746
fePa,2880,6837.887886,6436.013975,6015.118611,6145.905069,6126.881571,6293.337332,6221.999106,6034.142082,6207.731469,6393.210955,6376.565343,6471.683175
fePa,2940,6131.637445,6721.368023,6540.643674,6474.061123,6650.029416,6352.785902,6431.258083,6462.171387,6583.446773,6554.911371,6409.856571,6692.832573
c5007,0,5140.04381,4709.643682,4664.463692,4514.65654,4419.541034,4578.859571,4457.587223,4581.237462,4614.527944,4612.150052,4574.103789,4405.273718
c5007,60,4005.789897,4072.370396,4086.637652,4112.794297,4155.596096,4219.798839,4122.305806,4060.481017,3948.720943,4300.64681,4495.63343,4474.232436
c5007,120,4072.370396,4110.41642,4110.41642,4640.68476,4255.467052,4105.660666,4681.108948,4234.066122,4348.204479,4276.867987,4631.17319,4488.499765
c5007,180,4245.955527,5011.636899,4319.669874,11505.955795,6210.109408,4840.428006,9470.330806,5522.887858,5082.974046,5325.520822,8371.685563,7734.383113
c5007,240,5793.971086,9746.183496,5037.793846,22605.303329,12618.912847,9296.734342,18711.913581,9161.18668,7073.306084,8207.603477,17665.463599,15135.01383
c5007,300,7879.440314,14217.032094,6136.393319,28756.15104,18930.718489,15603.52152,29127.214977,15203.981795,11051.740591,13372.783575,28256.644612,21603.991966
c5007,360,9541.671928,18010.314922,6711.856205,33361.271445,22821.740448,23673.224027,37426.652164,21725.2903,16909.174176,18947.366713,36303.834743,26727.222885
c5007,420,10640.333234,20331.559735,7855.660427,36418.018846,26515.532289,29636.241381,44323.285159,28396.981817,22686.169876,24764.94388,41349.500232,30873.141461
c5007,480,12000.601463,21361.395849,8307.479489,36130.180065,28641.977867,34117.716352,47109.227112,33311.317787,26372.819844,30361.728533,44266.187448,33094.852299
c5007,540,12129.019588,22719.46789,8987.590887,35081.123518,29971.629706,35428.428698,47661.192962,35433.186314,30342.699277,34372.245019,46102.850898,33820.370803
c5007,600,12816.297872,22767.036505,9353.807111,33040.141335,30518.720061,37250.616188,46381.209011,36353.790268,31950.687302,35628.2488,45377.221054,34360.351138
c5007,660,13665.296842,23459.163057,9736.671318,31287.031525,30290.368849,37621.719509,44699.179439,36558.370363,32497.791185,36651.145229,44649.218705,33587.252665
c5007,720,13436.993713,23171.370877,10438.197446,28677.656966,29510.173792,36472.73212,40816.609647,36575.022254,33691.917867,37307.708895,43419.242853,32041.078121
c5007,780,13261.010495,23302.185376,10792.529929,26375.198383,29222.359853,36353.790268,36058.815238,36365.684445,32340.795775,36208.681448,41496.997361,30830.325369
c5007,840,12975.633126,23102.396046,10571.369202,23268.88712,27457.44081,34943.153385,32343.174492,34824.213806,31672.379371,34374.623795,39263.158677,28701.443041
c5007,900,13529.74178,23618.519502,11341.867283,21294.800965,26751.00838,34098.686203,29005.905424,33889.354872,30749.450592,34322.290731,37191.144663,26755.76548
c5007,960,12771.113305,22564.870086,10890.031089,18604.889659,25202.587393,32240.889766,25683.046613,31598.639825,29039.206067,31125.28113,35112.047891,24408.171048
