Name,Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
Pta,0,609.503759,493.965849,241.88379,269.192636,178.863415,195.668843,122.145126,124.245803,101.138364,82.232284,113.742421,59.124859
Pta,60,52.822835,80.131608,61.225534,54.92351,69.628233,69.628233,63.326208,75.930258,44.420138,44.420138,40.21879,50.722161
Pta,120,380.528811,433.045935,162.057992,227.179031,256.588552,84.332959,92.735661,107.440392,208.272916,197.769522,134.749187,115.843097
Pta,180,2806.860697,2884.588723,903.601111,2168.233667,2390.912174,859.486431,844.781543,2197.643996,3212.307825,4296.312601,2800.558428,1653.554897
Pta,240,5743.779002,6193.360955,2848.875835,5890.838204,6229.075532,5037.899087,4785.800825,8811.077148,11260.809466,11624.2847,7727.003146,5741.678158
Pta,300,7848.855596,8552.66265,5645.039423,9840.542653,10691.438723,10783.882369,9687.172352,14301.032701,18007.466472,16792.978675,12134.833994,10246.03012
Pta,360,9023.271872,10775.478396,8155.588555,12441.585548,13521.529693,14460.716319,13311.422535,19177.849017,21291.73086,18921.497862,14662.422456,13141.236196
Pta,420,9706.081001,11164.163186,9527.499515,13555.146896,14929.263752,16885.4303,16351.73395,21218.185202,23697.766717,20594.100839,15811.738201,14952.376038
Pta,480,9330.009927,10935.154052,9909.874542,14160.259285,15694.074305,18339.458116,17553.606999,23342.634877,24309.270102,20526.859755,16555.546648,15254.937564
Pta,540,9464.470863,10983.477018,9682.970431,13819.882929,16763.562275,18772.310322,17839.370031,23388.864957,23699.868095,19564.478747,16208.855296,14992.297276
Pta,600,8592.580275,10620.005079,9538.004296,13279.906516,16656.402633,18600.009612,17551.505805,23281.695273,23460.311502,18591.60471,15275.948829,14303.133799
Pta,660,8537.956162,9390.937507,8853.095854,12937.43334,16246.676088,17673.375188,17513.684315,23315.317117,22464.269111,17515.785508,14332.549176,13742.14288
Pta,720,8071.551996,8731.241674,8239.625215,12294.512719,15357.892823,16515.624527,16145.820688,22203.703375,21180.36175,16433.679191,13630.785661,13025.677804
Pta,780,7720.700439,8346.7721,7363.547948,11773.457158,14519.547216,15849.558781,14958.679389,20690.76001,20062.477764,14845.219141,12506.717898,12328.129338
Pta,840,7260.604329,7708.095026,7105.138741,10979.27502,13891.319806,14633.006942,14687.635764,19574.985019,18572.693684,13645.493208,11267.112489,11262.910474
Pta,900,7187.073265,7287.915887,6287.89958,10433.017352,12985.757676,13025.677804,13103.417065,18038.984599,16261.38418,12006.671067,10641.014967,10550.672493
Pta,960,6338.320231,6542.104065,5455.964019,9140.924667,11786.063295,12031.883428,11706.224462,17068.232732,15124.667859,10636.812988,8966.546488,9227.063445
Pta,1020,6250.084115,6292.101299,5197.561784,8771.159399,10867.922153,10561.177426,10397.300652,15185.600433,13334.534292,9498.086137,8201.808706,8109.368435
Pta,1080,5592.518427,5241.679172,4703.869084,7516.913208,9584.22535,9231.265339,9598.932056,13584.561962,11300.72862,7949.699162,6949.673494,7103.037857
Pta,1140,5149.242772,5048.403201,3911.867145,6628.239676,8550.561723,8155.588555,8119.873005,11727.234672,10271.241853,7004.29638,6332.017648,5939.157724
Pta,1200,4554.711542,4187.071057,3695.486195,5571.510039,7359.346164,7075.726371,6827.822594,10153.587177,8472.827468,6096.721602,5432.854837,4869.833479
Pta,1260,4214.381427,3733.300294,2920.301628,4817.313059,6514.792795,6012.68749,6014.788341,9016.96905,7311.025675,4878.23675,4569.417201,4269.002199
Pta,1320,3720.695592,3168.191703,2422.42334,4084.132063,5682.854565,5323.611537,4745.88535,7756.415787,5773.190818,4113.543189,3863.549011,3248.020896
Pta,1380,2970.719878,2769.047094,2258.56543,3292.137067,4540.005886,4231.187814,4121.94637,6241.680681,4983.277721,3311.044006,3010.634351,2857.278866
Pta,1440,2523.259166,2502.25169,1777.497605,2916.100109,3960.185311,3508.516782,3552.633116,5340.418187,4178.667868,2743.838036,2525.359914,2285.875055
Pta,1500,2166.13293,1798.504866,1563.223908,2443.430792,3262.726283,2769.047094,2945.510748,4338.328625,3514.819114,2193.442519,2084.204224,1716.576586
Pta,1560,1718.67731,1613.64119,1275.425944,1968.663903,2416.121106,2363.602508,2248.06173,3584.1448,2701.82296,1741.785277,1571.626786,1569.526066
Pta,1620,1491.799486,1338.447295,970.823535,1504.403791,2378.307711,2134.621878,2054.793943,2991.727493,2313.184691,1323.742308,1477.094467,1216.606066
Pta,1680,1332.145158,954.017923,827.975961,1365.756565,1811.109225,1735.483104,1592.633985,2449.733029,1937.15294,1002.334068,1002.334068,1050.650246
Pta,1740,1023.341098,798.566202,819.573172,1178.793313,1447.684438,1559.022469,1365.756565,2035.88734,1428.777998,1023.341098,893.097614,729.243248
Pta,1800,825.875264,769.156456,697.732836,924.608112,1256.519549,1306.936612,1227.109612,1580.029664,1237.613159,819.573172,888.896215,561.187883
Pta,1860,670.423825,697.732836,571.691331,664.121746,1010.736879,1035.945319,874.191321,1330.044445,1042.24743,630.510672,561.187883,500.267912
Pta,1920,561.187883,599.000305,514.972727,678.826596,947.71582,916.205311,773.357847,1222.908193,804.868293,561.187883,521.274792,483.462411
Pta,1980,504.469287,493.965849,498.167224,521.274792,762.854369,693.531449,636.812748,998.132663,735.545332,468.757602,424.643193,399.434971
Pta,2040,365.824023,445.650051,399.434971,552.785125,615.805833,643.114823,683.027983,848.982939,571.691331,359.521972,336.414456,401.535656
Pta,2100,344.817188,292.300129,349.018555,517.073416,596.899614,538.080301,546.483057,739.746721,592.698233,365.824023,359.521972,296.501493
Pta,2160,290.199448,300.702856,342.716505,441.448679,477.16035,506.569975,506.569975,561.187883,540.18099,241.88379,277.59536,222.977671
Pta,2220,258.689232,227.179031,325.911043,416.240451,372.126074,397.334286,351.119238,477.16035,412.039081,227.179031,185.16545,269.192636
Pta,2280,269.192636,252.387191,269.192636,328.011725,334.313773,361.622655,292.300129,372.126074,317.508313,166.259347,216.675633,159.957314
Pta,2340,180.964093,201.970879,376.327442,344.817188,349.018555,275.494679,315.407631,334.313773,258.689232,193.568164,187.266129,122.145126
Pta,2400,168.360025,241.88379,262.890593,285.998085,351.119238,344.817188,298.602174,281.796722,256.588552,174.662059,176.762737,136.849864
Pta,2460,170.460703,222.977671,248.18583,311.206266,361.622655,246.08515,193.568164,304.90422,195.668843,132.64851,176.762737,170.460703
Pta,2520,157.856636,185.16545,269.192636,290.199448,222.977671,241.88379,170.460703,275.494679,187.266129,147.353249,124.245803,134.749187
