Name,Replicate,AUC
Pta,A1,4462246.45594529
Pta,A2,9948879.57377498
Pta,A3,6634652.69040705
Pta,A4,9574404.2949665
Pta,A5,12175605.4948648
Pta,A6,25987035.9352333
Pta,A7,30633717.6565872
Pta,A8,23384350.0332668
Pta,A9,13602612.7512541
Pta,A10,14648419.8910561
Pta,A11,24678413.3399714
Pta,A12,12128397.8270909
PtaDA,A1,396490.352651122
PtaDA,A2,756884.898605215
PtaDA,A3,435499.251598223
PtaDA,A4,268556.10843674
PtaDA,A5,487799.761387272
PtaDA,A6,1594670.60644942
PtaDA,A7,1612741.16286521
PtaDA,A8,1287674.87827104
PtaDA,A9,406058.904377558
PtaDA,A10,1225985.01323764
PtaDA,A11,386755.375661798
PtaDA,A12,282269.825509836
1297,A1,152995.481584053
1297,A2,164718.582757768
1297,A3,144776.648509847
1297,A4,141722.373862726
1297,A5,134699.278480987
1297,A6,135203.483039637
1297,A7,152959.77852945
1297,A8,137776.80742981
1297,A9,144261.416395565
1297,A10,146110.24592412
1297,A11,138403.239931974
1297,A12,127883.038392889
59,A1,181861.296595341
59,A2,145861.798445469
59,A3,144393.39662041
59,A4,131111.608995158
59,A5,128836.230444963
59,A6,134181.154801339
59,A7,147739.430476207
59,A8,155603.719132977
59,A9,221382.696443873
59,A10,129582.149291401
59,A11,126372.529446833
59,A12,114705.486339483
20,A1,164965.965738963
20,A2,147805.997788188
20,A3,141320.923191888
20,A4,174262.623421581
20,A5,146736.992134055
20,A6,155867.340143214
20,A7,145474.452704249
20,A8,177789.048509528
20,A9,151768.386962953
20,A10,171193.490436422
20,A11,134620.2087098
20,A12,146787.530757054
Pta_1297,A1,26039611.5096479
Pta_1297,A2,30666619.9312327
Pta_1297,A3,29386997.4952701
Pta_1297,A4,15794116.0233188
Pta_1297,A5,19044170.8806082
Pta_1297,A6,12280504.5648119
Pta_1297,A7,18129580.1473272
Pta_1297,A8,14743034.0497187
Pta_1297,A9,16013336.5257589
Pta_1297,A10,29267637.7777284
Pta_1297,A11,26936948.7428916
Pta_1297,A12,25866528.0812398
Pta_59,A1,19161458.0784122
Pta_59,A2,23055029.6810729
Pta_59,A3,14149061.3836926
Pta_59,A4,16529019.6499824
Pta_59,A5,11602543.4346383
Pta_59,A6,30555628.7462219
Pta_59,A7,22549248.2439478
Pta_59,A8,25166749.854627
Pta_59,A9,25768825.0575111
Pta_59,A10,23383169.7074266
Pta_59,A11,16171783.1186412
Pta_59,A12,31943279.7721273
Pta_20,A1,23300273.2832152
Pta_20,A2,14337594.9863719
Pta_20,A3,12657496.944092
Pta_20,A4,14931743.0422714
Pta_20,A5,13050412.3922225
Pta_20,A6,35321571.5858633
Pta_20,A7,10366880.5649928
Pta_20,A8,25570821.3097315
Pta_20,A9,30542716.0955168
Pta_20,A10,8068376.70283946
Pta_20,A11,27134720.7749964
Pta_20,A12,14996634.5058319
