Name,Replicate,AUC
Pta,A1,7297356.55666799
Pta,A2,13355155.3593527
Pta,A3,9576628.00788198
Pta,A4,6376527.46991649
Pta,A5,11563908.442508
Pta,A6,12189040.5629491
Pta,A7,12288818.4947884
Pta,A8,18930618.7169377
Pta,A9,16676191.5482305
Pta,A10,19362765.4722064
Pta,A11,18503753.0604003
Pta,A12,7379939.68984902
PtaDA,A1,191180.986169083
PtaDA,A2,193247.06321403
PtaDA,A3,204216.718369357
PtaDA,A4,165827.198586537
PtaDA,A5,180192.753151573
PtaDA,A6,211385.440522941
PtaDA,A7,168224.359747303
PtaDA,A8,163869.679435647
PtaDA,A9,169428.502224002
PtaDA,A10,150878.843939978
PtaDA,A11,164068.395726363
PtaDA,A12,178184.624414863
1nm,A1,21753897.8190734
1nm,A2,16111919.5803391
1nm,A3,24826953.2996868
1nm,A4,8055974.15305816
1nm,A5,18030784.7403988
1nm,A6,16111945.8706148
1nm,A7,13516656.1817284
1nm,A8,28440057.5493059
1nm,A9,17548798.9187729
1nm,A10,32938925.4613337
1nm,A11,13525113.9475242
1nm,A12,12052374.3014197
3nm,A1,20685985.8319152
3nm,A2,12492204.1248404
3nm,A3,22020006.3158473
3nm,A4,14308707.353937
3nm,A5,18247316.7230587
3nm,A6,5695778.95039361
3nm,A7,19865866.8286225
3nm,A8,10736527.7871735
3nm,A9,19704107.9974598
3nm,A10,16415618.6413461
3nm,A11,10324692.2909387
3nm,A12,14646081.9079737
5nm,A1,10545318.8801524
5nm,A2,17970793.6225175
5nm,A3,6748813.30165346
5nm,A4,15475322.9744017
5nm,A5,20204991.8991393
5nm,A6,46484315.0597947
5nm,A7,12711448.0146411
5nm,A8,26040661.3435478
5nm,A9,25334633.6696643
5nm,A10,35285870.8932371
5nm,A11,31611015.1652719
5nm,A12,28635191.074567
8nm,A1,27942586.6609501
8nm,A2,28572827.8096076
8nm,A3,18390064.6954024
8nm,A4,7911302.99170773
8nm,A5,10578331.2813046
8nm,A6,16232233.7332474
8nm,A7,15423579.1749381
8nm,A8,28170797.7394018
8nm,A9,18403301.3705031
8nm,A10,19414858.2607153
8nm,A11,14058039.3653087
8nm,A12,14358465.014476
10nm,A1,23473604.1357152
10nm,A2,18670955.4643483
10nm,A3,15032622.8942934
10nm,A4,22414486.4625625
10nm,A5,9485868.99241672
10nm,A6,8862009.03218614
10nm,A7,28261831.2079957
10nm,A8,14216441.8432844
10nm,A9,28965417.2408311
10nm,A10,5476258.73164278
10nm,A11,25710696.7944402
10nm,A12,20747452.1503163
20nm,A1,11043775.6829
20nm,A2,16347071.5236834
20nm,A3,11984844.3991605
20nm,A4,10552011.3773574
20nm,A5,8794707.19096632
20nm,A6,17761145.4306878
20nm,A7,25702402.1677346
20nm,A8,15838366.5801726
20nm,A9,23369145.2051192
20nm,A10,12781624.7991448
20nm,A11,16145993.9206049
20nm,A12,42764810.3820749
