Name,Time,N,measurement,sd,se,ci
10nm,0,12,233.481299583333,188.332468076958,54.3669005706892,119.660741356265
10nm,60,12,82.5823985833333,19.2495351959788,5.55686216358676,12.2305711587292
10nm,120,12,103.589169916667,51.2201299294588,14.7859779013503,32.543717938315
10nm,180,12,489.0650085,343.326465652095,99.10981368208,218.139229133705
10nm,240,12,1911.25028883333,989.943137600459,285.771968488024,628.979861812316
10nm,300,12,4435.16149075,1793.34915507163,517.695308715796,1139.43969193253
10nm,360,12,7479.50130316667,2887.96815925713,833.684597079086,1834.92742636805
10nm,420,12,10407.5570505,3959.88785324502,1143.12115901587,2515.99270718068
10nm,480,12,12901.34417775,4875.07109942144,1407.31180578477,3097.47240015404
10nm,540,12,14830.5443340833,5665.60795266566,1635.5201382972,3599.75555342317
10nm,600,12,16097.5639954167,6146.42495685691,1774.32005169759,3905.25210303942
10nm,660,12,16801.481527,6492.60859198348,1874.25465916227,4125.20669104877
10nm,720,12,17228.3920690833,6738.72740704296,1945.30304122588,4281.5831256193
10nm,780,12,17029.8383925833,6829.81469961744,1971.5976776697,4339.45723022214
10nm,840,12,16869.6258993333,6854.83203489108,1978.81956029702,4355.3524867128
10nm,900,12,16302.8196598333,6663.37789959648,1923.55151202212,4233.70833263251
10nm,960,12,15574.7712299167,6649.91327180012,1919.66460878073,4225.15331627951
10nm,1020,12,14767.7494779167,6471.74666135534,1868.23233853029,4111.95165270846
10nm,1080,12,14017.9869109167,6230.76239030715,1798.66617165022,3958.83755176097
10nm,1140,12,12970.75350275,5937.01463158406,1713.8684978639,3772.19913014699
10nm,1200,12,12073.7694341667,5766.39039992613,1664.61352482491,3663.78966542747
10nm,1260,12,10998.0139663333,5271.09155073579,1521.63306287024,3349.09179048218
10nm,1320,12,10033.9884235,4916.45211827424,1419.25747697177,3123.76464516397
10nm,1380,12,9024.45893175,4590.15124182843,1325.06252754537,2916.44295932088
10nm,1440,12,7901.84432358333,4228.3074485363,1220.60722181447,2686.53838151432
10nm,1500,12,7037.131122,3848.26841900842,1110.89940381422,2445.07310214975
10nm,1560,12,6091.369201,3396.88864459704,980.597286682643,2158.28007601462
10nm,1620,12,5235.26211333333,3054.77477557032,881.837519494602,1940.91129401964
10nm,1680,12,4491.90866116667,2671.58950669549,771.221460427409,1697.44698954493
10nm,1740,12,3803.00924058333,2253.26496552483,650.461567200656,1431.65625661859
10nm,1800,12,3237.72011733333,2078.35721028828,599.97004741607,1320.52517086225
10nm,1860,12,2763.116901,1839.91673250366,531.138210398743,1169.02731904526
10nm,1920,12,2316.1765665,1562.36652215152,451.016366068519,992.680328675269
10nm,1980,12,1931.21281,1357.08712927958,391.757309701671,862.252025010803
10nm,2040,12,1618.72633341667,1138.36035911597,328.616329885201,723.279665441106
10nm,2100,12,1378.01676908333,965.288138356786,278.654683262922,613.314822651726
10nm,2160,12,1173.02032775,781.659274747864,225.645596345124,496.642608995645
10nm,2220,12,965.399332583333,634.495558798929,183.163090836092,403.139244806755
10nm,2280,12,835.505667083333,583.313365113675,168.388064185143,370.619630408059
