Name,Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
Pta,0,1130.477048,538.080301,311.206266,275.494679,204.071558,174.662059,185.16545,164.158669,143.151895,126.34648,80.131608,103.23904
Pta,60,73.829583,73.829583,94.836337,57.024184,80.131608,61.225534,80.131608,84.332959,67.527558,67.527558,59.124859,101.138364
Pta,120,80.131608,113.742421,92.735661,57.024184,65.426883,78.030933,136.849864,189.366807,67.527558,40.21879,50.722161,84.332959
Pta,180,101.138364,550.684436,164.158669,149.453926,233.48107,172.561381,542.281679,1206.102522,239.783109,115.843097,130.547833,128.447156
Pta,240,365.824023,1830.015768,653.618284,441.448679,1023.341098,1117.87281,1798.504866,3477.005132,1340.548008,628.409981,599.000305,559.087193
Pta,300,1063.254472,3561.03623,2067.398348,1052.75095,2685.016937,3103.067955,4298.413402,7082.02902,3985.394803,2271.169871,2138.823351,1479.195184
Pta,360,2105.211576,5676.55204,3485.408237,2344.695822,4613.534197,5884.535661,7626.159898,10342.675145,7508.509624,4827.81714,4094.636035,2649.30415
Pta,420,2888.79024,8155.588555,5243.780001,3237.517049,6502.187598,8334.166576,10531.763618,13147.539386,10603.197173,7829.947444,6626.138806,4037.914605
Pta,480,4157.6599,9989.711347,6382.438331,4212.280629,8838.389304,10384.694762,12529.829392,15694.074305,13055.092649,11170.466201,9493.884227,4687.062584
Pta,540,5140.839469,11706.224462,7378.254191,5376.132333,9800.624324,11607.476555,13078.204322,16887.531475,15296.9601,14292.62831,12061.29786,5621.93018
Pta,600,6008.485787,12620.174395,8403.496988,5789.997575,11729.335694,12884.906927,14380.874465,18001.162848,16467.297779,16452.589645,13744.243961,6853.033108
Pta,660,6453.867694,13139.135132,8895.114586,6037.897713,11464.607488,12968.949208,14412.390975,17694.387172,16820.293916,18238.59973,16040.763132,7058.919307
Pta,720,6811.015589,13502.620023,8836.288369,6147.142117,11809.174553,13109.720252,13674.908312,17978.049566,16471.500104,18234.3973,17456.952118,7544.224865
Pta,780,6575.71795,12847.087933,9067.391648,6334.118509,11958.347401,12897.513262,12731.530021,17898.20374,16845.507993,19068.584477,17854.078454,7796.332963
Pta,840,6783.704216,12826.077389,8722.837945,5945.460272,11296.526603,12441.585548,12223.077455,17919.215791,16278.193431,18688.261143,17799.447185,8077.854734
Pta,900,6464.372018,12334.432456,8329.964735,5907.64499,11036.00202,11893.215556,11063.315036,17057.726832,15433.533517,18671.451319,17303.565294,7684.985108
Pta,960,6537.90233,11931.034039,7861.461034,5374.031501,10327.968285,10510.753763,9783.816613,16255.080712,14511.142799,18013.770096,17234.226154,6964.379651
Pta,1020,6350.9254,10769.175417,7172.367061,5109.327091,9977.10553,9540.105253,8474.928392,15301.162355,13874.511122,17036.715037,16343.329316,6615.634458
Pta,1080,5762.686596,10174.596926,7025.305193,4626.139058,8886.710838,9006.464346,8065.249258,14727.556853,12594.961824,16154.225299,15601.624238,5983.275574
Pta,1140,5777.392507,9065.290705,6426.556458,4384.54628,8359.377627,8025.331931,6951.774373,12716.822664,12000.367978,15639.444705,14857.825826,5579.913393
Pta,1200,5037.899087,8084.157473,6021.090897,3970.689265,7455.987243,7000.094618,5829.913641,11794.467388,10920.447068,14319.942584,13689.615868,4636.64311
Pta,1260,4850.926123,7277.41144,5561.005848,3477.005132,6670.257086,6103.024165,5071.512256,10321.665345,9781.715649,12956.342859,12918.523827,4048.41857
Pta,1320,4258.498201,6693.366672,4955.967053,3132.478673,5903.443293,5703.862985,4422.360747,9180.842625,8888.811775,11407.880145,11607.476555,3315.245549
Pta,1380,4092.535241,5691.257932,4466.477651,2897.193275,4863.531027,4615.635007,3695.486195,7798.433867,7712.29683,10447.724234,10359.482988,3161.889403
Pta,1440,3210.207057,4871.934297,4050.519363,2485.445714,4472.780068,4019.007472,3132.478673,6768.998096,6556.810137,8958.142731,9101.006733,2449.733029
Pta,1500,3082.060307,4443.368793,3548.431559,2220.75212,3808.928552,3443.39272,2649.30415,5613.526821,5428.653169,8004.32282,8002.221909,2250.16247
Pta,1560,2666.110165,3815.230911,3416.082648,1909.843449,3006.432827,2853.077351,2302.680983,4926.555577,4493.788129,6705.971903,6861.436614,1884.634698
Pta,1620,2126.218933,3224.912436,3044.246557,1693.468627,2470.740488,2447.632283,1993.872685,4092.535241,3836.238776,5687.056248,6138.738696,1546.418155
Pta,1680,2019.081475,2781.651626,2548.468145,1498.101638,2130.420406,2050.592475,1651.454175,3441.291945,3136.680205,4855.127758,5042.100732,1252.318129
Pta,1740,1426.677282,2224.953598,2210.248426,1147.282702,1766.993978,1590.533264,1390.965132,2909.79783,2571.576383,3926.57267,4350.933437,1155.68553
Pta,1800,1365.756565,1924.548558,1819.512132,1038.046023,1403.569418,1365.756565,1264.92239,2275.371352,2143.024824,3161.889403,3621.958839,886.795516
Pta,1860,1172.49119,1426.677282,1586.331824,979.226343,1227.109612,1155.68553,1021.240395,2122.017461,1575.828225,2764.845583,3163.990169,806.968989
Pta,1920,918.306011,1319.540884,1372.058706,977.125641,1025.441801,865.788526,899.399712,1689.267181,1374.15942,2134.621878,2571.576383,649.4169
Pta,1980,890.996914,1166.189067,1176.692605,796.465506,867.889225,806.968989,811.170383,1437.18086,964.52143,1743.886002,1979.167561,641.014131
Pta,2040,626.309289,876.29202,985.528449,712.437693,727.142553,628.409981,670.423825,1189.296854,823.774566,1508.605226,1640.950566,496.066536
Pta,2100,535.979612,659.920361,882.594117,685.128676,651.517592,605.302377,691.430756,987.629151,792.264113,1401.468703,1418.274422,412.039081
Pta,2160,500.267912,643.114823,754.451587,485.563099,540.18099,512.872039,609.503759,884.694816,638.913439,1035.945319,1119.973516,439.347993
Pta,2220,365.824023,611.60445,756.552282,510.771351,451.95211,384.730179,548.583746,691.430756,437.247307,788.06272,924.608112,376.327442
Pta,2280,330.112408,519.174104,609.503759,382.629495,409.938396,397.334286,510.771351,617.906524,346.917872,622.107906,869.989924,414.139766
Pta,2340,307.004902,430.94525,477.16035,334.313773,296.501493,359.521972,435.146621,458.254169,317.508313,552.785125,722.941164,290.199448
Pta,2400,235.58175,349.018555,458.254169,399.434971,279.696041,323.81036,395.233602,420.441822,277.59536,479.261037,586.396162,319.608995
Pta,2460,300.702856,325.911043,430.94525,304.90422,288.098766,300.702856,332.213091,391.032233,283.897404,367.924707,506.569975,288.098766
Pta,2520,159.957314,344.817188,380.528811,298.602174,246.08515,250.28651,307.004902,357.421288,285.998085,283.897404,355.320605,296.501493
Pta,2580,210.373595,380.528811,285.998085,204.071558,157.856636,260.789913,330.112408,309.105584,170.460703,231.38039,269.192636,279.696041
Pta,2640,191.467486,262.890593,334.313773,241.88379,218.776312,216.675633,304.90422,252.387191,164.158669,220.876992,290.199448,243.98447
Pta,2700,193.568164,277.59536,231.38039,191.467486,128.447156,187.266129,235.58175,189.366807,115.843097,180.964093,204.071558,206.172237
Pta,2760,134.749187,277.59536,197.769522,195.668843,138.950541,220.876992,277.59536,201.970879,124.245803,162.057992,201.970879,248.18583
Pta,2820,134.749187,174.662059,235.58175,170.460703,151.554604,174.662059,225.078351,189.366807,94.836337,128.447156,153.655281,225.078351
Pta,2880,149.453926,256.588552,250.28651,136.849864,113.742421,134.749187,225.078351,183.064772,101.138364,126.34648,107.440392,151.554604
Pta,2940,126.34648,227.179031,204.071558,151.554604,141.051218,124.245803,201.970879,147.353249,86.433635,82.232284,170.460703,136.849864
PtaDA,0,987.629151,594.798924,437.247307,258.689232,290.199448,132.64851,201.970879,157.856636,168.360025,164.158669,82.232284,122.145126
PtaDA,60,86.433635,109.541068,73.829583,86.433635,78.030933,94.836337,71.728908,75.930258,61.225534,82.232284,75.930258,75.930258
PtaDA,120,71.728908,67.527558,69.628233,59.124859,57.024184,59.124859,54.92351,57.024184,42.319464,44.420138,63.326208,78.030933
PtaDA,180,46.520812,46.520812,57.024184,61.225534,61.225534,59.124859,46.520812,52.822835,65.426883,92.735661,69.628233,86.433635
PtaDA,240,61.225534,48.621486,65.426883,48.621486,71.728908,86.433635,50.722161,63.326208,50.722161,54.92351,59.124859,86.433635
PtaDA,300,63.326208,59.124859,52.822835,42.319464,69.628233,59.124859,27.614746,61.225534,48.621486,42.319464,59.124859,54.92351
PtaDA,360,38.118115,59.124859,54.92351,42.319464,38.118115,57.024184,46.520812,48.621486,44.420138,46.520812,59.124859,71.728908
PtaDA,420,40.21879,31.816094,65.426883,31.816094,48.621486,38.118115,67.527558,63.326208,69.628233,46.520812,65.426883,65.426883
PtaDA,480,42.319464,48.621486,75.930258,52.822835,71.728908,80.131608,38.118115,52.822835,29.71542,50.722161,31.816094,57.024184
PtaDA,540,59.124859,44.420138,48.621486,54.92351,73.829583,48.621486,48.621486,73.829583,52.822835,36.017441,57.024184,65.426883
PtaDA,600,48.621486,46.520812,52.822835,59.124859,61.225534,40.21879,48.621486,71.728908,63.326208,61.225534,42.319464,78.030933
PtaDA,660,54.92351,57.024184,40.21879,78.030933,48.621486,52.822835,61.225534,57.024184,44.420138,50.722161,71.728908,65.426883
PtaDA,720,57.024184,59.124859,44.420138,65.426883,67.527558,99.037688,44.420138,44.420138,59.124859,38.118115,54.92351,57.024184
PtaDA,780,82.232284,61.225534,50.722161,52.822835,65.426883,86.433635,44.420138,61.225534,59.124859,46.520812,38.118115,50.722161
PtaDA,840,44.420138,54.92351,84.332959,38.118115,61.225534,59.124859,44.420138,54.92351,78.030933,40.21879,29.71542,54.92351
PtaDA,900,40.21879,75.930258,48.621486,50.722161,78.030933,67.527558,48.621486,67.527558,44.420138,54.92351,46.520812,57.024184
PtaDA,960,33.916768,63.326208,46.520812,52.822835,65.426883,75.930258,67.527558,46.520812,69.628233,44.420138,36.017441,54.92351
PtaDA,1020,38.118115,61.225534,82.232284,61.225534,52.822835,103.23904,44.420138,65.426883,84.332959,57.024184,48.621486,73.829583
PtaDA,1080,50.722161,65.426883,69.628233,42.319464,107.440392,92.735661,57.024184,67.527558,65.426883,63.326208,52.822835,57.024184
PtaDA,1140,52.822835,67.527558,57.024184,54.92351,59.124859,71.728908,57.024184,50.722161,50.722161,40.21879,48.621486,63.326208
PtaDA,1200,59.124859,71.728908,42.319464,61.225534,61.225534,99.037688,44.420138,65.426883,120.04445,59.124859,48.621486,69.628233
PtaDA,1260,38.118115,61.225534,42.319464,38.118115,63.326208,71.728908,38.118115,44.420138,50.722161,48.621486,38.118115,57.024184
PtaDA,1320,50.722161,50.722161,50.722161,69.628233,61.225534,63.326208,63.326208,46.520812,44.420138,33.916768,44.420138,65.426883
PtaDA,1380,40.21879,69.628233,57.024184,61.225534,52.822835,75.930258,86.433635,54.92351,44.420138,65.426883,33.916768,42.319464
PtaDA,1440,46.520812,54.92351,80.131608,52.822835,61.225534,90.634986,42.319464,48.621486,29.71542,46.520812,59.124859,61.225534
PtaDA,1500,52.822835,71.728908,82.232284,40.21879,40.21879,63.326208,69.628233,48.621486,44.420138,50.722161,65.426883,69.628233
PtaDA,1560,75.930258,54.92351,78.030933,63.326208,63.326208,78.030933,67.527558,63.326208,75.930258,36.017441,71.728908,63.326208
PtaDA,1620,52.822835,63.326208,90.634986,54.92351,48.621486,63.326208,46.520812,48.621486,42.319464,48.621486,33.916768,40.21879
PtaDA,1680,50.722161,57.024184,57.024184,67.527558,44.420138,65.426883,82.232284,54.92351,40.21879,48.621486,57.024184,40.21879
PtaDA,1740,42.319464,67.527558,82.232284,54.92351,44.420138,63.326208,73.829583,38.118115,63.326208,38.118115,40.21879,61.225534
PtaDA,1800,69.628233,65.426883,78.030933,59.124859,44.420138,61.225534,59.124859,67.527558,44.420138,54.92351,50.722161,42.319464
PtaDA,1860,65.426883,84.332959,86.433635,52.822835,57.024184,69.628233,48.621486,57.024184,65.426883,61.225534,54.92351,50.722161
PtaDA,1920,40.21879,44.420138,69.628233,63.326208,54.92351,57.024184,33.916768,44.420138,44.420138,54.92351,48.621486,65.426883
PtaDA,1980,69.628233,54.92351,80.131608,63.326208,38.118115,86.433635,69.628233,54.92351,54.92351,40.21879,40.21879,46.520812
PtaDA,2040,40.21879,46.520812,105.339716,36.017441,50.722161,67.527558,52.822835,50.722161,50.722161,38.118115,52.822835,46.520812
PtaDA,2100,42.319464,36.017441,54.92351,50.722161,80.131608,86.433635,73.829583,29.71542,40.21879,40.21879,57.024184,38.118115
PtaDA,2160,57.024184,63.326208,75.930258,46.520812,46.520812,65.426883,61.225534,38.118115,69.628233,48.621486,61.225534,38.118115
PtaDA,2220,40.21879,50.722161,61.225534,57.024184,52.822835,44.420138,52.822835,50.722161,46.520812,69.628233,65.426883,42.319464
PtaDA,2280,44.420138,59.124859,78.030933,46.520812,63.326208,63.326208,50.722161,44.420138,36.017441,46.520812,54.92351,82.232284
PtaDA,2340,46.520812,61.225534,48.621486,44.420138,59.124859,67.527558,67.527558,50.722161,57.024184,46.520812,52.822835,57.024184
PtaDA,2400,54.92351,57.024184,80.131608,52.822835,63.326208,57.024184,59.124859,65.426883,67.527558,33.916768,82.232284,42.319464
