Name,Replicate,AUC
Pta,A1,23435237.0160917
Pta,A2,34187530.3816444
Pta,A3,9537562.90215452
Pta,A4,29725495.1766881
Pta,A5,9247098.20608322
Pta,A6,10416681.261901
Pta,A7,19562432.4057832
Pta,A8,43460029.2992148
Pta,A9,35130197.8413095
Pta,A10,38862697.9976177
Pta,A11,24023636.1095711
Pta,A12,40331280.7614997
PtaDA,A1,200371.647356082
PtaDA,A2,779645.842428308
PtaDA,A3,614044.959949991
PtaDA,A4,1090545.21917869
PtaDA,A5,1031140.72518095
PtaDA,A6,1046604.25645294
PtaDA,A7,494801.018043051
PtaDA,A8,2208995.48897958
PtaDA,A9,1373264.07577559
PtaDA,A10,1333154.60880405
PtaDA,A11,653789.823367047
PtaDA,A12,438575.375270381
1186,A1,221754.771919869
1186,A2,498328.973611948
1186,A3,279094.898191352
1186,A4,283550.981354604
1186,A5,359553.534472502
1186,A6,510253.242824994
1186,A7,336308.698905714
1186,A8,216108.600197184
1186,A9,428436.676496078
1186,A10,351370.95725293
1186,A11,482630.216933829
1186,A12,212581.833304016
1042,A1,3986753.15340897
1042,A2,21829841.6575424
1042,A3,6114715.54309476
1042,A4,17133898.366059
1042,A5,3184544.9383353
1042,A6,3005068.25425048
1042,A7,15802593.7758122
1042,A8,13465524.846641
1042,A9,6815776.99598634
1042,A10,1676151.33026939
1042,A11,11070451.550666
1042,A12,7091908.74245304
1943,A1,6677349.55530488
1943,A2,20612736.3048037
1943,A3,10150138.2516805
1943,A4,6679023.89154785
1943,A5,1729594.43880263
1943,A6,14106490.2021814
1943,A7,12622859.65401
1943,A8,10683381.032673
1943,A9,10473022.1156057
1943,A10,3648542.0940301
1943,A11,13681513.3493648
1943,A12,8749196.08244305
306,A1,163513.546331293
306,A2,141883.041563735
306,A3,133563.275879679
306,A4,122593.838664293
306,A5,122341.40329419
306,A6,133001.202489781
306,A7,125240.165550339
306,A8,129768.111736521
306,A9,137526.00728662
306,A10,134868.022008537
306,A11,156319.453838029
306,A12,130788.99190172
255,A1,149014.757345081
255,A2,138796.885392812
255,A3,141447.864269698
255,A4,130032.453561206
255,A5,136325.288979284
255,A6,130284.099710614
255,A7,161537.634324144
255,A8,127762.727672619
255,A9,143831.220198412
255,A10,146281.002077712
255,A11,128456.884448004
255,A12,131791.623492795
1635,A1,2502639.76218888
1635,A2,1017533.21231248
1635,A3,17077531.2823675
1635,A4,3868339.47544748
1635,A5,6939424.02986624
1635,A6,9852073.77155978
1635,A7,2714795.40139101
1635,A8,8817914.19703851
1635,A9,5549261.77452738
1635,A10,3686353.62763764
1635,A11,13871840.9133716
1635,A12,3903371.06496669
