Name,Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
Pta,0,1023.341098,527.576858,243.98447,252.387191,132.64851,132.64851,172.561381,115.843097,103.23904,143.151895,82.232284,44.420138
Pta,60,75.930258,44.420138,48.621486,71.728908,84.332959,44.420138,80.131608,103.23904,48.621486,71.728908,44.420138,36.017441
Pta,120,374.226758,115.843097,38.118115,120.04445,59.124859,122.145126,773.357847,96.937013,101.138364,122.145126,157.856636,159.957314
Pta,180,2937.107707,1869.929597,180.964093,2075.801286,199.8702,470.858289,3514.819114,2640.901144,2414.020361,2248.06173,1346.850147,2783.752381
Pta,240,7193.375925,6065.208798,720.84047,8279.542663,876.29202,1863.627412,7086.230787,11586.46638,9151.429391,9924.581315,4600.929338,9218.659657
Pta,300,11817.578649,11420.486217,1678.763566,13710.626668,1844.72086,3760.610489,9397.240363,19984.730851,15402.016551,16589.165294,7903.479176,15990.33556
Pta,360,16124.809164,15668.860638,2916.100109,17639.756027,2745.938791,5014.790042,11720.931608,26307.725261,20413.390571,21054.283725,11256.607451,21298.034777
Pta,420,18211.283942,19877.566327,3754.308135,20596.202124,3949.681359,6605.130112,13378.656758,29197.284486,24233.619912,24796.795489,14038.395957,25946.27598
Pta,480,20564.682857,23031.63331,4624.038248,22300.364746,4428.66316,7418.171153,13450.093189,31920.933504,26969.686583,26103.884451,15826.446202,27961.589435
Pta,540,21237.096935,24769.477167,5340.418187,22718.531763,5353.023178,8435.010834,14019.486149,32614.472002,27978.401468,27848.108319,17633.452436,30050.515101
Pta,600,21132.031814,25935.768761,6042.099418,23237.566627,5985.376425,8304.753694,14393.481067,34079.331732,27824.991818,29123.730605,17864.584472,30968.90537
Pta,660,20837.850305,27215.55951,6426.556458,23037.937383,6655.55099,8405.59791,14431.300888,33560.21728,28718.134862,28631.972336,18702.969742,30937.381479
Pta,720,20360.858603,27612.74066,6708.072776,22955.984487,7308.924785,8872.004281,14206.483361,33020.090095,28579.434262,28146.522015,18639.93291,31975.575684
Pta,780,19833.439806,26896.135019,6903.454162,22054.50891,7434.978302,8939.234281,13641.291052,32276.10843,27265.995088,27619.04514,18415.102,31359.802788
Pta,840,19165.241562,26807.873243,7285.814997,21644.751083,7395.06133,8785.865936,13706.424507,31843.173551,26274.101994,27160.921008,18457.126415,30241.757858
Pta,900,18247.00459,26320.33399,7142.954663,20676.050997,7371.951515,8611.488631,13275.704381,30844.911479,25349.46842,27360.561894,17669.172792,29357.001749
Pta,960,17585.124924,25120.413335,7382.455975,21024.865551,6792.107714,8399.295143,12407.968874,29251.924562,24897.66323,25946.27598,17637.65483,28386.094484
Pta,1020,16549.243154,23960.439345,7086.230787,20360.858603,6668.156215,7943.396435,11668.406098,28005.72103,23233.363901,25242.295765,16658.503801,27858.615823
Pta,1080,14756.972407,22665.998083,6403.44696,18986.636182,6548.406667,7561.032043,11731.436715,26301.420897,22899.247923,24935.48867,15731.894821,26030.333787
Pta,1140,14280.021726,21808.653929,6739.585866,18200.777872,5903.443293,6960.177892,11042.305022,25851.711066,21264.413892,22895.045217,14866.230284,25025.849525
Pta,1200,12725.226868,20442.80849,6327.815926,17547.303416,5680.753723,6361.429709,10569.581373,23697.766717,19980.528318,23298.506193,14416.593178,23958.33796
Pta,1260,11815.477625,19572.883765,5363.527339,16389.554819,5334.115693,5884.535661,9878.360039,23096.775417,19400.581103,21451.430266,13473.204991,22321.378105
Pta,1320,10664.12585,17736.411159,5523.190771,15712.98456,5117.73039,5405.543996,9573.720563,21031.169444,17595.630902,19724.174252,12643.285925,21251.806064
