Name,Replicate,AUC
mock+Pta22,A1,18385678.402303
mock+Pta22,A2,16493019.5235469
mock+Pta22,A3,16709019.3586625
mock+Pta22,A4,15306534.2554387
mock+Pta22,A5,22566702.5526786
mock+Pta22,A6,24671641.2606494
mock+Pta22,A7,15311356.505626
mock+Pta22,A8,17880941.1443417
mock+Pta22,A9,15686945.9756689
mock+Pta22,A10,16412723.9995713
mock+Pta22,A11,16249497.1673676
mock+Pta22,A12,18859219.298337
Pa20+Pta22,A1,20062017.5908267
Pa20+Pta22,A2,14048442.2449068
Pa20+Pta22,A3,17979570.7521209
Pa20+Pta22,A4,16833390.4516906
Pa20+Pta22,A5,20377602.5992031
Pa20+Pta22,A6,17363125.5671139
Pa20+Pta22,A7,16398743.4478284
Pa20+Pta22,A8,13208690.2841009
Pa20+Pta22,A9,16761943.5254354
Pa20+Pta22,A10,16397319.7144319
Pa20+Pta22,A11,17457915.7499038
Pa20+Pta22,A12,15288225.7682914
PvBV+Pta22,A1,21818421.9643469
PvBV+Pta22,A2,14394300.1795916
PvBV+Pta22,A3,14744716.0735995
PvBV+Pta22,A4,15383916.7594939
PvBV+Pta22,A5,18030931.9478023
PvBV+Pta22,A6,17799415.6419151
PvBV+Pta22,A7,17971725.6805918
PvBV+Pta22,A8,15671027.1094986
PvBV+Pta22,A9,22818138.0447228
PvBV+Pta22,A10,18304141.9962472
PvBV+Pta22,A11,18037872.2085671
PvBV+Pta22,A12,16513943.2616661
PvB+Pta22,A1,18309681.2575678
PvB+Pta22,A2,18554664.8977615
PvB+Pta22,A3,15903210.3374933
PvB+Pta22,A4,20838393.2602866
PvB+Pta22,A5,23308669.4651859
PvB+Pta22,A6,23890313.2280884
PvB+Pta22,A7,24209905.7360573
PvB+Pta22,A8,22079628.8386752
PvB+Pta22,A9,15109521.1092032
PvB+Pta22,A10,24092144.3642091
PvB+Pta22,A11,21753983.0617513
PvB+Pta22,A12,19151054.669052
PvA+Pta22,A1,14130827.5879341
PvA+Pta22,A2,14715653.4215759
PvA+Pta22,A3,13862743.6068504
PvA+Pta22,A4,16717434.2741521
PvA+Pta22,A5,15759404.8343051
PvA+Pta22,A6,14627682.132984
PvA+Pta22,A7,14780917.7580091
PvA+Pta22,A8,15894670.9158123
PvA+Pta22,A9,17084929.4755673
PvA+Pta22,A10,15764900.1735437
PvA+Pta22,A11,14800442.4734582
PvA+Pta22,A12,14930056.4824725
mock+PvB,A1,12261965.0938015
mock+PvB,A2,12167690.673353
mock+PvB,A3,12289015.2900996
mock+PvB,A4,12263364.8333939
mock+PvB,A5,12279207.8872706
mock+PvB,A6,12337519.0178291
mock+PvB,A7,12277244.7841662
mock+PvB,A8,12308603.3129747
mock+PvB,A9,12546295.4906417
mock+PvB,A10,12814577.1844053
mock+PvB,A11,12916502.8050234
mock+PvB,A12,12923318.6230279
mock+PvA,A1,12375169.0298282
mock+PvA,A2,12355267.2416076
mock+PvA,A3,12242610.0279353
mock+PvA,A4,12195505.7825742
mock+PvA,A5,12256790.8327243
mock+PvA,A6,12317665.7406658
mock+PvA,A7,12337608.6172721
mock+PvA,A8,12441237.3199465
mock+PvA,A9,12508822.5561897
mock+PvA,A10,12804540.3372792
mock+PvA,A11,12901396.6303989
mock+PvA,A12,13062470.2379242
1949+Pta22,A1,26409790.7302891
1949+Pta22,A2,17500875.9717107
1949+Pta22,A3,15886694.7425602
1949+Pta22,A4,13416734.016548
1949+Pta22,A5,15396969.6361776
1949+Pta22,A6,14556047.6408676
1949+Pta22,A7,35331226.9548848
1949+Pta22,A8,23949039.8005335
1949+Pta22,A9,30938740.4367283
1949+Pta22,A10,26236069.7643794
1949+Pta22,A11,19769930.2821017
1949+Pta22,A12,16529899.76246
