Name,Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
Mock+Pta22,0,916.991251,553.191406,493.747145,415.280787,227.437394,217.926348,177.504414,170.371134,196.526498,151.349056,144.215778,118.060431
Mock+Pta22,60,108.549398,125.193707,58.616493,106.17164,75.260791,70.505277,60.994249,94.282851,56.238736,91.905093,108.549398,129.949224
Mock+Pta22,120,68.12752,39.594442,146.593538,160.860094,127.571466,51.483223,58.616493,56.238736,96.660608,84.77182,70.505277,213.170825
Mock+Pta22,180,70.505277,94.282851,122.815948,229.815155,629.280126,51.483223,179.882174,80.016306,129.949224,87.149578,49.105467,576.969124
Mock+Pta22,240,41.972198,108.549398,239.326203,343.947801,1953.710991,49.105467,370.103221,110.927156,153.726816,63.372006,60.994249,1677.885162
Mock+Pta22,300,65.749763,291.636985,455.70284,636.413447,4127.061561,106.17164,907.480123,163.237854,448.569535,87.149578,37.216686,3634.842421
Mock+Pta22,360,120.43819,550.813635,783.83556,1014.480379,6281.447623,175.126654,1413.949267,301.14804,726.768904,137.082501,63.372006,5988.961345
Mock+Pta22,420,179.882174,745.791118,1451.994027,1732.57469,8909.1162,420.036321,1963.222244,467.591683,1216.592365,329.681211,80.016306,8347.905529
Mock+Pta22,480,324.925682,1016.858164,2324.650674,2483.965041,10925.702274,786.213339,2667.058062,679.213388,1834.820431,629.280126,122.815948,10152.830143
Mock+Pta22,540,429.547391,1354.504366,3035.623207,2990.444163,12376.343965,1287.926129,3166.404796,971.680259,2510.121161,1482.905408,194.148737,11634.373127
Mock+Pta22,600,574.591352,1727.819078,4162.729732,4528.923876,13643.893396,2429.274999,4060.481017,1207.081201,3278.163777,2210.515204,291.636985,12466.712679
Mock+Pta22,660,809.991125,2319.895027,5465.817821,5263.695103,14071.963405,3347.121524,4526.545987,1461.50522,3684.777558,3309.075863,401.014184,12167.069443
Mock+Pta22,720,800.48001,2676.569399,6471.683175,6100.724268,14397.773779,4488.499765,4835.672209,1780.130832,4614.527944,4295.891045,624.524579,12236.03485
Mock+Pta22,780,771.94667,3028.489672,7532.254665,7384.820119,14079.097924,6041.275885,5368.32327,2017.911967,5018.770611,5501.486589,926.50238,11451.259587
Mock+Pta22,840,838.524478,3323.342984,9277.710095,7884.196292,13915.004135,7016.234942,5527.643696,2593.345237,5263.695103,6695.210527,1092.947325,10530.942038
Mock+Pta22,900,726.768904,3180.671891,9812.76877,8804.483403,13080.271377,7912.732168,5537.155373,2771.682834,5444.416568,8297.967482,1311.704064,9156.430626
Mock+Pta22,960,695.857815,3339.987961,10205.147406,9360.94121,12228.900495,8136.263544,5998.473077,3078.424431,5532.399534,9467.95277,1635.084687,7582.192234
Mock+Pta22,1020,641.168995,3492.170773,10735.456134,9658.195897,10547.588515,8647.534465,6112.61395,3496.92649,5879.576507,10549.966583,2008.400708,6521.620083
Mock+Pta22,1080,527.035926,3663.376781,10445.331641,9477.464915,9574.964473,9158.808653,5774.947672,3278.163777,5513.376182,11548.76155,2208.137384,5867.68686
Mock+Pta22,1140,370.103221,3142.626309,10549.966583,9796.122447,8721.252868,9627.281358,6069.811104,3363.766507,5261.317192,12878.129426,2664.680228,4612.150052
Mock+Pta22,1200,334.436741,3030.867517,9991.122457,9589.232711,7529.876686,9629.659399,5491.974916,3551.617262,5358.811613,12790.138383,2669.435896,3796.537263
Mock+Pta22,1260,310.659096,2769.304997,9862.707763,8932.8964,6600.092428,9251.551763,5446.794485,3513.571504,4838.050107,12618.912847,2676.569399,3135.492765
Mock+Pta22,1320,210.793064,2481.587212,9206.369209,8580.95016,5280.340484,8837.775642,5109.131016,3565.884426,4300.64681,11800.840345,2688.458573,2774.060671
Mock+Pta22,1380,232.192917,2407.874558,8723.630882,8514.365911,4305.402576,7850.904451,4538.435435,3378.033637,3929.697967,10661.735876,2769.304997,2055.957014
Mock+Pta22,1440,201.28202,2017.911967,7957.913991,7365.796326,3592.0409,7582.192234,4333.937175,3171.160494,3770.380723,9475.086879,2678.947234,1739.70811
Mock+Pta22,1500,139.46026,1725.441271,6825.998096,6778.438955,3033.245362,6645.273511,3979.633288,3021.356138,3090.313664,8473.939786,2415.008037,1501.927802
Mock+Pta22,1560,122.815948,1627.951277,6153.038882,5851.041357,2312.761555,6027.00828,3630.086695,2783.572021,3152.137703,7356.284432,2412.630211,1192.814458
Mock+Pta22,1620,132.326983,1385.415709,5318.387082,5449.172402,1796.775489,5042.549655,3183.04974,2419.763691,2579.078246,6359.919734,2281.849854,983.569179
Mock+Pta22,1680,106.17164,1085.813963,4885.608095,4764.335282,1554.239409,4400.517946,2662.302394,2044.067935,2260.449452,5301.741693,1958.466617,838.524478
Mock+Pta22,1740,77.638548,802.857788,3941.587327,4191.26428,1019.235949,3808.426603,2453.053273,2077.357361,1941.821927,4303.024693,1846.709479,631.6579
Mock+Pta22,1800,82.394063,738.657787,3313.83157,3489.792914,978.813611,3218.717491,2277.094209,1789.642064,1849.087289,3618.197382,1592.284236,615.013486
Mock+Pta22,1860,70.505277,660.191189,2857.285022,2926.242406,736.28001,2607.61223,2048.823566,1720.685659,1689.774186,3054.64597,1285.548335,603.124621
Mock+Pta22,1920,58.616493,479.480528,2802.594725,2545.788611,550.813635,2355.562392,1720.685659,1509.061201,1233.236904,2329.406323,1062.036095,479.480528
Mock+Pta22,1980,39.594442,510.391533,2139.180618,2139.180618,320.170153,1918.043804,1575.639622,1192.814458,993.080316,2229.537771,909.857905,384.369818
Mock+Pta22,2040,63.372006,431.925159,1675.507357,1815.797958,348.703331,1632.706884,1226.10353,1043.013805,940.769076,1820.553575,821.880021,377.23652
Mock+Pta22,2100,68.12752,277.370404,1413.949267,1706.418824,343.947801,1394.926894,1040.636019,993.080316,817.124462,1463.883018,826.63558,308.281332
Mock+Pta22,2160,53.86098,203.65978,1192.814458,1325.970829,274.992641,1078.680602,976.435827,947.902425,650.680091,1333.104212,548.435864,222.68187
Mock+Pta22,2220,56.238736,220.304109,1119.10299,1157.14761,194.148737,1007.347024,824.2578,729.14668,467.591683,1047.769377,481.858298,236.948441
Mock+Pta22,2280,91.905093,148.971297,876.568964,969.302476,182.259935,993.080316,724.391127,664.946738,496.124914,881.324526,486.613836,320.170153
Mock+Pta22,2340,75.260791,141.838019,771.94667,831.391139,122.815948,700.613366,553.191406,579.346896,398.636418,805.235567,362.969924,158.482335
Mock+Pta22,2400,30.083418,158.482335,767.191115,605.502393,125.193707,598.369075,524.658155,572.21358,508.013763,557.946949,462.836146,215.548586
Mock+Pta22,2460,68.12752,132.326983,624.524579,541.302551,125.193707,491.369375,486.613836,505.635993,336.814506,391.503118,296.392512,144.215778
Mock+Pta22,2520,46.72771,125.193707,591.235757,555.569178,115.682673,553.191406,367.725456,500.880454,274.992641,291.636985,253.592776,127.571466
Mock+Pta22,2580,80.016306,118.060431,500.880454,391.503118,210.793064,439.058463,379.614286,424.791856,253.592776,277.370404,296.392512,137.082501
Mock+Pta22,2640,75.260791,99.038366,446.191767,486.613836,110.927156,405.769718,294.014748,362.969924,165.615614,227.437394,148.971297,113.304915
Mock+Pta22,2700,120.43819,163.237854,355.836627,310.659096,134.704742,403.391951,263.103827,353.458862,220.304109,251.215014,343.947801,165.615614
Mock+Pta22,2760,137.082501,110.927156,303.525804,313.03686,77.638548,255.970539,336.814506,339.192271,177.504414,396.258651,198.904259,60.994249
Mock+Pta22,2820,127.571466,82.394063,284.503694,317.792388,80.016306,329.681211,343.947801,255.970539,163.237854,272.614878,234.570679,118.060431
Mock+Pta22,2880,65.749763,113.304915,339.192271,267.859352,80.016306,320.170153,215.548586,329.681211,165.615614,270.237115,232.192917,99.038366
Mock+Pta22,2940,84.77182,80.016306,236.948441,274.992641,77.638548,351.081096,251.215014,263.103827,101.416124,265.48159,184.637695,120.43819
Pa20+Pta22,0,1073.925028,553.191406,450.947303,391.503118,263.103827,194.148737,206.037541,139.46026,167.993374,144.215778,201.28202,141.838019
