Name,Replicate,AUC
5001,A1,19339121.7348996
5001,A2,19420896.3770647
5001,A3,19416411.9317651
5001,A4,19351167.8866312
5001,A5,19513124.8309316
5001,A6,19498428.7689787
5001,A7,19442314.6448338
5001,A8,19565577.2807131
5001,A9,19859311.0437168
5001,A10,20199308.5406783
5001,A11,20358314.4982023
5001,A12,20498534.0833108
5002,A1,20178012.8421155
5002,A2,20044226.3141396
5002,A3,19358221.1565865
5002,A4,19608002.68544
5002,A5,20099191.1864178
5002,A6,19607863.0723122
5002,A7,19625270.8272411
5002,A8,19809228.0871189
5002,A9,21619187.3167861
5002,A10,20865578.4998562
5002,A11,20414311.1579771
5002,A12,20481645.1573647
5003,A1,19548316.3642442
5003,A2,19566397.9576626
5003,A3,19348445.8482627
5003,A4,19497496.1998457
5003,A5,20140367.793714
5003,A6,19666316.0174044
5003,A7,19804419.0429672
5003,A8,19942855.7287549
5003,A9,19831135.5601289
5003,A10,20433216.5470767
5003,A11,20504274.3340375
5003,A12,20506477.1506996
5004,A1,24483493.7078459
5004,A2,25193534.451389
5004,A3,22684118.1821301
5004,A4,25979375.5120757
5004,A5,26957876.0392916
5004,A6,25109715.0773807
5004,A7,21043161.3235715
5004,A8,23603879.2158329
5004,A9,20735392.1123165
5004,A10,26604913.8609987
5004,A11,20778251.4594881
5004,A12,22025699.3291069
5005,A1,27605663.8807607
5005,A2,28394024.9790896
5005,A3,33463917.7125195
5005,A4,23921791.9150932
5005,A5,23081762.530062
5005,A6,22369844.6151674
5005,A7,27607134.4030398
5005,A8,23390231.230993
5005,A9,20868891.1934799
5005,A10,22673556.5568833
5005,A11,21404780.4021548
5005,A12,23048332.7459378
mock,A1,24502535.5782784
mock,A2,20204349.449393
mock,A3,19851650.7808114
mock,A4,19941829.4620322
mock,A5,20049217.518238
mock,A6,19729937.2621512
mock,A7,20987854.8004403
mock,A8,21385835.5403627
mock,A9,29834070.5495441
mock,A10,20364591.4866701
mock,A11,20382822.6413853
mock,A12,21917719.9996255
pa20,A1,22639993.4761277
pa20,A2,20898289.2124658
pa20,A3,19402935.484159
pa20,A4,21773018.2766894
pa20,A5,21319695.6486785
pa20,A6,20057551.7631384
pa20,A7,20974318.6018742
pa20,A8,20426817.1135793
pa20,A9,21200862.0433796
pa20,A10,20456999.8989895
pa20,A11,20440417.2860819
pa20,A12,23080230.6641474
5007,A1,20010307.15165
5007,A2,19654839.223981
5007,A3,21376761.5263838
5007,A4,21824769.1390376
5007,A5,21197277.8790281
5007,A6,20596731.2008992
5007,A7,20210872.7448295
5007,A8,22142351.8103718
5007,A9,22085651.9412334
5007,A10,21378559.5314518
5007,A11,23552359.6790406
5007,A12,20836082.1660026
