Name,Replicate,AUC
Pta,A1,11985314.3980503
Pta,A2,12996364.7691832
Pta,A3,4514702.19345375
Pta,A4,25801474.6175653
Pta,A5,5455349.46070048
Pta,A6,15263983.3944768
Pta,A7,12668055.7989582
Pta,A8,9360386.0421111
Pta,A9,19847067.8808727
Pta,A10,15936888.1081176
Pta,A11,15006858.6215377
Pta,A12,19925450.1298196
PtaDA,A1,524000.758494928
PtaDA,A2,382577.822780279
PtaDA,A3,166582.128686638
PtaDA,A4,256274.050811652
PtaDA,A5,908465.799738051
PtaDA,A6,943040.045018113
PtaDA,A7,576204.797333553
PtaDA,A8,311494.889948483
PtaDA,A9,407945.139546794
PtaDA,A10,650507.597702481
PtaDA,A11,203445.952758048
PtaDA,A12,918594.523555153
1814,A1,3040968.17423838
1814,A2,1315342.11607818
1814,A3,5416063.743764
1814,A4,2897466.60502023
1814,A5,6599928.67282674
1814,A6,3160734.98595818
1814,A7,2826387.88710497
1814,A8,1865152.14238878
1814,A9,3493289.6109381
1814,A10,705155.220756209
1814,A11,1823180.16300874
1814,A12,6133469.57304304
1184,A1,2579244.04705537
1184,A2,1911032.2213078
1184,A3,11331308.4234457
1184,A4,3234854.95287328
1184,A5,5187980.22226969
1184,A6,2806407.57205555
1184,A7,2497555.82573128
1184,A8,5621873.60930169
1184,A9,1205273.8318696
1184,A10,1099257.5856234
1184,A11,3055926.64110604
1184,A12,3987682.33648954
255,A1,156703.709435746
255,A2,155176.290009983
255,A3,155158.444447312
255,A4,146982.924811566
255,A5,143260.805594965
255,A6,144894.195582115
255,A7,130090.375693802
255,A8,149047.832811304
255,A9,148122.634318398
255,A10,138476.366675371
255,A11,159989.939666179
255,A12,142371.44258233
133,A1,154123.096337637
133,A2,152467.693791852
133,A3,154554.607484631
133,A4,147045.086575567
133,A5,142013.655347511
133,A6,148621.685249963
133,A7,144459.884327684
133,A8,138657.084790323
133,A9,138853.883322708
133,A10,147490.548609491
133,A11,144713.164263495
133,A12,126561.036799412
102,A1,150518.042459303
102,A2,154291.725777866
102,A3,158072.198826588
102,A4,146912.24567746
102,A5,143886.604539047
102,A6,144597.882572391
102,A7,140175.604963924
102,A8,138917.999816277
102,A9,136715.307477603
102,A10,133181.761261975
102,A11,146160.251727447
102,A12,135328.186824491
99,A1,171319.579394617
99,A2,139733.798237975
99,A3,144718.860260584
99,A4,144453.954505295
99,A5,142373.58170972
99,A6,147855.787252956
99,A7,145096.52598097
99,A8,138524.39687864
99,A9,144211.911896855
99,A10,136199.829758806
99,A11,137468.112392764
99,A12,139664.674547141
