Name,Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
Pta,0,1103.167869,620.007215,370.025391,307.004902,1815.310678,189.366807,6296.303019,153.655281,143.151895,101.138364,103.23904,103.23904
Pta,60,94.836337,82.232284,61.225534,84.332959,907.802511,67.527558,863.687828,180.964093,80.131608,59.124859,92.735661,59.124859
Pta,120,63.326208,65.426883,65.426883,65.426883,655.718976,101.138364,361.622655,92.735661,78.030933,69.628233,136.849864,40.21879
Pta,180,128.447156,75.930258,294.400811,124.245803,954.017923,233.48107,399.434971,124.245803,151.554604,94.836337,172.561381,187.266129
Pta,240,712.437693,344.817188,1601.036866,985.528449,1712.375138,1691.367904,1134.678461,733.444637,1035.945319,313.306948,428.844564,1195.598979
Pta,300,2363.602508,1275.425944,4447.570403,2794.25616,3769.013628,4317.32061,1659.857064,2002.275614,3151.385569,1096.865752,1046.448838,2449.733029
Pta,360,4775.296751,2185.039568,6922.362067,5187.057648,5443.35901,6603.029243,2103.11084,4115.643984,5434.955672,1945.555862,1979.167561,3361.462535
Pta,420,7195.476811,3323.648635,8987.555884,8000.120999,7668.1779,8056.845608,2374.106224,5804.703492,6815.21734,3153.486336,3025.339689,4016.906679
Pta,480,9626.244517,4098.837625,10725.05458,10250.232075,9848.946515,9334.211827,2945.510748,6907.655918,7754.314884,4077.829681,4277.405399,4571.51801
Pta,540,11590.668415,4953.866233,11447.799382,11975.155629,10502.349822,9691.374274,2987.525969,7582.041022,8201.808706,5142.940295,5361.426506,4964.370334
Pta,600,12739.934227,5405.543996,12630.679635,12790.35948,11237.698387,10176.697901,3374.067172,8535.855236,8832.086498,5516.888261,6258.48755,5254.284145
Pta,660,13242.087311,6121.931855,13441.688899,14254.808563,11878.508373,10143.082305,3397.175681,8277.441744,9084.199188,6491.683268,6842.528726,5449.661514
Pta,720,13887.117635,5997.981531,13912.330666,14424.997583,11899.518635,10285.948701,3519.020668,8136.680321,9374.129893,6716.476265,7208.082133,5594.619266
Pta,780,13748.446124,6472.775478,13943.846967,13819.882929,11704.123441,9987.610378,3384.571039,8241.726132,9351.019431,6901.353284,7878.268288,5785.795886
Pta,840,13840.893767,6464.372018,14006.879613,14378.773365,11672.608138,10052.740468,3764.812058,8334.166576,9050.584111,7567.334736,8142.983065,5579.913393
Pta,900,14059.40686,6491.683268,14044.699227,14458.615216,11802.871482,9477.076589,3678.679936,7962.304618,9006.464346,7340.438143,7880.369195,5369.829836
Pta,960,13359.747126,6195.461812,14284.22392,14452.311909,11063.315036,9019.06999,3409.780325,7621.958099,8445.515452,7294.218555,8027.432842,5285.796587
Pta,1020,13273.603313,6273.193563,13574.05658,13460.598553,11428.890267,9021.170931,3090.463366,7479.097086,8224.918792,7619.8572,7584.14192,5224.872545
Pta,1080,12710.519512,6096.721602,13069.800077,13296.715058,11204.082286,7884.571009,3134.579439,7290.016776,7926.589165,6806.813839,7876.167381,4892.942477
Pta,1140,12445.787633,5895.0399,12790.35948,12487.8085,10376.290836,7941.295526,2989.626731,6892.949773,7210.18302,6750.090233,7214.384794,4550.509925
Pta,1200,11109.537087,5363.527339,12643.285925,11786.063295,9689.273313,6901.353284,2458.136012,6338.320231,6768.998096,6561.011873,7094.634321,4346.731833
Pta,1260,10508.652777,4434.965574,11790.265342,11525.536908,9004.363406,6703.871031,2422.42334,6279.496141,5997.981531,5985.376425,6579.919686,3771.114413
Pta,1320,9214.457764,4153.458308,10876.326137,10367.886912,8132.478491,6079.914772,2229.155076,5600.921783,5546.299982,5615.62766,5928.653477,3409.780325
Pta,1380,8365.680391,3813.130124,9924.581315,9666.162748,7311.025675,5598.820944,2002.275614,4947.563773,4592.5261,5117.73039,5598.820944,3191.300145
