Name,Replicate,AUC
Pta,A1,6290222.17016293
Pta,A2,7687952.30907815
Pta,A3,6535562.48711436
Pta,A4,2421436.51092042
Pta,A5,3988169.17027588
Pta,A6,8193410.19442179
Pta,A7,14867222.1968157
Pta,A8,17307232.9750985
Pta,A9,22296717.4414409
Pta,A10,22824230.9777065
Pta,A11,12547083.364928
Pta,A12,10546295.1550131
PtaDA,A1,208963.550494791
PtaDA,A2,180704.35373864
PtaDA,A3,239244.854107936
PtaDA,A4,244347.206635402
PtaDA,A5,174194.469102391
PtaDA,A6,295202.562093656
PtaDA,A7,455396.137292815
PtaDA,A8,1194362.97394685
PtaDA,A9,824211.724771639
PtaDA,A10,341264.802023802
PtaDA,A11,611722.995163961
PtaDA,A12,552451.776803608
166,A1,2389175.21927974
166,A2,1380228.01058084
166,A3,4909511.96570293
166,A4,1128585.66608489
166,A5,4732932.79067162
166,A6,6094603.45214283
166,A7,3454395.99184356
166,A8,2522101.56207473
166,A9,2072686.05970376
166,A10,7724665.04062222
166,A11,4251715.40860865
166,A12,15710470.9477332
1294,A1,254736.485705349
1294,A2,526749.288451004
1294,A3,947087.63184153
1294,A4,325012.938469628
1294,A5,395868.403212655
1294,A6,628942.71987712
1294,A7,2067528.09588434
1294,A8,882758.059901096
1294,A9,882185.476316431
1294,A10,1720666.31009885
1294,A11,871058.666427347
1294,A12,542241.858326117
1810,A1,1125382.12529581
1810,A2,3026788.43795725
1810,A3,850035.984776477
1810,A4,3459046.35750582
1810,A5,3365051.66666974
1810,A6,2638030.09485107
1810,A7,6321446.75171261
1810,A8,712698.445201363
1810,A9,1007668.24598623
1810,A10,6927862.06487751
1810,A11,14535669.4900229
1810,A12,6860011.87163662
1471,A1,1527434.81961072
1471,A2,579595.900351748
1471,A3,365645.328197677
1471,A4,637855.208812577
1471,A5,318274.67561302
1471,A6,896633.981531145
1471,A7,3747121.91100205
1471,A8,6110947.2814841
1471,A9,2071602.61125173
1471,A10,2642455.88594912
1471,A11,1175132.58856047
1471,A12,2399809.55620287
1213,A1,1973476.57470124
1213,A2,3210349.63930797
1213,A3,2910361.14621073
1213,A4,1658846.24419905
1213,A5,4617004.21750512
1213,A6,7172632.89923428
1213,A7,5786923.51545271
1213,A8,1003765.15224006
1213,A9,7533137.07642571
1213,A10,4095696.94176686
1213,A11,13542743.1049291
1213,A12,10684949.8842208
1544,A1,373859.796734636
1544,A2,608320.183598607
1544,A3,635758.581809557
1544,A4,275110.002179709
1544,A5,233502.195781713
1544,A6,706540.97218353
1544,A7,773298.033136067
1544,A8,1218343.25244895
1544,A9,1016086.92854901
1544,A10,1449111.41880305
1544,A11,2093720.61161106
1544,A12,1824525.79139217
