Name,Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
Pta,0,752.350892,529.677546,315.407631,225.078351,225.078351,162.057992,166.259347,109.541068,92.735661,117.943773,115.843097,88.53431
Pta,60,111.641745,75.930258,105.339716,166.259347,75.930258,82.232284,65.426883,61.225534,69.628233,92.735661,61.225534,82.232284
Pta,120,113.742421,82.232284,99.037688,136.849864,90.634986,61.225534,63.326208,84.332959,334.313773,111.641745,50.722161,96.937013
Pta,180,359.521972,1082.160815,1174.591898,867.889225,328.011725,191.467486,174.662059,556.986504,2542.165899,647.316207,96.937013,210.373595
Pta,240,1017.038989,4701.768271,5808.905182,3004.332065,1294.332343,1098.966457,714.538387,1739.684553,5995.880679,1573.727505,311.206266,1029.643208
Pta,300,2420.322595,9788.01854,10496.046868,6178.654958,3157.687869,3069.455722,1794.303413,3621.958839,9309.000429,2718.628988,1170.390482,2611.490631
Pta,360,3773.215198,13525.731842,14611.995868,8638.800711,5995.880679,6189.159241,3172.393238,5449.661514,12210.471239,3951.78215,2130.420406,3934.975829
Pta,420,4932.858035,16410.566421,16809.788053,9638.850271,8760.654733,8109.368435,4392.949493,7126.147584,13878.713293,4918.152301,3556.834673,5472.770701
Pta,480,6079.914772,18305.838638,17612.44047,11012.891014,10767.074425,9050.584111,5016.890864,8176.597711,14586.782587,5411.846497,4607.231767,6460.170288
Pta,540,6630.340546,18808.031254,18585.301034,11475.112557,12210.471239,10273.342831,5678.652881,9075.795417,15227.622928,5781.594196,5672.350357,7014.800786
Pta,600,7063.121073,19822.933495,18593.705935,12275.603377,13158.044705,11046.507025,6325.715065,9279.587142,15599.523101,6287.89958,6012.68749,8010.625553
Pta,660,6907.655918,19577.086274,18770.209092,13158.044705,13189.56067,10912.043079,6460.170288,10403.603597,15805.434773,6653.450119,6792.107714,8416.102525
Pta,720,7401.364008,20804.229639,18024.276138,12966.848149,13290.411854,10802.791312,7004.29638,10601.096185,15586.916284,6577.818818,6913.958553,8327.863815
Pta,780,7544.224865,20224.275668,17866.685675,13471.103918,13655.998601,11241.900401,6867.739245,10853.215183,15952.514905,6582.020555,7016.901667,8437.111757
