Name,Time,N,measurement,sd,se,ci
10.1nm,0,12,275.144923,234.853347932043,67.796321824325,149.218698244136
10.1nm,60,12,82.7574545,17.092392303156,4.93414864866089,10.8599879533888
10.1nm,120,12,72.0790211666667,10.890899034437,3.14393174462461,6.91974711425978
10.1nm,180,12,162.758288333333,104.57206253864,30.1873542281992,66.4419186786961
10.1nm,240,12,555.9371735,395.598540077842,114.199461802482,251.351320717716
10.1nm,300,12,1463.97088883333,954.00010567664,275.39610890967,606.142748857164
10.1nm,360,12,2723.72517525,1728.3589156196,498.934242594634,1098.14686381235
10.1nm,420,12,4251.36040158333,2481.8285938866,716.442203381468,1576.87865770597
10.1nm,480,12,5698.50143275,3181.61001056621,918.451698028405,2021.49855762149
10.1nm,540,12,7410.56248425,3820.1579329507,1102.78460546799,2427.21255141255
10.1nm,600,12,9069.27984441667,4603.99627883972,1329.05924546808,2925.23967615782
10.1nm,660,12,10516.5206953333,5034.4545363969,1453.32184090584,3198.73980467082
10.1nm,720,12,11948.2316636667,5749.87849101872,1659.84694729865,3653.29849902774
10.1nm,780,12,12975.4885815,6036.28527372118,1742.52546384415,3835.27268700277
10.1nm,840,12,13746.7781778333,6309.28742254654,1821.33439590098,4008.72997694253
10.1nm,900,12,14354.0117860833,6531.33316658002,1885.43348094605,4149.81111190218
10.1nm,960,12,14751.30160925,6599.76269370047,1905.18738389781,4193.28915915289
10.1nm,1020,12,15001.8697689167,6717.92691058417,1939.298455111,4268.36712068796
10.1nm,1080,12,15135.4667769167,6726.55251936257,1941.78845388607,4273.84757104052
10.1nm,1140,12,15088.7156055,6712.68301452933,1937.78467271157,4265.0353080912
10.1nm,1200,12,14762.67750075,6539.51394517464,1887.79506830795,4155.00893063997
10.1nm,1260,12,14432.9550075,6252.01714462154,1804.8018907127,3972.34217836399
10.1nm,1320,12,13912.7470675833,6101.23818660485,1761.27575471317,3876.54179895288
10.1nm,1380,12,13322.67473475,5846.58138367457,1687.76266785178,3714.74058569845
10.1nm,1440,12,12637.7145883333,5644.63095934818,1629.46460192788,3586.4274077379
10.1nm,1500,12,11712.1808345,5248.36079116907,1515.07125779287,3334.64935488348
10.1nm,1560,12,10778.2549775833,4815.70980013153,1390.17567472253,3059.75602998467
10.1nm,1620,12,9818.95937983333,4420.86165299616,1276.19283270371,2808.88148619618
10.1nm,1680,12,8850.39966741667,4025.69218904978,1162.11723451123,2557.80278744596
10.1nm,1740,12,7928.42986591667,3724.80996880912,1075.26001908607,2366.6313452483
10.1nm,1800,12,7000.51581091667,3310.4655178318,955.649078931582,2103.36944098365
10.1nm,1860,12,6002.93561691667,2834.88639649829,818.361212070148,1801.200883361
10.1nm,1920,12,5272.88343933333,2544.35665038086,734.492498505901,1616.60708941012
10.1nm,1980,12,4453.02899383333,2204.66704331623,636.432555466061,1400.77860998
10.1nm,2040,12,3771.83558725,1796.04075394161,518.472306381862,1141.14985226496
10.1nm,2100,12,3231.23169066667,1616.86085487577,466.747524902348,1027.30437581957
10.1nm,2160,12,2764.50801433333,1391.70507427143,401.750649631589,884.247217896304
10.1nm,2220,12,2282.03226483333,1149.60953165164,331.863686281017,730.427048677826
10.1nm,2280,12,1899.69591408333,961.300334501665,277.503503448307,610.781092963163
10.1nm,2340,12,1594.3888035,806.680873167537,232.8687096367,512.540574160065
10.1nm,2400,12,1312.19087358333,618.683874911596,178.598650861745,393.092980159089
10.1nm,2460,12,1080.23685025,509.270221803145,147.013649824153,323.57486159387
10.1nm,2520,12,929.335973916667,445.379580372129,128.570010309706,282.980684724491
10.1nm,2580,12,766.356432,373.384548488863,107.786834790646,237.237223827461
10.1nm,2640,12,671.4747405,296.344128355233,85.5471811393295,188.288076175336
10.1nm,2700,12,574.842741916667,240.747699302274,69.4978744994756,152.963790431257
10.1nm,2760,12,476.1103205,220.139025629024,63.5486628530294,139.869663883184
