Name,Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
1nm,0,1040.146727,483.462411,349.018555,199.8702,189.366807,233.48107,128.447156,130.547833,128.447156,145.252572,105.339716,115.843097
1nm,60,92.735661,113.742421,92.735661,94.836337,59.124859,88.53431,73.829583,71.728908,90.634986,96.937013,65.426883,67.527558
1nm,120,57.024184,67.527558,59.124859,61.225534,59.124859,73.829583,78.030933,69.628233,92.735661,84.332959,67.527558,80.131608
1nm,180,71.728908,71.728908,59.124859,63.326208,65.426883,50.722161,67.527558,65.426883,54.92351,38.118115,69.628233,69.628233
1nm,240,78.030933,59.124859,65.426883,42.319464,88.53431,50.722161,44.420138,73.829583,59.124859,48.621486,46.520812,44.420138
1nm,300,36.017441,46.520812,54.92351,50.722161,86.433635,69.628233,40.21879,50.722161,57.024184,61.225534,69.628233,65.426883
1nm,360,57.024184,61.225534,65.426883,67.527558,61.225534,44.420138,59.124859,46.520812,48.621486,48.621486,63.326208,86.433635
1nm,420,63.326208,52.822835,67.527558,59.124859,67.527558,71.728908,75.930258,50.722161,61.225534,48.621486,50.722161,67.527558
1nm,480,63.326208,69.628233,61.225534,52.822835,122.145126,78.030933,122.145126,50.722161,71.728908,82.232284,54.92351,138.950541
1nm,540,69.628233,40.21879,44.420138,67.527558,122.145126,134.749187,197.769522,88.53431,109.541068,42.319464,82.232284,99.037688
1nm,600,69.628233,88.53431,61.225534,59.124859,134.749187,138.950541,277.59536,138.950541,162.057992,107.440392,84.332959,199.8702
1nm,660,101.138364,61.225534,101.138364,94.836337,273.393998,229.27971,365.824023,264.991274,264.991274,183.064772,195.668843,243.98447
1nm,720,147.353249,101.138364,155.755959,128.447156,378.428127,374.226758,508.670663,300.702856,447.750737,323.81036,325.911043,349.018555
1nm,780,218.776312,153.655281,199.8702,195.668843,567.489952,460.354855,683.027983,430.94525,523.375481,523.375481,643.114823,418.341136
1nm,840,325.911043,159.957314,309.105584,199.8702,720.84047,580.094091,708.236305,666.222439,834.278054,683.027983,743.948111,584.295472
