Col-O,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,plate
13,21.2,26,25.4,21.9,31.9,17.6,17.5,21.9,1
24,27.6,20.8,17.2,19.4,24.4,26.7,10.3,16.3,1
3,16.8,18.7,28.2,23.1,32.1,24,na,21.7,1
flg20,23.7,8.8,24.6,13,na,na,na,na,1
flg22,23.3,19.4,23,32.4,na,na,na,na,1
29,26,37.3,31.8,33.8,27.2,25.3,29.7,na,1
8,24,30.3,28.9,na,21.4,25.2,32.5,27.6,1
25,22.2,27.5,20.5,28.2,24.3,32.3,25.8,30.6,2
flg20,37.3,22.3,24.6,42,24.4,19,26.4,31,2
k14,23.5,23.3,17.6,23.6,8.5,16.9,18.6,12.5,2
9,12.7,20.5,25.6,16.9,17,17.5,27.4,15.2,2
flg22,17.4,12.9,12.4,13.8,15.2,21,18.5,9.1,2
qea,24.8,23.7,na,23.1,20.3,15.9,21.3,7.6,2
flg20,19.3,17.8,24.4,18.2,na,na,na,na,3
flg22,24.6,22.1,25.3,19.8,na,na,na,na,3
28,16.3,19.1,24.9,21,34.1,29,22.7,26.7,3
4,23.9,33.8,32.7,24.9,34.4,26,29.1,27.7,3
14,13.1,17,22.6,15.2,27.2,32.5,26.3,15.2,3
21,24.5,30.1,27.2,24,32,31.9,16.8,21.5,3
16,23.9,30.3,31.5,26.9,27.1,20.4,6.7,22.8,3
ydd,33.3,30.8,26.7,23,29.5,24.6,27,31,4
10,26.3,24.9,20.1,20.2,27.8,42.5,22.8,27.8,4
26,44.7,18.7,23.5,24.8,23.4,14,20.7,19.5,4
23,14,19.7,28,22.8,21.4,28.3,15.9,17.1,4
27,26,26.7,21.8,na,21.7,26.1,16.5,17,4
flg20,33.6,29.6,20.7,na,na,na,na,na,4
flg22,22.1,19.7,21.8,na,na,na,na,na,4
11,32.3,35.8,27.4,23.3,17.8,32,25,45.7,5
flg20,27.8,34.5,25.9,na,na,na,na,na,5
flg22,20.3,30.7,na,na,na,na,na,na,5
2,26.2,na,28.7,25.8,35.1,27.6,40,23,5
k15,26.7,15.4,25.2,22.5,na,17.9,`na,23.9,5
12,32.1,35.4,21.3,24.1,28.3,22.3,14.3,28.1,5
6,26.8,23.1,27.6,22.8,30.8,24.9,27.8,na,5
