Flg22 Var,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,plate
flg22,26.5,29.5,42.5,41,na,na,na,na,1
flg20,36.5,36,47,32,na,na,na,na,1
28,41,26,33.5,32.5,31.5,29,29.5,35,1
9,25,41,3.5,42,34.5,25.5,24.5,43.5,1
21,54,39,38.5,7,5.5,22,na,22.5,1
14,34,42,36,22.5,39.5,30.5,40.5,27.5,1
16,29.5,26,34,34,23.5,37,26,32,1
YDD,17.6,28.2,21.9,30.7,28,21.7,25.2,na,2
10,35.1,23.4,23.1,22.9,29.8,30.5,27.5,16.7,2
26,26.6,29.4,32.7,24.5,22.3,27.7,23.5,28.8,2
23,22.5,25.9,30.1,34.4,27.1,15.4,na,na,2
27,29.3,32.1,44.9,45.9,25.3,23.1,21,na,2
flg22,20.6,34.9,18.7,25.1,na,na,na,na,2
flg20,30.1,25.9,22.6,22.6,na,na,na,na,2
13,30.7,27.7,33.2,27,24.4,23.9,22.7,26.4,3
21,19.2,18.7,23,23.3,32.4,25.7,29.9,na,3
3,27.7,23.9,32.3,33.1,31.8,34.7,26.7,31.5,3
flg20,28.4,na,na,na,na,na,na,na,3
flg22,38.1,23.8,39.7,25.4,na,na,na,na,3
25,30.4,26.8,30.2,26.3,28.2,22.5,28.6,35.5,3
8,25.4,10.9,19.7,23.5,36,22.4,34.1,29.3,3
11,24.4,29.2,15.8,32.1,27.1,23.7,21.8,na,4
flg20,29.3,23.4,25.8,22.5,na,na,na,na,4
flg22,23.6,24.8,19.5,25.4,na,na,na,na,4
2,27.7,na,24.8,30.5,30.8,26.1,na,21.3,4
k15,29.8,37.2,29.4,na,30.3,31.9,23.3,25.5,4
12,31.4,25.3,29.3,25.1,34.2,37.2,21.7,19.8,4
6,27.2,26,26,19.3,21.4,23,29.5,na,4
