ID,W1,W2,W3,W4,W5,W6,W7,W8,Plate,Plant,Exp,,,,,
mock,193,207,237,246,192,221,198,213,1,colo,20190221,,,,,
flg22,111,100,75,85,57,111,130,68,1,colo,20190221,,,,,
17,80,53,81,61,155,80,148,99,1,colo,20190221,,,,,
20,216,215,431,368,417,279,318,238,1,colo,20190221,,,,,
59,198,224,133,167,205,209,256,236,1,colo,20190221,,,,,
83,318,231,270,264,243,332,290,199,1,colo,20190221,,,,,
mock,282,246,328,315,240,247,318,252,2,colo,20190221,,,,,
flg22,174,107,104,77,101,63,80,45,2,colo,20190221,,,,,
118,134,56,94,202,283,239,262,241,2,colo,20190221,,,,,
133,200,187,224,153,206,194,264,262,2,colo,20190221,,,,,
146,230,259,333,298,300,262,216,228,2,colo,20190221,,,,,
mock,303,373,217,299,282,309,282,212,3,colo,20190221,,,,,
flg22,161,92,106,67,118,90,60,71,3,colo,20190221,,,,,
336,226,288,499,208,318,294,258,171,3,colo,20190221,,,,,
Pa20,,374,254,192,347,249,269,252,3,colo,20190221,,,,,
340,327,418,282,233,240,183,227,225,3,colo,20190221,,,,,
359,195,225,250,227,197,294,331,214,3,colo,20190221,,,,,
mock,142,275,189,221,267,183,155,273,4,colo,20190221,,,,,
flg22,124,173,76,139,78,108,157,156,4,colo,20190221,,,,,
457,340,242,241,343,146,312,266,200,4,colo,20190221,,,,,
459,277,313,349,295,306,318,389,255,4,colo,20190221,,,,,
467,333,266,278,313,320,308,153,299,4,colo,20190221,,,,,
468,284,196,284,221,271,304,219,272,4,colo,20190221,,,,,
mock,221,211,247,191,316,277,174,228,5,colo,20190221,,,,,
flg22,118,82,118,191,162,75,72,122,5,colo,20190221,,,,,
255,257,370,270,241,305,360,160,190,5,colo,20190221,,,,,
264,201,177,225,150,181,117,149,165,5,colo,20190221,,,,,
289,262,217,205,156,256,190,179,124,5,colo,20190221,,,,,
PtaDA,193,200,235,156,287,209,265,183,5,colo,20190221,,,,,
mock,236,261,130,226,188,x,163,230,6,colo,20190221,,,,,
flg22,83,80,134,175,112,156,130,63,6,colo,20190221,,,,,
1477,203,196,173,255,214,427,244,153,6,colo,20190221,,,,,
1544,285,320,297,217,427,232,291,323,6,colo,20190221,,,,,
1635,295,265,218,184,281,332,229,228,6,colo,20190221,,,,,
Pa20,223,218,256,306,301,330,312,252,6,colo,20190221,,,,,
mock,102,133,189,125,,100,95,89,7,colo,20190221,,,,,
flg22,40,48,41,30,32,61,75,139,7,colo,20190221,,,,,
PtaDA,110,114,96,123,342,236,209,128,7,colo,20190221,,,,,
154,351,129,241,306,298,325,108,94,7,colo,20190221,,,,,
161,196,,39,115,167,158,156,251,7,colo,20190221,,,,,
166,100,141,228,150,117,73,95,97,7,colo,20190221,,,,,
mock,200,225,294,298,360,373,221,142,8,colo,20190221,,,,,
flg22,239,131,70,130,191,240,129,96,8,colo,20190221,,,,,
470,262,238,448,452,310,254,233,186,8,colo,20190221,,,,,
1042,262,185,186,169,330,200,298,164,8,colo,20190221,,,,,
1090,211,222,295,272,223,242,180,157,8,colo,20190221,,,,,
Pa,65,59,59,48,101,88,86,28,8,colo,20190221,,,,,
mock,194,154,166,223,296,277,170,328,9,colo,20190221,,,,,
flg22,84,91,81,129,78,143,140,61,9,colo,20190221,,,,,
361,247,260,290,325,206,269,368,317,9,colo,20190221,,,,,
362,152,302,310,313,267,251,243,258,9,colo,20190221,,,,,
373,244,287,246,230,274,323,309,241,9,colo,20190221,,,,,
387,292,289,286,310,273,168,293,347,9,colo,20190221,,,,,
mock,97,100,130,127,90,85,124,96,10,colo,20190221,,,,,
flg22,42,59,83,86,101,63,49,65,10,colo,20190221,,,,,
204,95,151,101,132,125,88,245,203,10,colo,20190221,,,,,
218,221,344,211,256,313,250,295,175,10,colo,20190221,,,,,
236,214,385,270,158,246,412,312,381,10,colo,20190221,,,,,
253,188,320,275,245,396,345,277,43,10,colo,20190221,,,,,
mock,340,292,303,306,281,289,280,366,11,colo,20190221,,,,,
flg22,102,127,203,156,146,165,167,145,11,colo,20190221,,,,,
1943,209,390,240,238,191,179,206,190,11,colo,20190221,,,,,
1952,277,250,248,307,270,257,215,284,11,colo,20190221,,,,,
1983,157,135,151,228,124,155,126,279,11,colo,20190221,,,,,
mock,320,251,206,250,217,344,218,188,12,colo,20190221,,,,,
flg22,98,146,106,189,182,106,122,95,12,colo,20190221,,,,,
1810,149,129,130,138,110,141,221,134,12,colo,20190221,,,,,
1814,202,103,122,104,126,219,131,259,12,colo,20190221,,,,,
1843,133,196,247,126,244,171,150,180,12,colo,20190221,,,,,
1877,106,372,259,204,142,192,200,213,12,colo,20190221,,,,,
mock,271,208,309,300,376,262,290,348,13,colo,20190221,,,,,
flg22,88,74,143,97,218,113,137,94,13,colo,20190221,,,,,
397,337,303,244,265,175,308,265,222,13,colo,20190221,,,,,
435,208,232,211,308,280,294,218,182,13,colo,20190221,,,,,
445,192,268,282,373,209,259,291,262,13,colo,20190221,,,,,
447,319,455,412,289,286,271,198,229,13,colo,20190221,,,,,
mock,326,220,242,397,218,285,294,197,14,colo,20190221,,,,,
flg22,101,159,91,158,132,107,114,84,14,colo,20190221,,,,,
1297,280,318,314,233,476,435,282,253,14,colo,20190221,,,,,
1391,332,298,308,162,313,133,229,345,14,colo,20190221,,,,,
1471,282,270,218,261,223,250,242,141,14,colo,20190221,,,,,
PtaDA,263,262,204,319,395,233,231,171,14,colo,20190221,,,,,
mock,402,241,237,400,200,216,160,282,15,colo,20190221,,,,,
flg22,137,88,86,102,103,94,112,125,15,colo,20190221,,,,,
1128,251,211,346,161,173,242,236,277,15,colo,20190221,,,,,
1184,167,115,174,185,80,158,216,189,15,colo,20190221,,,,,
1186,200,396,266,286,224,278,185,236,15,colo,20190221,,,,,
Pa20,283,158,241,217,363,259,236,195,15,colo,20190221,,,,,
mock,278,234,350,285,324,309,381,347,16,colo,20190221,,,,,
flg22,152,194,101,109,74,79,92,76,16,colo,20190221,,,,,
94,281,267,168,289,290,209,178,298,16,colo,20190221,,,,,
99,213,261,266,323,309,359,259,263,16,colo,20190221,,,,,
102,209,145,298,278,251,278,286,195,16,colo,20190221,,,,,
108,418,235,271,280,180,222,197,237,16,colo,20190221,,,,,
mock,197,194,143,307,358,313,261,241,17,colo,20190221,,,,,
flg22,180,179,87,185,126,121,106,189,17,colo,20190221,,,,,
295,158,152,153,172,255,220,216,182,17,colo,20190221,,,,,
306,258,305,302,337,178,254,313,184,17,colo,20190221,,,,,
Pa,70,108,76,76,60,79,75,109,17,colo,20190221,,,,,
321,257,393,316,287,245,249,283,319,17,colo,20190221,,,,,
mock,253,297,286,198,261,217,231,277,18,colo,20190221,,,,,
flg22,123,126,101,99,144,107,138,116,18,colo,20190221,,,,,
1195,126,192,222,234,103,239,198,193,18,colo,20190221,,,,,
1213,295,268,238,456,213,228,222,295,18,colo,20190221,,,,,
1294,266,364,422,321,349,196,287,395,18,colo,20190221,,,,,
Pa,105,105,74,45,48,80,51,67,18,colo,20190221,,,,,
flg22,252,398,405,204,322,306,,,19,fls2efr,20190221,,,,,
mock,235,244,407,290,320,216,,,19,fls2efr,20190221,,,,,
340,503,438,327,331,252,374,,,19,fls2efr,20190221,,,,,
359,254,221,380,351,310,301,,,19,fls2efr,20190221,,,,,
361,382,333,408,317,290,212,,,19,fls2efr,20190221,,,,,
362,265,315,239,352,282,176,,,19,fls2efr,20190221,,,,,
373,426,365,357,283,280,299,,,19,fls2efr,20190221,,,,,
387,320,359,160,272,244,309,,,19,fls2efr,20190221,,,,,
mock,380,479,380,308,408,330,,,20,fls2efr,20190221,,,,,
flg22,319,432,330,355,375,335,,,20,fls2efr,20190221,,,,,
264,406,250,428,329,442,306,,,20,fls2efr,20190221,,,,,
289,329,263,444,383,412,284,,,20,fls2efr,20190221,,,,,
295,357,296,349,255,245,272,,,20,fls2efr,20190221,,,,,
306,410,311,368,218,279,305,,,20,fls2efr,20190221,,,,,
321,292,511,314,367,366,302,,,20,fls2efr,20190221,,,,,
336,347,455,348,424,327,270,,,20,fls2efr,20190221,,,,,
mock,318,325,383,217,178,453,,,21,fls2efr,20190221,,,,,
flg22,279,245,373,421,463,225,,,21,fls2efr,20190221,,,,,
133,516,393,323,492,275,535,,,21,fls2efr,20190221,,,,,
146,399,259,232,391,286,269,,,21,fls2efr,20190221,,,,,
154,229,271,99,365,281,269,,,21,fls2efr,20190221,,,,,
PtaDA,253,260,184,281,193,245,,,21,fls2efr,20190221,,,,,
161,380,141,451,381,335,371,,,21,fls2efr,20190221,,,,,
166,319,301,317,389,308,303,,,21,fls2efr,20190221,,,,,
mock,333,342,323,241,406,589,,,22,fls2efr,20190221,,,,,
flg22,401,286,446,193,384,279,,,22,fls2efr,20190221,,,,,
17,314,411,373,366,208,269,,,22,fls2efr,20190221,,,,,
