taxon_oid,Name,IMG_Phylum,IMG_Class,IMG_Order,IMG_Family,IMG_Genus,Institution,Host,Fraction,HostFraction
2563366510,Rhodococcus_sp._UNC23MFCrub1.1,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,UNC,Arabidopsis,Root,Arabidopsis_Root
2643221587,Streptomyces_sp._Root66D1,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,MPCologne,Arabidopsis,Root,Arabidopsis_Root
2643221649,Leifsonia_sp._Root4,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Leifsonia,MPCologne,Arabidopsis,Root,Arabidopsis_Root
2643221616,Leifsonia_sp._Root227,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Leifsonia,MPCologne,Arabidopsis,Root,Arabidopsis_Root
2643221694,Cellulomonas_sp._Root137,Actinobacteria,Actinobacteria,Micrococcales,Cellulomonadaceae,Cellulomonas,MPCologne,Arabidopsis,Root,Arabidopsis_Root
2643221491,Rhodococcus_maanshanensis_259MFSha1.1,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,UNC,Arabidopsis,Root,Arabidopsis_Root
2643221831,Marmoricola_sp._Leaf446,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Marmoricola,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot
2684622688,Microbacterium_sp._Leaf436,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot
2643221572,Leifsonia_sp._Root60,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Leifsonia,MPCologne,Arabidopsis,Root,Arabidopsis_Root
2636416058,Mycobacterium_sp._283MFTsu,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,UNC,Arabidopsis,Root,Arabidopsis_Root
2643221707,Arthrobacter_sp._Soil762,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,MPCologne,Arabidopsis,Soil,Arabidopsis_Soil
2643221904,Curtobacterium_sp._Leaf154,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Curtobacterium,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot
2643221878,Aeromicrobium_sp._Leaf291,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Aeromicrobium,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot
2593339195,Rhodococcus_sp._164Chir2E,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,UNC,Arabidopsis,Root,Arabidopsis_Root
2639762661,Leifsonia_sp._21MFCrub1.1,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Leifsonia,UNC,Arabidopsis,Root,Arabidopsis_Root
2639763198,Leifsonia_sp._115AMFTsu3.1,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Leifsonia,UNC,Arabidopsis,Root,Arabidopsis_Root
