taxon_oid	Name	IMG_Phylum	IMG_Class	IMG_Order	IMG_Family	IMG_Genus	Institution	Host	Fraction	HostFraction	gene-genome	NumfliC	clust1	clust2	clust3	clust4	NumOperons	genesInOperon	T3SS	T6SS	coronatine
2643221747	Sphingomonas_sp._Leaf16	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	ETH	Arabidopsis	Shoot	Arabidopsis_Shoot	2644789774-2643221747	1	1	0	0	0	0	0	0	1	0
2615840636	Burkholderia_sp._YR281	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	ORNL	Populus	Root	Populus_Root	2616352097-2615840636	3	1	0	0	0	0	0	1	0	1
2643221785	Paenibacillus_sp._Leaf72	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	ETH	Arabidopsis	Shoot	Arabidopsis_Shoot	2644945318-2643221785	2	0	1	0	0	0	0	0	0	0
2643221815	Curtobacterium_sp._Leaf183	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	ETH	Arabidopsis	Shoot	Arabidopsis_Shoot	2645083150-2643221815	1	0	1	0	0	0	0	0	0	0
2565956508	Caulobacter_sp._UNC358MFTsu5.1	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	UNC	Arabidopsis	Root	Arabidopsis_Root	2565990058-2565956508	6	0	0	1	0	1	2	0	0	0
2643221792	Acidovorax_sp._Leaf84	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	ETH	Arabidopsis	Shoot	Arabidopsis_Shoot	2644980104-2643221792	2	1	0	0	0	1	2	0	1	0
2521172642	Pseudomonas_sp._LAMO17WK12:I10	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Cornell	Maize	Root	Maize_Root	2521760808-2521172642	1	1	0	0	0	0	0	1	1	1
2582581297	Rahnella_sp._WP5	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Rahnella	ORNL	Populus	Root	Populus_Root	2585218945-2582581297	1	1	0	0	0	0	0	0	1	0
2643221637	Rhizobium_sp._Root1212	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	MPCologne	Arabidopsis	Root	Arabidopsis_Root	2644206590-2643221637	4	0	0	1	0	1	2	0	0	0
2596583649	Brevundimonas_sp._374	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	UNC	Arabidopsis	Root	Arabidopsis_Root	2597235725-2596583649	5	0	0	1	0	2	7	0	0	0
2643221643	Rhizobium_sp._Root1220	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	MPCologne	Arabidopsis	Root	Arabidopsis_Root	2644241594-2643221643	4	0	0	1	0	1	2	0	0	0
2643221890	Nocardioides_sp._Leaf307	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	ETH	Arabidopsis	Shoot	Arabidopsis_Shoot	2645411669-2643221890	1	0	1	0	0	0	0	0	0	0
2643221695	Lysobacter_sp._Root494	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	MPCologne	Arabidopsis	Root	Arabidopsis_Root	2644529617-2643221695	1	1	0	0	0	0	0	0	0	0
2643221659	Ensifer_sp._Root127	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	MPCologne	Arabidopsis	Root	Arabidopsis_Root	2644336948-2643221659	3	0	0	1	0	1	2	0	0	0
2684623001	Duganella_sp._CF517	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Duganella	ORNL	Populus	Root	Populus_Root	2686373876-2684623001	2	1	0	0	0	0	0	0	1	0
2643221693	Rhizobium_sp._Root491	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	MPCologne	Arabidopsis	Root	Arabidopsis_Root	2644519282-2643221693	4	0	0	1	0	1	3	0	0	0
2643221585	Pelomonas_sp._Root662	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Pelomonas	MPCologne	Arabidopsis	Root	Arabidopsis_Root	2643933086-2643221585	3	1	0	0	0	1	3	1	0	1
2521172645	Pseudomonas_sp._LAMO17WK12:I7	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Cornell	Maize	Root	Maize_Root	2521784060-2521172645	1	1	0	0	0	0	0	1	0	1
2643221622	Sphingomonas_sp._Root241	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	MPCologne	Arabidopsis	Root	Arabidopsis_Root	2644127311-2643221622	2	1	0	1	0	0	0	1	0	1
2643221488	Bacillus_sp._215MF	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	UNC	Arabidopsis	Root	Arabidopsis_Root	2643504790-2643221488	1	0	1	0	0	0	0	0	0	0
2616644845	Duganella_sp._CF402	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Duganella	ORNL	Populus	Root	Populus_Root	2616775585-2616644845	3	1	0	0	0	0	0	0	1	0
2545555815	Pseudomonas_sp._URMO17WK12:I5	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Cornell	Maize	Root	Maize_Root	2545597895-2545555815	1	1	0	0	0	0	0	0	1	0
2643221505	Brevundimonas_sp._CL04Tsu	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	UNC	Arabidopsis	Root	Arabidopsis_Root	2643598516-2643221505	5	0	0	1	0	2	7	0	0	0
2518645600	Pseudomonas_sp._URMO17WK12:I1	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Cornell	Maize	Root	Maize_Root	2518987986-2518645600	2	1	0	0	0	0	0	0	1	0
2546825540	Burkholderia_cenocepacia7	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	UNC	Arabidopsis	Root	Arabidopsis_Root	2546954349-2546825540	2	1	0	0	0	0	0	0	1	0
